,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
D'Angelo Russell,36:11,4,12,.333,2,5,.400,1,2,.500,0,4,4,7,1,0,3,3,11,+1
Anthony Davis,34:09,6,17,.353,1,2,.500,4,4,1.000,1,7,8,4,0,2,2,3,17,-17
Austin Reaves,31:20,4,11,.364,1,2,.500,5,7,.714,4,4,8,4,2,0,2,2,14,-14
Taurean Prince,29:53,6,8,.750,4,6,.667,2,2,1.000,1,2,3,1,0,1,1,0,18,-14
LeBron James,29:00,10,16,.625,1,4,.250,0,1,.000,1,7,8,5,1,0,0,1,21,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gabe Vincent,22:18,3,8,.375,0,4,.000,0,0,,1,0,1,2,1,0,2,3,6,-17
Cam Reddish,17:38,2,4,.500,1,2,.500,2,2,1.000,2,2,4,0,0,1,0,2,7,+7
Christian Wood,15:28,3,4,.750,0,1,.000,1,2,.500,1,3,4,0,0,0,1,1,7,+2
Rui Hachimura,14:39,3,10,.300,0,3,.000,0,0,,2,1,3,0,0,0,0,2,6,-8
Jaxson Hayes,6:54,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-7
Max Christie,1:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Maxwell Lewis,1:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Team Totals,240,41,90,.456,10,29,.345,15,20,.750,13,31,44,23,5,4,11,18,107,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
D'Angelo Russell,8:43,1,5,.200,0,2,.000,0,0,,0,1,1,1,1,0,1,0,2,-7
Anthony Davis,9:10,2,6,.333,0,0,,2,2,1.000,0,0,0,0,0,1,2,1,6,-11
Austin Reaves,9:10,1,3,.333,0,0,,0,0,,1,1,2,0,1,0,0,0,2,-11
Taurean Prince,9:10,2,3,.667,2,3,.667,0,0,,1,1,2,0,0,1,0,0,6,-11
LeBron James,6:33,2,4,.500,0,1,.000,0,0,,0,2,2,2,1,0,0,0,4,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gabe Vincent,6:07,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-10
Cam Reddish,2:50,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-3
Christian Wood, 
Rui Hachimura,5:27,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-7
Jaxson Hayes,2:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-3
Max Christie, 
Maxwell Lewis, 
Team Totals,60,8,25,.320,2,9,.222,2,2,1.000,3,6,9,3,3,2,3,3,20,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
D'Angelo Russell,9:01,1,2,.500,0,0,,0,0,,0,1,1,4,0,0,0,2,2,+4
Anthony Davis,7:04,4,5,.800,1,1,1.000,2,2,1.000,0,1,1,1,0,0,0,2,11,+5
Austin Reaves,7:05,1,3,.333,0,0,,2,2,1.000,2,3,5,2,0,0,1,0,4,+4
Taurean Prince,6:35,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,0,2,+4
LeBron James,7:32,3,5,.600,0,0,,0,0,,0,3,3,0,0,0,0,0,6,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gabe Vincent,2:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-4
Cam Reddish,4:56,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,1,0,1,3,+6
Christian Wood,7:54,2,3,.667,0,1,.000,0,0,,0,1,1,0,0,0,1,1,4,+2
Rui Hachimura,4:06,1,3,.333,0,0,,0,0,,1,1,2,0,0,0,0,1,2,+3
Jaxson Hayes,2:49,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-4
Max Christie, 
