,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Strus,38:58,9,17,.529,7,13,.538,2,2,1.000,0,12,12,2,1,1,0,4,27,+13
Donovan Mitchell,35:44,11,21,.524,4,10,.400,1,1,1.000,2,3,5,6,4,1,0,1,27,+7
Evan Mobley,33:37,5,11,.455,0,0,,0,0,,1,5,6,1,0,2,0,3,10,+3
Darius Garland,32:19,6,12,.500,1,5,.200,2,2,1.000,1,1,2,5,2,0,6,2,15,+6
Isaac Okoro,31:38,6,10,.600,2,4,.500,4,5,.800,3,3,6,4,2,1,2,5,18,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,31:22,4,17,.235,3,8,.375,0,0,,0,3,3,5,1,1,0,1,11,-6
Georges Niang,19:45,0,3,.000,0,3,.000,0,0,,2,2,4,0,0,0,0,3,0,-9
Damian Jones,11:04,2,2,1.000,0,0,,0,0,,0,0,0,2,0,0,2,3,4,-7
Ty Jerome,5:30,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-7
Emoni Bates,Did Not Play
Sam Merrill,Did Not Play
Isaiah Mobley,Did Not Play
Tristan Thompson,Did Not Play
Team Totals,240,44,94,.468,17,43,.395,9,10,.900,9,29,38,25,10,6,10,23,114,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Strus,6:30,2,4,.500,2,4,.500,0,0,,0,4,4,1,0,0,0,0,6,+12
Donovan Mitchell,8:35,3,5,.600,1,2,.500,0,0,,2,1,3,2,1,1,0,0,7,+10
Evan Mobley,9:20,2,2,1.000,0,0,,0,0,,0,1,1,0,0,2,0,2,4,+10
Darius Garland,9:07,3,5,.600,0,0,,2,2,1.000,1,0,1,1,0,0,1,0,8,+5
Isaac Okoro,6:30,2,3,.667,1,1,1.000,0,1,.000,0,1,1,3,0,0,1,1,5,+12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,6:18,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,1,3,-5
Georges Niang,5:30,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-7
Damian Jones,2:39,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,2,2,-5
Ty Jerome,5:30,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-7
Emoni Bates,Did Not Play
Sam Merrill,Did Not Play
Isaiah Mobley,Did Not Play
Tristan Thompson,Did Not Play
