,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Fred VanVleet,33:32,5,13,.385,4,6,.667,0,0,,0,1,1,5,1,0,3,0,14,-3
Jalen Green,29:49,2,10,.200,0,1,.000,6,7,.857,0,1,1,0,1,1,4,2,10,-12
Alperen Şengün,28:28,6,11,.545,0,1,.000,2,4,.500,2,6,8,6,0,0,1,4,14,-2
Jabari Smith Jr.,26:10,3,9,.333,0,4,.000,1,2,.500,1,4,5,1,1,0,1,6,7,-8
Dillon Brooks,26:08,5,7,.714,4,6,.667,0,0,,0,4,4,2,1,0,2,4,14,-15
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Amen Thompson,21:20,3,10,.300,1,7,.143,1,2,.500,1,4,5,2,0,0,4,2,8,-34
Jae'Sean Tate,15:08,2,2,1.000,1,1,1.000,0,0,,0,2,2,0,1,1,0,1,5,-11
Jeff Green,13:52,2,4,.500,0,1,.000,0,1,.000,3,0,3,1,0,0,1,2,4,-11
Reggie Bullock,11:14,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,1,1,0,1,3,-5
Cam Whitmore,9:39,0,4,.000,0,2,.000,0,0,,0,1,1,0,0,0,1,0,0,-12
Jock Landale,8:37,1,2,.500,1,2,.500,0,0,,0,0,0,2,0,0,1,1,3,-9
Jermaine Samuels,6:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-10
Jeenathan Williams,4:48,2,3,.667,0,1,.000,0,0,,0,0,0,0,0,0,0,0,4,-9
Aaron Holiday,4:48,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-9
Boban Marjanović,Did Not Play
Team Totals,240,32,79,.405,12,34,.353,10,16,.625,7,24,31,19,6,3,18,24,86,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Fred VanVleet,9:12,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,0,0,-9
Jalen Green,9:07,1,4,.250,0,0,,2,2,1.000,0,0,0,0,1,1,1,0,4,-6
Alperen Şengün,8:24,3,3,1.000,0,0,,0,0,,1,4,5,2,0,0,0,1,6,-6
Jabari Smith Jr.,9:12,1,3,.333,0,1,.000,0,0,,0,0,0,0,1,0,1,1,2,-9
Dillon Brooks,7:28,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,0,2,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Amen Thompson,5:41,0,1,.000,0,1,.000,1,2,.500,0,1,1,1,0,0,2,0,1,-3
Jae'Sean Tate,4:32,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,0,0,3,-1
Jeff Green,2:48,1,2,.500,0,1,.000,0,1,.000,1,0,1,0,0,0,0,0,2,0
Reggie Bullock, 
Cam Whitmore, 
Jock Landale,3:36,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-3
Jermaine Samuels, 
Jeenathan Williams, 
Aaron Holiday, 
Boban Marjanović,Did Not Play
Team Totals,60,8,17,.471,1,5,.200,3,5,.600,2,6,8,6,3,1,6,3,20,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Fred VanVleet,9:45,1,4,.250,1,2,.500,0,0,,0,0,0,3,0,0,1,0,3,+4
Jalen Green,9:02,1,3,.333,0,1,.000,1,2,.500,0,0,0,0,0,0,2,0,3,-3
Alperen Şengün,7:56,3,4,.750,0,0,,1,2,.500,1,2,3,1,0,0,0,1,7,+2
Jabari Smith Jr.,4:57,0,2,.000,0,1,.000,1,2,.500,0,1,1,0,0,0,0,2,1,-5
Dillon Brooks,6:40,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Amen Thompson,3:33,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-6
Jae'Sean Tate,5:04,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,0,0,+5
Jeff Green,4:57,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Reggie Bullock,4:02,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,0,1,3,-2
Cam Whitmore, 
Jock Landale,4:04,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,-4
Jermaine Samuels, 
Jeenathan Williams, 
Aaron Holiday, 
Boban Marjanović,Did Not Play
Team Totals,60,8,17,.471,4,8,.500,3,6,.500,1,6,7,5,1,1,4,5,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Fred VanVleet,18:57,1,5,.200,1,2,.500,0,0,,0,0,0,5,0,0,1,0,3,-5
Jalen Green,18:09,2,7,.286,0,1,.000,3,4,.750,0,0,0,0,1,1,3,0,7,-9
Alperen Şengün,16:20,6,7,.857,0,0,,1,2,.500,2,6,8,3,0,0,0,2,13,-4
Jabari Smith Jr.,14:09,1,5,.200,0,2,.000,1,2,.500,0,1,1,0,1,0,1,3,3,-14
Dillon Brooks,14:08,2,2,1.000,1,1,1.000,0,0,,0,2,2,1,0,0,1,1,5,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Amen Thompson,9:14,0,2,.000,0,2,.000,1,2,.500,0,1,1,1,0,0,3,0,1,-9
Jae'Sean Tate,9:36,1,1,1.000,1,1,1.000,0,0,,0,2,2,0,1,1,0,0,3,+4
Jeff Green,7:45,1,2,.500,0,1,.000,0,1,.000,1,0,1,0,0,0,0,0,2,-1
Reggie Bullock,4:02,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,0,1,3,-2
Cam Whitmore, 
Jock Landale,7:40,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,1,1,3,-7
Jermaine Samuels, 
Jeenathan Williams, 
Aaron Holiday, 
Boban Marjanović,Did Not Play
Team Totals,120,16,34,.471,5,13,.385,6,11,.545,3,12,15,11,4,2,10,8,43,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Fred VanVleet,9:02,3,3,1.000,3,3,1.000,0,0,,0,0,0,0,1,0,1,0,9,+4
Jalen Green,9:19,0,3,.000,0,0,,2,2,1.000,0,0,0,0,0,0,1,2,2,-3
Alperen Şengün,9:02,0,2,.000,0,1,.000,0,0,,0,0,0,3,0,0,1,1,0,+4
Jabari Smith Jr.,6:28,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,0,1,2,+8
Dillon Brooks,12:00,3,5,.600,3,5,.600,0,0,,0,2,2,1,1,0,1,3,9,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Amen Thompson,5:39,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,1,0,2,-15
Jae'Sean Tate,5:32,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-15
Jeff Green,2:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-9
Reggie Bullock, 
Cam Whitmore, 
Jock Landale,0:57,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-2
Jermaine Samuels, 
Jeenathan Williams, 
Aaron Holiday, 
Boban Marjanović,Did Not Play
Team Totals,60,9,19,.474,6,12,.500,2,2,1.000,0,5,5,6,2,0,5,9,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Fred VanVleet,5:33,1,5,.200,0,1,.000,0,0,,0,1,1,0,0,0,1,0,2,-2
Jalen Green,2:21,0,0,,0,0,,1,1,1.000,0,1,1,0,0,0,0,0,1,0
Alperen Şengün,3:06,0,2,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,1,1,-2
Jabari Smith Jr.,5:33,1,2,.500,0,1,.000,0,0,,1,1,2,0,0,0,0,2,2,-2
Dillon Brooks, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Amen Thompson,6:27,2,5,.400,1,3,.333,0,0,,1,2,3,1,0,0,0,2,5,-10
Jae'Sean Tate, 
Jeff Green,4:06,1,2,.500,0,0,,0,0,,2,0,2,1,0,0,1,1,2,-1
Reggie Bullock,7:12,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,-3
Cam Whitmore,9:39,0,4,.000,0,2,.000,0,0,,0,1,1,0,0,0,1,0,0,-12
Jock Landale, 
Jermaine Samuels,6:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-10
Jeenathan Williams,4:48,2,3,.667,0,1,.000,0,0,,0,0,0,0,0,0,0,0,4,-9
Aaron Holiday,4:48,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-9
Boban Marjanović,Did Not Play
Team Totals,60,7,26,.269,1,9,.111,2,3,.667,4,7,11,2,0,1,3,7,17,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Fred VanVleet,14:35,4,8,.500,3,4,.750,0,0,,0,1,1,0,1,0,2,0,11,+2
Jalen Green,11:40,0,3,.000,0,0,,3,3,1.000,0,1,1,0,0,0,1,2,3,-3
Alperen Şengün,12:08,0,4,.000,0,1,.000,1,2,.500,0,0,0,3,0,0,1,2,1,+2
Jabari Smith Jr.,12:01,2,4,.500,0,2,.000,0,0,,1,3,4,1,0,0,0,3,4,+6
Dillon Brooks,12:00,3,5,.600,3,5,.600,0,0,,0,2,2,1,1,0,1,3,9,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Amen Thompson,12:06,3,8,.375,1,5,.200,0,0,,1,3,4,1,0,0,1,2,7,-25
Jae'Sean Tate,5:32,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-15
Jeff Green,6:07,1,2,.500,0,0,,0,0,,2,0,2,1,0,0,1,2,2,-10
Reggie Bullock,7:12,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,-3
Cam Whitmore,9:39,0,4,.000,0,2,.000,0,0,,0,1,1,0,0,0,1,0,0,-12
Jock Landale,0:57,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-2
Jermaine Samuels,6:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-10
Jeenathan Williams,4:48,2,3,.667,0,1,.000,0,0,,0,0,0,0,0,0,0,0,4,-9
Aaron Holiday,4:48,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-9
Boban Marjanović,Did Not Play
Team Totals,120,16,45,.356,7,21,.333,4,5,.800,4,12,16,8,2,1,8,16,43,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Fred VanVleet,33:32,.538,.538,.462,.000,0.0,3.5,1.6,28.8,1.5,0.0,18.8,22.0,94,128,-0.8
Jalen Green,29:49,.382,.200,.100,.700,0.0,3.9,1.8,0.0,1.7,3.0,23.4,26.4,61,126,-14.1
Alperen Şengün,28:28,.549,.545,.091,.364,7.2,24.7,15.3,46.2,0.0,0.0,7.3,22.3,121,122,4.0
Jabari Smith Jr.,26:10,.354,.333,.444,.222,3.9,17.9,10.4,6.9,2.0,0.0,9.2,19.2,73,121,-11.3
Dillon Brooks,26:08,1.000,1.000,.857,.000,0.0,17.9,8.3,16.1,2.0,0.0,22.2,15.9,136,121,7.2
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Amen Thompson,21:20,.368,.350,.700,.200,4.8,22.0,12.8,17.8,0.0,0.0,26.9,32.2,62,124,-14.8
Jae'Sean Tate,15:08,1.250,1.250,.500,.000,0.0,15.5,7.2,0.0,3.4,6.0,0.0,6.1,250,116,9.4
Jeff Green,13:52,.450,.500,.250,.250,22.1,0.0,11.8,13.8,0.0,0.0,18.4,18.1,98,133,-7.8
Reggie Bullock,11:14,1.500,1.500,1.000,.000,0.0,10.4,4.9,0.0,4.6,8.1,0.0,4.1,300,115,11.3
Cam Whitmore,9:39,.000,.000,.500,.000,0.0,12.1,5.7,0.0,0.0,0.0,20.0,23.9,0,128,-28.3
Jock Landale,8:37,.750,.750,1.000,.000,0.0,0.0,0.0,42.2,0.0,0.0,33.3,16.1,113,133,4.1
Jermaine Samuels,6:27,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,133,-11.6
Aaron Holiday,4:48,.000,.000,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,0,133,-32.2
Jeenathan Williams,4:48,.667,.667,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,121,133,4.6
Boban Marjanović,Did Not Play
Team Totals,240,.500,.481,.430,.203,14.9,58.5,35.2,59.4,6.4,5.7,17.3,100.0,91.8,123.8,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paolo Banchero,27:54,3,6,.500,0,1,.000,6,7,.857,0,5,5,5,1,0,1,2,12,+13
Franz Wagner,27:03,5,12,.417,3,7,.429,6,6,1.000,3,1,4,2,1,0,3,1,19,+10
Wendell Carter Jr.,26:55,4,10,.400,0,2,.000,0,0,,4,4,8,1,2,0,2,3,8,+8
Markelle Fultz,24:31,5,9,.556,0,0,,0,0,,3,1,4,2,3,0,1,0,10,+12
Jalen Suggs,20:51,3,12,.250,2,7,.286,0,0,,1,3,4,0,0,0,0,2,8,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cole Anthony,24:05,8,12,.667,1,2,.500,3,3,1.000,1,7,8,2,0,0,0,2,20,+17
Joe Ingles,18:14,0,3,.000,0,3,.000,0,0,,0,4,4,5,0,0,1,3,0,+9
Gary Harris,16:57,5,8,.625,1,4,.250,0,0,,3,2,5,0,0,1,0,0,11,+8
Moritz Wagner,15:21,0,1,.000,0,1,.000,2,2,1.000,0,4,4,0,0,1,3,4,2,+13
Jonathan Isaac,14:09,4,6,.667,1,3,.333,2,3,.667,1,3,4,0,0,2,2,2,11,+10
Goga Bitadze,4:48,2,2,1.000,0,0,,3,4,.750,1,2,3,0,1,0,1,1,7,+9
Anthony Black,4:48,2,2,1.000,0,0,,1,1,1.000,0,0,0,1,0,2,0,0,5,+9
Caleb Houstan,4:48,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,+9
Jett Howard,4:48,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,+9
Chuma Okeke,4:48,0,1,.000,0,1,.000,0,0,,0,3,3,0,0,0,0,0,0,+9
Team Totals,240,42,87,.483,9,34,.265,23,26,.885,17,40,57,19,8,6,14,20,116,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paolo Banchero,9:55,0,1,.000,0,0,,2,2,1.000,0,3,3,3,0,0,0,2,2,+9
Franz Wagner,9:12,3,5,.600,3,4,.750,2,2,1.000,0,0,0,1,0,0,1,0,11,+9
Wendell Carter Jr.,9:12,2,5,.400,0,1,.000,0,0,,2,2,4,1,1,0,0,0,4,+9
Markelle Fultz,9:12,1,3,.333,0,0,,0,0,,2,1,3,0,1,0,1,0,2,+9
Jalen Suggs,6:19,1,4,.250,1,3,.333,0,0,,0,0,0,0,0,0,0,2,3,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cole Anthony,5:41,2,3,.667,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,+3
Joe Ingles,2:48,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,1,0,0,0
Gary Harris,2:48,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,0
Moritz Wagner,2:48,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0
Jonathan Isaac,2:05,0,0,,0,0,,0,0,,0,0,0,0,0,1,1,1,0,0
Goga Bitadze, 
Anthony Black, 
Caleb Houstan, 
Jett Howard, 
Chuma Okeke, 
Team Totals,60,10,23,.435,5,10,.500,4,4,1.000,4,9,13,7,2,1,4,5,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paolo Banchero,5:30,1,2,.500,0,0,,4,5,.800,0,1,1,1,1,0,1,0,6,+3
Franz Wagner,3:46,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+2
Wendell Carter Jr.,6:40,0,2,.000,0,1,.000,0,0,,0,1,1,0,1,0,1,0,0,0
Markelle Fultz,3:46,0,1,.000,0,0,,0,0,,0,0,0,1,1,0,0,0,0,+2
Jalen Suggs,5:30,1,3,.333,0,1,.000,0,0,,1,2,3,0,0,0,0,0,2,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cole Anthony,8:14,4,5,.800,0,0,,0,0,,1,2,3,1,0,0,0,1,8,0
Joe Ingles,8:14,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,3,0,0
Gary Harris,6:30,3,5,.600,0,2,.000,0,0,,3,1,4,0,0,0,0,0,6,-1
Moritz Wagner,5:20,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,+2
Jonathan Isaac,6:30,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,1,1,3,-1
Goga Bitadze, 
Anthony Black, 
Caleb Houstan, 
Jett Howard, 
Chuma Okeke, 
Team Totals,60,10,22,.455,1,8,.125,4,5,.800,5,9,14,4,3,0,4,6,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paolo Banchero,15:25,1,3,.333,0,0,,6,7,.857,0,4,4,4,1,0,1,2,8,+12
Franz Wagner,12:58,3,6,.500,3,5,.600,2,2,1.000,0,0,0,1,0,0,1,0,11,+11
Wendell Carter Jr.,15:52,2,7,.286,0,2,.000,0,0,,2,3,5,1,2,0,1,0,4,+9
Markelle Fultz,12:58,1,4,.250,0,0,,0,0,,2,1,3,1,2,0,1,0,2,+11
Jalen Suggs,11:49,2,7,.286,1,4,.250,0,0,,1,2,3,0,0,0,0,2,5,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cole Anthony,13:55,6,8,.750,1,1,1.000,0,0,,1,2,3,1,0,0,0,1,13,+3
Joe Ingles,11:02,0,2,.000,0,2,.000,0,0,,0,0,0,3,0,0,1,3,0,0
Gary Harris,9:18,4,6,.667,0,2,.000,0,0,,3,2,5,0,0,0,0,0,8,-1
Moritz Wagner,8:08,0,0,,0,0,,0,0,,0,3,3,0,0,0,1,1,0,+2
Jonathan Isaac,8:35,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,1,2,2,3,-1
Goga Bitadze, 
Anthony Black, 
Caleb Houstan, 
Jett Howard, 
Chuma Okeke, 
Team Totals,120,20,45,.444,6,18,.333,8,9,.889,9,18,27,11,5,1,8,11,54,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paolo Banchero,9:32,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,0,2,-2
Franz Wagner,9:59,1,3,.333,0,1,.000,2,2,1.000,1,1,2,1,1,0,2,1,4,-2
Wendell Carter Jr.,9:02,2,3,.667,0,0,,0,0,,2,1,3,0,0,0,1,3,4,-4
Markelle Fultz,9:32,4,5,.800,0,0,,0,0,,1,0,1,0,1,0,0,0,8,-2
Jalen Suggs,9:02,1,5,.200,1,3,.333,0,0,,0,1,1,0,0,0,0,0,3,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cole Anthony,2:58,1,2,.500,0,1,.000,3,3,1.000,0,2,2,1,0,0,0,1,5,+11
Joe Ingles,2:01,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,+9
Gary Harris,2:28,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,+9
Moritz Wagner,2:58,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,+11
Jonathan Isaac,2:28,3,3,1.000,0,0,,1,1,1.000,1,1,2,0,0,0,0,0,7,+9
Goga Bitadze, 
Anthony Black, 
Caleb Houstan, 
Jett Howard, 
Chuma Okeke, 
Team Totals,60,13,24,.542,1,7,.143,6,6,1.000,5,9,14,4,2,1,3,5,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
