,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyler Herro,39:39,8,23,.348,4,10,.400,2,2,1.000,0,5,5,4,0,0,0,1,22,-16
Bam Adebayo,32:54,7,14,.500,0,1,.000,5,10,.500,1,2,3,2,0,0,4,4,19,-10
Kyle Lowry,32:22,1,6,.167,1,5,.200,0,0,,1,3,4,7,1,0,4,1,3,-20
Nikola Jović,21:06,3,6,.500,2,4,.500,0,0,,0,11,11,4,1,0,0,2,8,+6
Jaime Jaquez Jr.,18:14,3,4,.750,1,2,.500,0,0,,0,3,3,1,0,0,3,0,7,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Duncan Robinson,28:50,3,12,.250,2,10,.200,0,0,,1,2,3,1,1,0,1,1,8,-18
Jamal Cain,25:22,4,8,.500,0,3,.000,0,0,,3,2,5,0,2,0,0,1,8,-23
Dru Smith,22:23,2,4,.500,1,1,1.000,0,0,,0,1,1,4,1,0,1,1,5,-12
Thomas Bryant,11:33,2,4,.500,0,0,,1,2,.500,3,2,5,1,0,0,1,1,5,-8
Orlando Robinson,3:33,0,2,.000,0,0,,0,0,,0,1,1,0,0,1,0,0,0,+2
Cole Swider,2:02,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,0,0,0,5,+7
R.J. Hampton,2:02,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+7
Team Totals,240,35,87,.402,12,38,.316,8,14,.571,9,33,42,24,6,1,14,12,90,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyler Herro,8:18,3,7,.429,2,4,.500,0,0,,0,1,1,1,0,0,0,0,8,+9
Bam Adebayo,9:00,3,6,.500,0,1,.000,0,0,,0,1,1,0,0,0,2,1,6,+3
Kyle Lowry,10:02,1,2,.500,1,2,.500,0,0,,0,0,0,4,1,0,0,0,3,-1
Nikola Jović,8:16,1,2,.500,1,2,.500,0,0,,0,5,5,1,0,0,0,2,3,+7
Jaime Jaquez Jr.,8:16,2,2,1.000,0,0,,0,0,,0,1,1,1,0,0,0,0,4,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Duncan Robinson,5:40,2,4,.500,1,3,.333,0,0,,0,1,1,1,0,0,0,0,5,+2
Jamal Cain,3:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Dru Smith,3:44,0,1,.000,0,0,,0,0,,0,0,0,1,1,0,0,1,0,-2
Thomas Bryant,3:00,1,2,.500,0,0,,0,0,,2,0,2,1,0,0,0,0,2,+2
Orlando Robinson, 
Cole Swider, 
R.J. Hampton, 
Team Totals,60,13,26,.500,5,12,.417,0,0,,2,9,11,10,2,0,2,4,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyler Herro,9:23,2,4,.500,0,1,.000,0,0,,0,2,2,1,0,0,0,0,4,-4
Bam Adebayo,7:06,2,3,.667,0,0,,3,6,.500,0,0,0,0,0,0,0,0,7,-4
Kyle Lowry,6:36,0,2,.000,0,2,.000,0,0,,0,1,1,2,0,0,1,0,0,-6
Nikola Jović, 
Jaime Jaquez Jr., 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Duncan Robinson,12:00,1,3,.333,1,3,.333,0,0,,1,1,2,0,1,0,1,1,3,-7
Jamal Cain,12:00,4,6,.667,0,2,.000,0,0,,1,1,2,0,1,0,0,1,8,-7
Dru Smith,8:01,0,0,,0,0,,0,0,,0,1,1,3,0,0,1,0,0,-4
Thomas Bryant,4:54,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-3
Orlando Robinson, 
Cole Swider, 
R.J. Hampton, 
Team Totals,60,9,19,.474,1,8,.125,3,6,.500,2,8,10,6,2,0,3,3,22,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
