,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jamal Murray,29:55,9,14,.643,1,1,1.000,0,0,,1,1,2,8,0,0,4,1,19,+22
Nikola Jokić,29:52,12,16,.750,1,2,.500,3,3,1.000,2,12,14,5,0,0,4,3,28,+21
Kentavious Caldwell-Pope,29:52,2,5,.400,1,4,.250,2,2,1.000,0,3,3,1,2,0,1,2,7,+21
Michael Porter Jr.,24:39,8,14,.571,4,7,.571,0,0,,3,6,9,2,0,0,1,3,20,+12
Aaron Gordon,23:05,4,7,.571,0,1,.000,1,3,.333,1,2,3,2,1,3,1,1,9,+22
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Reggie Jackson,22:00,2,3,.667,1,2,.500,0,0,,0,0,0,6,2,0,2,4,5,+13
Peyton Watson,21:36,8,11,.727,1,3,.333,0,0,,1,3,4,1,1,1,0,1,17,+11
Christian Braun,21:10,4,9,.444,0,2,.000,5,5,1.000,1,6,7,7,1,1,0,2,13,+25
Zeke Nnaji,14:49,0,1,.000,0,0,,0,0,,1,2,3,1,0,0,0,2,0,+12
Julian Strawther,7:34,3,5,.600,2,3,.667,0,0,,0,1,1,1,0,0,0,0,8,+4
Collin Gillespie,5:31,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,1,0,+2
Braxton Key,3:19,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,0
Justin Holiday,3:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Hunter Tyson,3:19,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,0
DeAndre Jordan,Did Not Play
Team Totals,240,53,88,.602,11,27,.407,11,13,.846,10,38,48,34,8,5,13,21,128,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jamal Murray,7:36,2,5,.400,0,0,,0,0,,1,0,1,5,0,0,0,0,4,+10
Nikola Jokić,10:32,4,7,.571,0,0,,1,1,1.000,2,5,7,4,0,0,1,1,9,+11
Kentavious Caldwell-Pope,10:32,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,+11
Michael Porter Jr.,7:53,4,5,.800,1,2,.500,0,0,,3,2,5,0,0,0,0,0,9,+7
Aaron Gordon,7:53,1,4,.250,0,1,.000,1,3,.333,0,1,1,0,0,1,0,0,3,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Reggie Jackson,5:52,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,+1
Peyton Watson,4:07,2,3,.667,0,0,,0,0,,1,1,2,1,0,1,0,0,4,+4
Christian Braun,4:07,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,0,0,0,2,+4
Zeke Nnaji,1:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,0
Julian Strawther, 
Collin Gillespie, 
Braxton Key, 
Justin Holiday, 
Hunter Tyson, 
DeAndre Jordan,Did Not Play
Team Totals,60,15,29,.517,2,7,.286,2,4,.500,7,12,19,10,0,2,1,3,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jamal Murray,7:54,2,4,.500,0,0,,0,0,,0,1,1,2,0,0,1,0,4,+6
Nikola Jokić,8:25,5,6,.833,1,2,.500,2,2,1.000,0,2,2,0,0,0,0,0,13,+8
Kentavious Caldwell-Pope,8:25,1,2,.500,0,1,.000,2,2,1.000,0,1,1,0,1,0,1,1,4,+8
Michael Porter Jr.,7:41,2,6,.333,1,2,.500,0,0,,0,2,2,1,0,0,0,2,5,0
Aaron Gordon,6:59,1,1,1.000,0,0,,0,0,,1,1,2,0,1,0,0,0,2,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Reggie Jackson,4:43,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,2,0,-1
Peyton Watson,5:01,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-3
Christian Braun,7:17,1,2,.500,0,1,.000,3,3,1.000,0,2,2,4,0,0,0,1,5,+8
Zeke Nnaji,3:35,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-1
Julian Strawther, 
Collin Gillespie, 
Braxton Key, 
Justin Holiday, 
Hunter Tyson, 
DeAndre Jordan,Did Not Play
Team Totals,60,13,23,.565,2,6,.333,7,7,1.000,2,9,11,9,2,0,2,6,35,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jamal Murray,15:30,4,9,.444,0,0,,0,0,,1,1,2,7,0,0,1,0,8,+16
Nikola Jokić,18:57,9,13,.692,1,2,.500,3,3,1.000,2,7,9,4,0,0,1,1,22,+19
Kentavious Caldwell-Pope,18:57,1,4,.250,0,3,.000,2,2,1.000,0,2,2,0,1,0,1,1,4,+19
Michael Porter Jr.,15:34,6,11,.545,2,4,.500,0,0,,3,4,7,1,0,0,0,2,14,+7
Aaron Gordon,14:52,2,5,.400,0,1,.000,1,3,.333,1,2,3,0,1,1,0,0,5,+17
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Reggie Jackson,10:35,1,1,1.000,1,1,1.000,0,0,,0,0,0,2,0,0,0,3,3,0
Peyton Watson,9:08,3,4,.750,0,0,,0,0,,1,1,2,1,0,1,0,0,6,+1
Christian Braun,11:24,2,4,.500,0,2,.000,3,3,1.000,0,4,4,4,0,0,0,1,7,+12
Zeke Nnaji,5:03,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-1
Julian Strawther, 
Collin Gillespie, 
Braxton Key, 
Justin Holiday, 
Hunter Tyson, 
DeAndre Jordan,Did Not Play
Team Totals,120,28,52,.538,4,13,.308,9,11,.818,9,21,30,19,2,2,3,9,69,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jamal Murray,9:59,2,2,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,2,1,5,-1
Nikola Jokić,10:55,3,3,1.000,0,0,,0,0,,0,5,5,1,0,0,3,2,6,+2
Kentavious Caldwell-Pope,10:55,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,1,0,0,1,3,+2
Michael Porter Jr.,9:05,2,3,.667,2,3,.667,0,0,,0,2,2,1,0,0,1,1,6,+5
Aaron Gordon,8:13,2,2,1.000,0,0,,0,0,,0,0,0,2,0,2,1,1,4,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Reggie Jackson,4:56,1,2,.500,0,1,.000,0,0,,0,0,0,2,1,0,1,0,2,+4
Peyton Watson,3:47,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,1,2,-1
Christian Braun,1:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Zeke Nnaji,1:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Julian Strawther, 
Collin Gillespie, 
Braxton Key, 
Justin Holiday, 
Hunter Tyson, 
DeAndre Jordan,Did Not Play
Team Totals,60,12,15,.800,4,7,.571,0,0,,0,9,9,8,2,2,8,7,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jamal Murray,4:26,3,3,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,6,+7
Nikola Jokić, 
Kentavious Caldwell-Pope, 
Michael Porter Jr., 
Aaron Gordon, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Reggie Jackson,6:29,0,0,,0,0,,0,0,,0,0,0,2,1,0,1,1,0,+9
Peyton Watson,8:41,4,5,.800,1,2,.500,0,0,,0,1,1,0,1,0,0,0,9,+11
Christian Braun,8:41,2,5,.400,0,0,,2,2,1.000,1,2,3,3,1,1,0,1,6,+11
Zeke Nnaji,8:41,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,1,0,+11
Julian Strawther,7:34,3,5,.600,2,3,.667,0,0,,0,1,1,1,0,0,0,0,8,+4
Collin Gillespie,5:31,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,1,0,+2
Braxton Key,3:19,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,0
Justin Holiday,3:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Hunter Tyson,3:19,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,0
DeAndre Jordan,Did Not Play
Team Totals,60,13,21,.619,3,7,.429,2,2,1.000,1,8,9,7,4,1,2,5,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jamal Murray,14:25,5,5,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,3,1,11,+6
Nikola Jokić,10:55,3,3,1.000,0,0,,0,0,,0,5,5,1,0,0,3,2,6,+2
Kentavious Caldwell-Pope,10:55,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,1,0,0,1,3,+2
Michael Porter Jr.,9:05,2,3,.667,2,3,.667,0,0,,0,2,2,1,0,0,1,1,6,+5
Aaron Gordon,8:13,2,2,1.000,0,0,,0,0,,0,0,0,2,0,2,1,1,4,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Reggie Jackson,11:25,1,2,.500,0,1,.000,0,0,,0,0,0,4,2,0,2,1,2,+13
Peyton Watson,12:28,5,7,.714,1,3,.333,0,0,,0,2,2,0,1,0,0,1,11,+10
Christian Braun,9:46,2,5,.400,0,0,,2,2,1.000,1,2,3,3,1,1,0,1,6,+13
Zeke Nnaji,9:46,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,1,0,+13
Julian Strawther,7:34,3,5,.600,2,3,.667,0,0,,0,1,1,1,0,0,0,0,8,+4
Collin Gillespie,5:31,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,1,0,+2
Braxton Key,3:19,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,0
Justin Holiday,3:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Hunter Tyson,3:19,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,0
DeAndre Jordan,Did Not Play
Team Totals,120,25,36,.694,7,14,.500,2,2,1.000,1,17,18,15,6,3,10,12,59,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jamal Murray,29:55,.679,.679,.071,.000,5.0,3.6,4.2,33.3,0.0,0.0,22.2,27.1,122,107,0.0
Kentavious Caldwell-Pope,29:52,.595,.500,.800,.400,0.0,10.7,6.3,3.2,3.4,0.0,14.5,10.4,114,98,-2.3
Nikola Jokić,29:52,.808,.781,.125,.188,10.0,42.9,29.2,23.8,0.0,0.0,18.8,32.1,137,99,9.9
Michael Porter Jr.,24:39,.714,.714,.500,.000,18.3,26.0,22.8,10.4,0.0,0.0,6.7,27.4,144,102,6.5
Aaron Gordon,23:05,.541,.571,.143,.429,6.5,9.2,8.1,9.3,2.2,10.8,10.7,18.2,113,92,3.0
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Reggie Jackson,22:00,.833,.833,.667,.000,0.0,0.0,0.0,26.9,4.5,0.0,40.0,10.2,129,98,3.4
Peyton Watson,21:36,.773,.773,.273,.000,6.9,14.8,11.5,6.3,2.3,3.8,0.0,22.9,159,97,10.7
Christian Braun,21:10,.580,.444,.222,.556,7.1,30.2,20.6,36.1,2.4,3.9,0.0,23.8,154,93,13.4
Zeke Nnaji,14:49,.000,.000,.000,.000,10.1,14.4,12.6,6.1,0.0,0.0,0.0,3.0,114,105,-6.1
Julian Strawther,7:34,.800,.800,.600,.000,0.0,14.1,8.2,18.7,0.0,0.0,0.0,29.7,162,105,17.1
Collin Gillespie,5:31,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,9.1,0.0,0.0,8.2,0,88,-6.9
Justin Holiday,3:19,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,108,-6.1
Braxton Key,3:19,.500,.500,.500,.000,0.0,32.2,18.8,0.0,0.0,0.0,0.0,27.1,105,101,-8.8
Hunter Tyson,3:19,,,,,0.0,32.2,18.8,0.0,0.0,0.0,,0.0,0,101,-8.3
DeAndre Jordan,Did Not Play
Team Totals,240,.683,.665,.307,.148,31.3,84.4,62.3,64.2,8.3,8.6,12.2,100.0,133.4,99.0,
