,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaylen Brown,31:32,13,24,.542,8,13,.615,2,4,.500,0,6,6,2,3,1,0,3,36,+32
Jayson Tatum,27:36,14,21,.667,4,9,.444,1,1,1.000,0,6,6,3,0,0,2,2,33,+27
Jrue Holiday,26:42,4,7,.571,1,3,.333,2,2,1.000,1,4,5,3,1,2,1,1,11,+28
Kristaps Porziņģis,23:52,7,9,.778,1,2,.500,0,0,,0,6,6,3,0,1,2,2,15,+30
Derrick White,23:36,2,3,.667,1,2,.500,0,0,,1,0,1,8,2,1,2,1,5,+27
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sam Hauser,25:08,3,10,.300,2,9,.222,0,0,,3,5,8,1,0,1,1,3,8,-10
Payton Pritchard,25:03,0,8,.000,0,6,.000,0,0,,1,6,7,6,1,0,4,3,0,-2
Al Horford,15:31,4,9,.444,0,3,.000,0,0,,4,1,5,1,2,0,0,1,8,+4
Luke Kornet,10:42,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,1,0,-11
Oshae Brissett,10:16,0,4,.000,0,2,.000,0,0,,1,1,2,1,1,0,0,2,0,-10
Dalano Banton,9:41,1,3,.333,0,1,.000,0,0,,2,0,2,1,0,0,1,1,2,-17
Lamar Stevens,5:31,2,2,1.000,1,1,1.000,0,0,,2,0,2,0,0,0,3,1,5,-4
Svi Mykhailiuk,4:50,1,2,.500,1,2,.500,0,0,,0,0,0,1,1,0,0,0,3,+1
Jordan Walsh,Did Not Play
Team Totals,240,51,102,.500,19,53,.358,5,7,.714,15,36,51,31,11,6,17,21,126,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaylen Brown,12:00,6,9,.667,4,5,.800,0,1,.000,0,4,4,0,1,0,0,0,16,+23
Jayson Tatum,8:34,3,5,.600,0,1,.000,0,0,,0,3,3,2,0,0,1,1,6,+16
Jrue Holiday,8:18,1,1,1.000,0,0,,2,2,1.000,0,0,0,1,1,0,0,0,4,+19
Kristaps Porziņģis,8:29,5,7,.714,0,1,.000,0,0,,0,1,1,1,0,1,1,2,10,+19
Derrick White,6:24,1,1,1.000,0,0,,0,0,,0,0,0,3,1,0,0,0,2,+15
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sam Hauser,3:42,0,0,,0,0,,0,0,,2,0,2,0,0,0,1,1,0,+4
Payton Pritchard,6:57,0,1,.000,0,1,.000,0,0,,1,1,2,4,0,0,0,0,0,+11
Al Horford,5:36,2,4,.500,0,0,,0,0,,2,1,3,0,1,0,0,0,4,+8
Luke Kornet, 
Oshae Brissett, 
Dalano Banton, 
Lamar Stevens, 
Svi Mykhailiuk, 
Jordan Walsh,Did Not Play
Team Totals,60,18,28,.643,4,8,.500,2,3,.667,5,10,15,11,4,1,3,4,42,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaylen Brown,7:32,3,6,.500,3,5,.600,2,3,.667,0,2,2,1,0,1,0,0,11,+2
Jayson Tatum,8:15,4,8,.500,2,5,.400,0,0,,0,2,2,1,0,0,0,1,10,+1
Jrue Holiday,6:24,2,3,.667,0,1,.000,0,0,,0,0,0,1,0,1,0,0,4,+2
Kristaps Porziņģis,6:24,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,1,0,3,+2
Derrick White,8:13,1,2,.500,1,2,.500,0,0,,1,0,1,2,1,1,1,1,3,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sam Hauser,8:13,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,1,0,0,0,+3
Payton Pritchard,5:36,0,1,.000,0,1,.000,0,0,,0,1,1,1,1,0,1,1,0,+1
Al Horford,5:36,2,3,.667,0,1,.000,0,0,,1,0,1,1,1,0,0,0,4,+1
Luke Kornet, 
Oshae Brissett,3:47,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0
Dalano Banton, 
Lamar Stevens, 
Svi Mykhailiuk, 
Jordan Walsh,Did Not Play
Team Totals,60,13,25,.520,7,17,.412,2,3,.667,2,8,10,8,3,4,3,3,35,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaylen Brown,19:32,9,15,.600,7,10,.700,2,4,.500,0,6,6,1,1,1,0,0,27,+25
Jayson Tatum,16:49,7,13,.538,2,6,.333,0,0,,0,5,5,3,0,0,1,2,16,+17
Jrue Holiday,14:42,3,4,.750,0,1,.000,2,2,1.000,0,0,0,2,1,1,0,0,8,+21
Kristaps Porziņģis,14:53,6,8,.750,1,2,.500,0,0,,0,2,2,1,0,1,2,2,13,+21
Derrick White,14:37,2,3,.667,1,2,.500,0,0,,1,0,1,5,2,1,1,1,5,+18
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sam Hauser,11:55,0,1,.000,0,1,.000,0,0,,2,2,4,0,0,1,1,1,0,+7
Payton Pritchard,12:33,0,2,.000,0,2,.000,0,0,,1,2,3,5,1,0,1,1,0,+12
Al Horford,11:12,4,7,.571,0,1,.000,0,0,,3,1,4,1,2,0,0,0,8,+9
Luke Kornet, 
Oshae Brissett,3:47,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0
Dalano Banton, 
Lamar Stevens, 
Svi Mykhailiuk, 
Jordan Walsh,Did Not Play
Team Totals,120,31,53,.585,11,25,.440,4,6,.667,7,18,25,19,7,5,6,7,77,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaylen Brown,12:00,4,9,.444,1,3,.333,0,0,,0,0,0,1,2,0,0,3,9,+7
Jayson Tatum,10:47,7,8,.875,2,3,.667,1,1,1.000,0,1,1,0,0,0,1,0,17,+10
Jrue Holiday,12:00,1,3,.333,1,2,.500,0,0,,1,4,5,1,0,1,1,1,3,+7
Kristaps Porziņģis,8:59,1,1,1.000,0,0,,0,0,,0,4,4,2,0,0,0,0,2,+9
Derrick White,8:59,0,0,,0,0,,0,0,,0,0,0,3,0,0,1,0,0,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sam Hauser,1:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Payton Pritchard,3:01,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,1,0,-2
Al Horford,3:01,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-2
Luke Kornet, 
Oshae Brissett, 
Dalano Banton, 
Lamar Stevens, 
Svi Mykhailiuk, 
Jordan Walsh,Did Not Play
Team Totals,60,13,24,.542,4,11,.364,1,1,1.000,1,11,12,8,2,1,3,6,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaylen Brown, 
Jayson Tatum, 
Jrue Holiday, 
Kristaps Porziņģis, 
Derrick White, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sam Hauser,12:00,3,9,.333,2,8,.250,0,0,,1,3,4,1,0,0,0,2,8,-14
Payton Pritchard,9:29,0,5,.000,0,3,.000,0,0,,0,2,2,0,0,0,3,1,0,-12
