,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Zach LaVine,35:56,7,17,.412,5,9,.556,3,3,1.000,0,2,2,1,2,0,0,2,22,-6
Nikola Vučević,35:39,10,17,.588,1,3,.333,0,0,,5,15,20,1,2,0,3,2,21,-6
Coby White,32:56,4,12,.333,1,6,.167,1,2,.500,0,1,1,4,0,0,3,3,10,-6
DeMar DeRozan,32:48,5,13,.385,0,1,.000,6,6,1.000,1,2,3,7,1,0,2,3,16,-17
Patrick Williams,24:57,0,6,.000,0,5,.000,0,0,,1,2,3,1,1,1,2,3,0,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Alex Caruso,22:01,3,6,.500,0,3,.000,0,0,,2,2,4,1,1,1,2,4,6,-5
Torrey Craig,17:22,1,2,.500,0,1,.000,0,0,,2,3,5,1,0,0,0,3,2,+1
Jevon Carter,15:21,5,7,.714,2,2,1.000,0,0,,0,1,1,2,1,1,1,0,12,-3
Andre Drummond,12:21,4,5,.800,0,0,,0,0,,1,2,3,0,2,0,0,2,8,-3
Ayo Dosunmu,10:37,3,4,.750,2,3,.667,0,0,,0,1,1,1,0,0,0,1,8,+8
Julian Phillips,Did Not Play
Terry Taylor,Did Not Play
Team Totals,240,42,89,.472,11,33,.333,10,11,.909,12,31,43,19,10,3,13,23,105,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Zach LaVine,9:29,3,6,.500,2,2,1.000,0,0,,0,0,0,0,0,0,0,1,8,-2
Nikola Vučević,9:12,2,5,.400,0,1,.000,0,0,,3,3,6,0,2,0,0,0,4,-2
Coby White,9:29,2,5,.400,0,2,.000,1,2,.500,0,1,1,0,0,0,1,0,5,-2
DeMar DeRozan,8:16,0,1,.000,0,0,,2,2,1.000,0,0,0,2,0,0,0,2,2,-4
Patrick Williams,7:29,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,0,1,1,0,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Alex Caruso,6:14,0,2,.000,0,2,.000,0,0,,1,0,1,0,0,0,1,1,0,0
Torrey Craig,4:13,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,0,0,+3
Jevon Carter,2:48,1,2,.500,0,0,,0,0,,0,0,0,0,0,1,0,0,2,-1
Andre Drummond,2:48,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,-1
Ayo Dosunmu, 
Julian Phillips,Did Not Play
Terry Taylor,Did Not Play
Team Totals,60,9,24,.375,2,8,.250,3,4,.750,7,7,14,2,2,1,3,5,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Zach LaVine,8:56,3,4,.750,3,4,.750,0,0,,0,1,1,0,2,0,0,1,9,+5
Nikola Vučević,8:56,2,3,.667,0,0,,0,0,,0,5,5,0,0,0,1,1,4,+5
Coby White,7:24,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,+3
