,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Donovan Mitchell,36:44,9,22,.409,6,15,.400,6,6,1.000,1,5,6,4,1,1,5,5,30,+3
Evan Mobley,35:15,6,12,.500,0,0,,2,3,.667,2,6,8,5,2,2,2,2,14,+8
Max Strus,34:44,3,9,.333,0,5,.000,3,3,1.000,0,4,4,4,0,2,5,3,9,+3
Isaac Okoro,30:44,1,3,.333,0,2,.000,0,0,,0,3,3,2,1,0,1,6,2,-1
Georges Niang,28:09,1,6,.167,1,3,.333,2,2,1.000,0,10,10,2,1,0,0,4,5,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,30:30,6,14,.429,3,4,.750,4,4,1.000,0,6,6,5,1,0,3,3,19,+10
Dean Wade,19:51,2,3,.667,2,3,.667,0,0,,1,2,3,0,0,0,0,0,6,-1
Tristan Thompson,12:47,3,4,.750,0,0,,0,0,,2,3,5,0,0,0,2,1,6,-2
Craig Porter Jr.,11:16,1,1,1.000,0,0,,2,2,1.000,0,1,1,0,1,0,0,3,4,+3
Emoni Bates,Did Not Play
Damian Jones,Did Not Play
Sam Merrill,Did Not Play
Isaiah Mobley,Did Not Play
Team Totals,240,32,74,.432,12,32,.375,19,20,.950,6,40,46,22,7,5,18,27,95,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Donovan Mitchell,8:21,5,7,.714,3,3,1.000,0,0,,0,1,1,0,0,0,1,0,13,-1
Evan Mobley,8:21,0,2,.000,0,0,,0,0,,1,1,2,1,0,1,1,1,0,-1
Max Strus,9:56,0,2,.000,0,1,.000,3,3,1.000,0,1,1,1,0,0,1,0,3,+3
Isaac Okoro,10:24,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,1,0,-2
Georges Niang,8:21,0,1,.000,0,1,.000,0,0,,0,1,1,1,1,0,0,2,0,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,3:39,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,0,2,+3
Dean Wade,3:39,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+3
Tristan Thompson,3:39,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,0,2,+3
Craig Porter Jr.,3:39,1,1,1.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,2,4,+3
Emoni Bates,Did Not Play
Damian Jones,Did Not Play
Sam Merrill,Did Not Play
Isaiah Mobley,Did Not Play
Team Totals,60,8,18,.444,3,6,.500,5,5,1.000,1,8,9,5,1,1,4,6,24,
,Basic Box Score Stats
