,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard,30:36,4,9,.444,1,4,.250,6,7,.857,0,2,2,6,0,0,2,1,15,-26
Giannis Antetokounmpo,27:41,5,11,.455,0,0,,6,9,.667,3,1,4,2,1,0,3,3,16,-10
Malik Beasley,25:15,7,10,.700,6,9,.667,0,0,,0,2,2,0,2,0,0,2,20,-23
Khris Middleton,17:08,4,10,.400,1,4,.250,2,2,1.000,0,3,3,0,1,0,4,2,11,-13
Brook Lopez,16:39,1,8,.125,0,4,.000,4,4,1.000,2,1,3,0,2,1,0,0,6,-22
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jae Crowder,25:04,3,5,.600,2,3,.667,1,3,.333,1,0,1,3,0,1,0,2,9,-5
Pat Connaughton,22:38,1,2,.500,0,1,.000,1,2,.500,0,2,2,1,0,0,1,1,3,-10
Cameron Payne,19:06,2,5,.400,0,2,.000,0,0,,0,2,2,1,0,0,1,2,4,-4
Bobby Portis,18:42,2,6,.333,0,1,.000,6,9,.667,1,5,6,1,2,0,1,1,10,-7
MarJon Beauchamp,15:59,2,5,.400,2,5,.400,2,2,1.000,0,2,2,0,0,0,0,0,8,+5
Andre Jackson Jr.,6:21,1,1,1.000,0,0,,0,0,,0,1,1,3,1,0,0,2,2,+4
Chris Livingston,5:31,2,2,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,5,+6
A.J. Green,5:31,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,1,2,+6
Thanasis Antetokounmpo,3:49,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+4
Robin Lopez,Did Not Play
Team Totals,240,35,76,.461,13,34,.382,28,38,.737,7,22,29,19,9,2,12,17,111,
,Basic Box Score Stats
