,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,33:28,8,17,.471,3,8,.375,1,2,.500,0,2,2,3,0,0,0,0,20,-5
Dorian Finney-Smith,32:45,8,14,.571,5,9,.556,0,0,,2,1,3,0,0,1,0,1,21,-8
Ben Simmons,32:44,4,8,.500,0,0,,0,0,,3,6,9,6,1,0,4,3,8,-9
Spencer Dinwiddie,30:56,4,7,.571,2,4,.500,0,0,,0,3,3,9,2,0,3,0,10,+15
Cam Thomas,30:55,6,18,.333,3,9,.333,2,2,1.000,1,4,5,4,0,1,0,1,17,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,31:46,3,10,.300,3,9,.333,0,0,,0,5,5,8,0,1,0,4,9,-3
Dennis Smith Jr.,16:27,3,9,.333,1,2,.500,0,0,,1,0,1,1,1,0,1,0,7,+8
Lonnie Walker IV,15:51,5,10,.500,1,4,.250,0,0,,0,1,1,1,0,1,0,2,11,+9
Day'Ron Sharpe,15:06,3,3,1.000,0,0,,0,1,.000,1,9,10,0,0,0,0,1,6,+8
Armoni Brooks,Did Not Play
Harry Giles,Did Not Play
Trendon Watford,Did Not Play
Jalen Wilson,Did Not Play
Team Totals,240,44,96,.458,18,45,.400,3,5,.600,8,31,39,32,4,4,8,12,109,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,8:13,4,7,.571,1,3,.333,0,0,,0,1,1,1,0,0,0,0,9,+8
Dorian Finney-Smith,9:18,3,3,1.000,2,2,1.000,0,0,,0,1,1,0,0,1,0,0,8,+6
Ben Simmons,9:18,2,2,1.000,0,0,,0,0,,0,2,2,2,1,0,1,0,4,+6
Spencer Dinwiddie,10:42,0,1,.000,0,1,.000,0,0,,0,2,2,7,1,0,0,0,0,+5
Cam Thomas,9:31,3,5,.600,1,3,.333,2,2,1.000,0,1,1,1,0,0,0,0,9,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,4:00,1,3,.333,1,3,.333,0,0,,0,1,1,1,0,0,0,0,3,-1
Dennis Smith Jr.,2:29,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Lonnie Walker IV,4:00,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-1
Day'Ron Sharpe,2:29,1,1,1.000,0,0,,0,1,.000,0,1,1,0,0,0,0,0,2,-3
Armoni Brooks,Did Not Play
Harry Giles,Did Not Play
Trendon Watford,Did Not Play
Jalen Wilson,Did Not Play
Team Totals,60,14,23,.609,5,12,.417,2,3,.667,0,10,10,13,2,1,1,1,35,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,8:03,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-7
Dorian Finney-Smith,6:57,3,4,.750,2,2,1.000,0,0,,1,0,1,0,0,0,0,0,8,-7
Ben Simmons,6:57,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,2,1,0,-7
Spencer Dinwiddie,5:56,1,2,.500,1,1,1.000,0,0,,0,0,0,1,0,0,1,0,3,+6
Cam Thomas,6:57,1,5,.200,1,2,.500,0,0,,0,0,0,1,0,0,0,1,3,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,10:01,2,4,.500,2,3,.667,0,0,,0,1,1,3,0,0,0,1,6,-7
