,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Desmond Bane,44:47,13,26,.500,3,9,.333,4,5,.800,1,7,8,7,4,3,3,5,33,+11
Marcus Smart,39:29,4,12,.333,0,5,.000,0,0,,1,2,3,4,1,0,5,2,8,-19
Jaren Jackson Jr.,37:42,11,17,.647,5,8,.625,3,6,.500,2,8,10,3,1,3,4,1,30,+3
David Roddy,32:18,8,14,.571,0,4,.000,0,0,,1,2,3,0,0,0,0,4,16,-13
Ziaire Williams,27:04,5,8,.625,1,1,1.000,2,2,1.000,0,6,6,3,1,1,2,6,13,-16
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luke Kennard,26:40,2,7,.286,1,4,.250,0,0,,1,7,8,3,0,0,0,1,5,-10
Xavier Tillman Sr.,24:03,3,8,.375,0,2,.000,0,0,,1,6,7,5,1,2,1,5,6,-11
Jacob Gilyard,12:22,0,0,,0,0,,0,0,,0,0,0,3,0,0,1,0,0,+17
John Konchar,10:36,1,2,.500,0,0,,0,0,,0,1,1,0,0,1,0,0,2,+13
Vince Williams Jr.,9:59,0,2,.000,0,2,.000,0,0,,0,2,2,1,0,0,1,1,0,+15
Bismack Biyombo,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,
Kenneth Lofton Jr.,Did Not Play
Team Totals,265,47,96,.490,10,35,.286,9,13,.692,7,41,48,29,8,10,17,25,113,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Desmond Bane,9:28,3,7,.429,1,4,.250,0,0,,1,1,2,1,1,1,0,1,7,-3
Marcus Smart,9:54,2,4,.500,0,2,.000,0,0,,0,0,0,2,0,0,1,0,4,-6
Jaren Jackson Jr.,8:04,2,4,.500,1,2,.500,1,2,.500,0,2,2,0,1,0,0,0,6,-4
David Roddy,9:05,1,4,.250,0,3,.000,0,0,,0,1,1,0,0,0,0,2,2,-8
Ziaire Williams,9:39,2,4,.500,1,1,1.000,2,2,1.000,0,1,1,0,0,0,0,1,7,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luke Kennard,4:38,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-5
Xavier Tillman Sr.,3:56,0,0,,0,0,,0,0,,1,0,1,2,0,0,0,1,0,-3
Jacob Gilyard,2:06,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-1
John Konchar,3:10,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,0,0,0,-1
Vince Williams Jr., 
Bismack Biyombo, 
Kenneth Lofton Jr.,Did Not Play
Team Totals,60,10,25,.400,3,13,.231,3,4,.750,2,7,9,6,2,2,1,5,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Desmond Bane,9:58,4,7,.571,2,2,1.000,1,2,.500,0,3,3,3,2,1,0,0,11,+14
Marcus Smart,5:40,1,5,.200,0,2,.000,0,0,,1,1,2,0,0,0,2,1,2,-10
Jaren Jackson Jr.,8:49,2,2,1.000,1,1,1.000,1,2,.500,0,2,2,1,0,1,1,0,6,+14
