,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kevin Durant,36:09,9,20,.450,1,4,.250,12,14,.857,1,7,8,3,1,2,5,1,31,-13
Eric Gordon,33:46,6,15,.400,1,4,.250,0,0,,0,1,1,3,2,2,1,1,13,-19
Grayson Allen,27:04,3,7,.429,2,5,.400,0,0,,1,2,3,2,0,0,1,3,8,0
Keita Bates-Diop,23:46,3,6,.500,2,3,.667,0,1,.000,0,3,3,2,1,2,0,0,8,-2
Jusuf Nurkić,22:47,4,14,.286,1,6,.167,2,4,.500,3,6,9,5,1,1,0,2,11,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Okogie,26:00,2,7,.286,0,2,.000,0,0,,1,0,1,2,2,1,1,0,4,-12
Yuta Watanabe,22:11,1,4,.250,1,4,.250,2,2,1.000,3,2,5,0,1,0,1,2,5,-13
Drew Eubanks,20:16,2,4,.500,0,0,,6,6,1.000,2,3,5,4,1,1,0,1,10,-13
Jordan Goodwin,15:38,2,10,.200,1,6,.167,1,2,.500,2,1,3,0,2,2,0,0,6,+5
Chimezie Metu,4:57,0,1,.000,0,1,.000,2,2,1.000,0,1,1,0,0,1,1,0,2,+4
Nassir Little,3:43,0,0,,0,0,,2,2,1.000,1,0,1,0,0,0,0,0,2,+3
Saben Lee,3:43,0,1,.000,0,0,,0,0,,1,1,2,1,0,0,0,1,0,+3
Udoka Azubuike,Did Not Play
Bol Bol,Did Not Play
Team Totals,240,32,89,.360,9,35,.257,27,33,.818,15,27,42,22,11,12,10,11,100,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kevin Durant,12:00,2,6,.333,0,0,,4,5,.800,0,2,2,1,1,0,2,1,8,-1
