,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Giannis Antetokounmpo,35:15,15,27,.556,1,7,.143,5,6,.833,2,10,12,3,1,2,3,1,36,+15
Damian Lillard,34:13,5,15,.333,2,8,.250,9,10,.900,2,4,6,7,1,0,1,1,21,-14
Brook Lopez,27:08,2,6,.333,0,3,.000,0,0,,4,3,7,2,0,0,0,3,4,-15
Khris Middleton,21:11,6,10,.600,1,4,.250,2,2,1.000,0,3,3,4,0,0,0,1,15,+9
Malik Beasley,14:00,1,5,.200,1,5,.200,0,0,,0,6,6,0,0,0,1,2,3,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jae Crowder,30:18,5,10,.500,4,9,.444,1,2,.500,2,3,5,0,1,0,2,1,15,-6
Bobby Portis,25:48,3,8,.375,1,2,.500,4,4,1.000,0,6,6,2,2,0,1,2,11,+14
Pat Connaughton,19:29,4,7,.571,2,5,.400,0,0,,1,0,1,3,0,0,1,1,10,-1
Cameron Payne,16:21,4,6,.667,3,4,.750,0,0,,0,1,1,3,0,0,0,1,11,+9
MarJon Beauchamp,16:17,1,2,.500,1,1,1.000,0,0,,1,0,1,2,1,0,1,0,3,+18
Thanasis Antetokounmpo,Did Not Play
A.J. Green,Did Not Play
Andre Jackson Jr.,Did Not Play
Chris Livingston,Did Not Play
Robin Lopez,Did Not Play
Team Totals,240,46,96,.479,16,48,.333,21,24,.875,12,36,48,26,6,2,10,13,129,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Giannis Antetokounmpo,9:01,6,10,.600,0,2,.000,0,0,,1,3,4,0,1,1,0,0,12,-3
Damian Lillard,8:29,1,4,.250,0,2,.000,0,0,,0,1,1,2,0,0,0,0,2,-3
Brook Lopez,8:29,1,3,.333,0,2,.000,0,0,,2,1,3,1,0,0,0,0,2,-3
Khris Middleton,5:30,1,4,.250,0,2,.000,0,0,,0,0,0,1,0,0,0,1,2,-3
Malik Beasley,6:19,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jae Crowder,6:30,2,2,1.000,2,2,1.000,0,0,,0,0,0,0,0,0,1,0,6,0
Bobby Portis,6:30,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0
Pat Connaughton,5:41,1,3,.333,0,2,.000,0,0,,0,0,0,1,0,0,1,1,2,0
Cameron Payne,3:31,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,0
MarJon Beauchamp, 
Thanasis Antetokounmpo,Did Not Play
A.J. Green,Did Not Play
Andre Jackson Jr.,Did Not Play
Chris Livingston,Did Not Play
Robin Lopez,Did Not Play
Team Totals,60,13,30,.433,3,14,.214,0,0,,3,10,13,5,1,1,2,2,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Giannis Antetokounmpo,7:08,2,5,.400,0,2,.000,1,2,.500,1,2,3,1,0,0,1,1,5,-3
Damian Lillard,8:50,2,6,.333,1,3,.333,3,3,1.000,0,0,0,2,1,0,1,0,8,-5
Brook Lopez,6:15,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,-6
Khris Middleton,4:52,1,1,1.000,0,0,,0,0,,0,0,0,2,0,0,0,0,2,+2
Malik Beasley,3:58,0,2,.000,0,2,.000,0,0,,0,2,2,0,0,0,0,1,0,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jae Crowder,6:15,1,2,.500,1,2,.500,0,0,,0,0,0,0,1,0,0,0,3,-6
Bobby Portis,5:45,1,1,1.000,1,1,1.000,2,2,1.000,0,2,2,0,0,0,0,0,5,+5
Pat Connaughton,5:45,1,1,1.000,1,1,1.000,0,0,,0,0,0,2,0,0,0,0,3,+5
Cameron Payne,3:10,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,+4
MarJon Beauchamp,8:02,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+6
Thanasis Antetokounmpo,Did Not Play
A.J. Green,Did Not Play
Andre Jackson Jr.,Did Not Play
Chris Livingston,Did Not Play
Robin Lopez,Did Not Play
Team Totals,60,11,21,.524,6,13,.462,6,7,.857,1,7,8,8,2,0,2,3,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Giannis Antetokounmpo,16:09,8,15,.533,0,4,.000,1,2,.500,2,5,7,1,1,1,1,1,17,-6
Damian Lillard,17:19,3,10,.300,1,5,.200,3,3,1.000,0,1,1,4,1,0,1,0,10,-8
Brook Lopez,14:44,2,4,.500,0,2,.000,0,0,,2,2,4,1,0,0,0,1,4,-9
Khris Middleton,10:22,2,5,.400,0,2,.000,0,0,,0,0,0,3,0,0,0,1,4,-1
Malik Beasley,10:17,0,3,.000,0,3,.000,0,0,,0,4,4,0,0,0,0,1,0,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jae Crowder,12:45,3,4,.750,3,4,.750,0,0,,0,0,0,0,1,0,1,0,9,-6
Bobby Portis,12:15,1,3,.333,1,1,1.000,2,2,1.000,0,4,4,0,0,0,0,0,5,+5
Pat Connaughton,11:26,2,4,.500,1,3,.333,0,0,,0,0,0,3,0,0,1,1,5,+5
Cameron Payne,6:41,2,2,1.000,2,2,1.000,0,0,,0,1,1,1,0,0,0,0,6,+4
MarJon Beauchamp,8:02,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+6
Thanasis Antetokounmpo,Did Not Play
A.J. Green,Did Not Play
Andre Jackson Jr.,Did Not Play
Chris Livingston,Did Not Play
Robin Lopez,Did Not Play
Team Totals,120,24,51,.471,9,27,.333,6,7,.857,4,17,21,13,3,1,4,5,63,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Giannis Antetokounmpo,9:40,3,5,.600,0,1,.000,0,0,,0,2,2,0,0,0,2,0,6,+10
Damian Lillard,8:07,1,1,1.000,1,1,1.000,3,3,1.000,0,2,2,2,0,0,0,1,6,-4
Brook Lopez,8:07,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-4
Khris Middleton,3:43,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,0,0,4,+1
Malik Beasley,3:43,1,2,.500,1,2,.500,0,0,,0,2,2,0,0,0,1,1,3,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jae Crowder,8:17,2,4,.500,1,3,.333,0,0,,2,1,3,0,0,0,1,1,5,+5
Bobby Portis,6:13,1,3,.333,0,1,.000,2,2,1.000,0,1,1,1,1,0,0,0,4,+6
Pat Connaughton,4:24,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-5
Cameron Payne,3:53,1,1,1.000,0,0,,0,0,,0,0,0,2,0,0,0,0,2,+10
MarJon Beauchamp,3:53,0,1,.000,0,0,,0,0,,1,0,1,2,0,0,1,0,0,+10
Thanasis Antetokounmpo,Did Not Play
A.J. Green,Did Not Play
Andre Jackson Jr.,Did Not Play
Chris Livingston,Did Not Play
Robin Lopez,Did Not Play
Team Totals,60,12,21,.571,4,9,.444,5,5,1.000,3,11,14,7,1,0,5,3,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Giannis Antetokounmpo,9:26,4,7,.571,1,2,.500,4,4,1.000,0,3,3,2,0,1,0,0,13,+11
Damian Lillard,8:47,1,4,.250,0,2,.000,3,4,.750,2,1,3,1,0,0,0,0,5,-2
Brook Lopez,4:17,0,1,.000,0,1,.000,0,0,,2,0,2,1,0,0,0,2,0,-2
Khris Middleton,7:06,2,3,.667,1,2,.500,2,2,1.000,0,1,1,1,0,0,0,0,7,+9
Malik Beasley, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jae Crowder,9:16,0,2,.000,0,2,.000,1,2,.500,0,2,2,0,0,0,0,0,1,-5
Bobby Portis,7:19,1,2,.500,0,0,,0,0,,0,1,1,1,1,0,1,2,2,+3
Pat Connaughton,3:39,1,2,.500,0,1,.000,0,0,,1,0,1,0,0,0,0,0,2,-1
Cameron Payne,5:47,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,-5
MarJon Beauchamp,4:22,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,+2
Thanasis Antetokounmpo,Did Not Play
A.J. Green,Did Not Play
Andre Jackson Jr.,Did Not Play
Chris Livingston,Did Not Play
Robin Lopez,Did Not Play
Team Totals,60,10,24,.417,3,12,.250,10,12,.833,5,8,13,6,2,1,1,5,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Giannis Antetokounmpo,19:06,7,12,.583,1,3,.333,4,4,1.000,0,5,5,2,0,1,2,0,19,+21
Damian Lillard,16:54,2,5,.400,1,3,.333,6,7,.857,2,3,5,3,0,0,0,1,11,-6
Brook Lopez,12:24,0,2,.000,0,1,.000,0,0,,2,1,3,1,0,0,0,2,0,-6
Khris Middleton,10:49,4,5,.800,1,2,.500,2,2,1.000,0,3,3,1,0,0,0,0,11,+10
Malik Beasley,3:43,1,2,.500,1,2,.500,0,0,,0,2,2,0,0,0,1,1,3,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jae Crowder,17:33,2,6,.333,1,5,.200,1,2,.500,2,3,5,0,0,0,1,1,6,0
Bobby Portis,13:32,2,5,.400,0,1,.000,2,2,1.000,0,2,2,2,2,0,1,2,6,+9
Pat Connaughton,8:03,2,3,.667,1,2,.500,0,0,,1,0,1,0,0,0,0,0,5,-6
Cameron Payne,9:40,2,4,.500,1,2,.500,0,0,,0,0,0,2,0,0,0,1,5,+5
MarJon Beauchamp,8:15,0,1,.000,0,0,,0,0,,1,0,1,2,1,0,1,0,0,+12
Thanasis Antetokounmpo,Did Not Play
A.J. Green,Did Not Play
Andre Jackson Jr.,Did Not Play
Chris Livingston,Did Not Play
Robin Lopez,Did Not Play
Team Totals,120,22,45,.489,7,21,.333,15,17,.882,8,19,27,13,3,1,6,8,66,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Giannis Antetokounmpo,35:15,.607,.574,.259,.222,5.8,29.0,17.4,16.0,1.3,4.9,9.2,38.1,118,117,6.2
Damian Lillard,34:13,.541,.400,.533,.667,6.0,11.9,9.0,25.2,1.4,0.0,4.9,24.6,131,124,1.7
Brook Lopez,27:08,.333,.333,.500,.000,15.1,11.3,13.2,8.3,0.0,0.0,0.0,9.1,121,128,-7.3
Khris Middleton,21:11,.689,.650,.400,.200,0.0,14.5,7.2,28.0,0.0,0.0,0.0,21.2,154,127,5.6
Malik Beasley,14:00,.300,.300,1.000,.000,0.0,43.8,21.9,0.0,0.0,0.0,16.7,17.6,53,119,-16.7
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jae Crowder,30:18,.689,.700,.900,.200,6.7,10.1,8.4,0.0,1.6,0.0,15.5,17.5,118,125,-1.0
Bobby Portis,25:48,.564,.438,.250,.500,0.0,23.8,11.9,9.2,3.7,0.0,9.3,17.2,117,116,-0.6
Pat Connaughton,19:29,.714,.714,.714,.000,5.2,0.0,2.6,20.4,0.0,0.0,12.5,16.9,138,131,2.2
Cameron Payne,16:21,.917,.917,.667,.000,0.0,6.2,3.1,25.7,0.0,0.0,0.0,15.1,189,129,10.5
MarJon Beauchamp,16:17,.750,.750,.500,.000,6.3,0.0,3.1,13.7,2.9,0.0,33.3,7.6,128,124,1.1
Thanasis Antetokounmpo,Did Not Play
A.J. Green,Did Not Play
Andre Jackson Jr.,Did Not Play
Chris Livingston,Did Not Play
Robin Lopez,Did Not Play
Team Totals,240,.605,.563,.500,.250,25.5,76.6,51.1,56.5,5.9,3.6,8.6,100.0,127.0,123.1,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cam Thomas,40:35,17,33,.515,6,16,.375,5,6,.833,1,3,4,3,1,0,1,3,45,+3
Mikal Bridges,38:39,12,21,.571,1,5,.200,6,7,.857,1,4,5,4,1,1,1,2,31,+7
Dorian Finney-Smith,36:53,3,12,.250,1,7,.143,0,0,,4,2,6,2,0,1,1,2,7,+7
Ben Simmons,33:22,1,3,.333,0,0,,0,0,,3,12,15,4,0,0,1,3,2,-12
Spencer Dinwiddie,23:42,1,4,.250,1,3,.333,0,0,,1,2,3,3,0,0,0,0,3,+13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,25:07,4,8,.500,4,7,.571,0,0,,1,8,9,3,0,1,1,4,12,-12
