,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Hawkins,37:59,10,19,.526,7,14,.500,4,5,.800,1,6,7,3,1,0,1,2,31,-15
Zion Williamson,36:50,10,22,.455,0,0,,0,1,.000,3,7,10,9,2,0,0,2,20,-11
Brandon Ingram,35:48,10,22,.455,0,4,.000,2,2,1.000,1,1,2,5,0,0,5,1,22,-29
Herbert Jones,31:05,1,3,.333,0,2,.000,2,2,1.000,0,2,2,2,2,0,1,2,4,-23
Jonas Valančiūnas,23:56,2,6,.333,0,1,.000,2,2,1.000,2,9,11,2,0,1,2,6,6,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Matt Ryan,25:08,5,8,.625,4,6,.667,3,3,1.000,0,0,0,1,0,0,0,3,17,-4
Dyson Daniels,20:32,4,5,.800,1,1,1.000,0,0,,0,2,2,1,1,1,3,0,9,+9
Larry Nance Jr.,15:07,2,3,.667,1,1,1.000,0,0,,1,2,3,1,0,0,1,1,5,+2
Kira Lewis Jr.,9:29,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,0
Cody Zeller,4:06,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-9
E.J. Liddell,Did Not Play
Dereon Seabron,Did Not Play
Team Totals,240,45,90,.500,13,30,.433,13,15,.867,8,30,38,24,6,2,13,18,116,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Hawkins,6:53,1,3,.333,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,0
Zion Williamson,8:02,0,2,.000,0,0,,0,0,,0,2,2,1,0,0,0,1,0,-2
Brandon Ingram,10:51,3,5,.600,0,0,,2,2,1.000,0,1,1,2,0,0,0,0,8,+4
Herbert Jones,8:56,0,0,,0,0,,0,0,,0,1,1,2,0,0,0,0,0,+2
Jonas Valančiūnas,10:51,2,5,.400,0,1,.000,2,2,1.000,2,6,8,2,0,0,1,1,6,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Matt Ryan,5:07,2,4,.500,2,3,.667,0,0,,0,0,0,0,0,0,0,0,6,+2
Dyson Daniels,3:14,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,1,0,2,-2
Larry Nance Jr.,1:09,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Kira Lewis Jr.,4:57,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+4
Cody Zeller, 
E.J. Liddell,Did Not Play
Dereon Seabron,Did Not Play
Team Totals,60,10,22,.455,3,6,.500,4,4,1.000,2,11,13,7,1,0,2,2,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Hawkins,11:38,5,7,.714,3,5,.600,0,0,,0,2,2,3,0,0,0,0,13,+11
Zion Williamson,9:03,3,4,.750,0,0,,0,1,.000,1,1,2,6,1,0,0,0,6,+14
Brandon Ingram,6:07,3,6,.500,0,1,.000,0,0,,0,0,0,1,0,0,1,0,6,-5
Herbert Jones,6:07,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-5
Jonas Valančiūnas,5:37,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Matt Ryan,9:42,2,3,.667,2,3,.667,1,1,1.000,0,0,0,1,0,0,0,1,7,+10
Dyson Daniels,5:53,3,3,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,7,+15
Larry Nance Jr.,5:53,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,+15
Kira Lewis Jr., 
Cody Zeller, 
E.J. Liddell,Did Not Play
Dereon Seabron,Did Not Play
Team Totals,60,18,25,.720,7,11,.636,1,2,.500,1,5,6,12,1,0,1,2,44,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Hawkins,18:31,6,10,.600,4,7,.571,0,0,,0,3,3,3,0,0,0,0,16,+11
Zion Williamson,17:05,3,6,.500,0,0,,0,1,.000,1,3,4,7,1,0,0,1,6,+12
Brandon Ingram,16:58,6,11,.545,0,1,.000,2,2,1.000,0,1,1,3,0,0,1,0,14,-1
Herbert Jones,15:03,1,1,1.000,0,0,,0,0,,0,1,1,2,0,0,0,0,2,-3
Jonas Valančiūnas,16:28,2,5,.400,0,1,.000,2,2,1.000,2,7,9,2,0,0,1,2,6,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Matt Ryan,14:49,4,7,.571,4,6,.667,1,1,1.000,0,0,0,1,0,0,0,1,13,+12
Dyson Daniels,9:07,4,4,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,1,0,9,+13
Larry Nance Jr.,7:02,1,2,.500,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,+13
Kira Lewis Jr.,4:57,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+4
Cody Zeller, 
E.J. Liddell,Did Not Play
Dereon Seabron,Did Not Play
Team Totals,120,28,47,.596,10,17,.588,5,6,.833,3,16,19,19,2,0,3,4,71,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Hawkins,7:28,1,4,.250,1,3,.333,2,2,1.000,0,1,1,0,1,0,0,1,5,-15
Zion Williamson,9:25,3,10,.300,0,0,,0,0,,2,2,4,1,1,0,0,0,6,-12
Brandon Ingram,8:12,2,6,.333,0,2,.000,0,0,,0,0,0,1,0,0,2,1,4,-16
Herbert Jones,7:58,0,0,,0,0,,0,0,,0,1,1,0,1,0,1,2,0,-15
Jonas Valančiūnas,5:47,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,1,2,0,-9
