,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Domantas Sabonis,30:19,3,4,.750,0,0,,2,3,.667,3,5,8,5,0,0,4,4,8,-24
Keegan Murray,27:56,5,11,.455,2,6,.333,0,0,,0,5,5,1,1,0,2,3,12,-18
Davion Mitchell,27:24,2,11,.182,1,5,.200,0,0,,1,0,1,2,0,1,0,2,5,-30
Kevin Huerter,25:13,5,10,.500,3,8,.375,0,1,.000,0,3,3,2,1,0,3,0,13,-26
Harrison Barnes,21:56,1,6,.167,0,4,.000,1,2,.500,0,0,0,1,0,0,0,0,3,-21
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Chris Duarte,15:06,1,3,.333,1,1,1.000,2,4,.500,0,1,1,2,0,0,1,1,5,-8
Malik Monk,14:39,2,6,.333,1,3,.333,0,0,,0,1,1,2,1,0,1,3,5,-16
Keon Ellis,14:26,5,7,.714,4,6,.667,1,4,.250,1,1,2,1,1,0,0,1,15,+10
Colby Jones,12:52,4,6,.667,0,0,,2,2,1.000,3,2,5,1,0,0,0,1,10,+4
Kessler Edwards,12:22,1,4,.250,1,2,.500,1,2,.500,0,1,1,2,1,0,0,1,4,+11
Sasha Vezenkov,11:37,1,4,.250,0,3,.000,0,0,,0,0,0,1,0,0,0,2,2,-15
JaVale McGee,10:07,4,5,.800,0,0,,2,2,1.000,3,0,3,0,0,0,2,4,10,-11
Jordan Ford,8:29,2,3,.667,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,5,+9
Alex Len,7:34,0,1,.000,0,1,.000,0,0,,1,2,3,1,0,1,0,0,0,+10
Filip Petrušev,Did Not Play
Team Totals,240,36,81,.444,14,40,.350,11,20,.550,12,22,34,22,5,2,13,22,97,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Domantas Sabonis,9:22,1,1,1.000,0,0,,0,0,,1,1,2,2,0,0,0,1,2,-6
Keegan Murray,9:31,2,4,.500,1,3,.333,0,0,,0,3,3,0,0,0,0,1,5,-6
Davion Mitchell,6:53,0,3,.000,0,1,.000,0,0,,0,0,0,1,0,1,0,0,0,-2
Kevin Huerter,6:53,3,5,.600,2,4,.500,0,0,,0,0,0,1,1,0,1,0,8,-2
Harrison Barnes,9:22,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Chris Duarte, 
Malik Monk,5:07,2,4,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,2,5,-8
Keon Ellis, 
Colby Jones,3:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-6
Kessler Edwards, 
Sasha Vezenkov,5:07,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-8
JaVale McGee,2:38,1,1,1.000,0,0,,0,0,,2,0,2,0,0,0,1,2,2,-4
Jordan Ford,1:59,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-2
Alex Len, 
Filip Petrušev,Did Not Play
Team Totals,60,9,22,.409,4,13,.308,0,0,,3,4,7,6,1,1,2,8,22,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Domantas Sabonis,8:12,1,1,1.000,0,0,,0,0,,1,1,2,1,0,0,1,2,2,-10
Keegan Murray,5:40,1,4,.250,0,1,.000,0,0,,0,1,1,0,0,0,1,2,2,-4
Davion Mitchell,10:57,2,5,.400,1,3,.333,0,0,,1,0,1,1,0,0,0,2,5,-18
Kevin Huerter,8:46,1,2,.500,1,2,.500,0,0,,0,1,1,1,0,0,1,0,3,-14
Harrison Barnes,6:44,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,0,0,0,2,-13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Chris Duarte,7:10,0,2,.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,-7
Malik Monk,1:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,+3
Keon Ellis, 
Colby Jones,3:14,1,3,.333,0,0,,2,2,1.000,3,0,3,0,0,0,0,0,4,-1
Kessler Edwards,2:41,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Sasha Vezenkov,1:45,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-4
JaVale McGee,2:44,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,1,0,-4
Jordan Ford, 
Alex Len,1:04,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1
Filip Petrušev,Did Not Play
Team Totals,60,7,21,.333,2,8,.250,4,4,1.000,6,5,11,3,0,0,5,9,20,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Domantas Sabonis,17:34,2,2,1.000,0,0,,0,0,,2,2,4,3,0,0,1,3,4,-16
Keegan Murray,15:11,3,8,.375,1,4,.250,0,0,,0,4,4,0,0,0,1,3,7,-10
Davion Mitchell,17:50,2,8,.250,1,4,.250,0,0,,1,0,1,2,0,1,0,2,5,-20
Kevin Huerter,15:39,4,7,.571,3,6,.500,0,0,,0,1,1,2,1,0,2,0,11,-16
Harrison Barnes,16:06,1,5,.200,0,4,.000,0,0,,0,0,0,1,0,0,0,0,2,-19
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Chris Duarte,7:10,0,2,.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,-7
Malik Monk,6:10,2,4,.500,1,1,1.000,0,0,,0,0,0,0,0,0,1,3,5,-5
Keon Ellis, 
Colby Jones,6:22,1,3,.333,0,0,,2,2,1.000,3,0,3,0,0,0,0,1,4,-7
Kessler Edwards,2:41,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Sasha Vezenkov,6:52,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,2,0,-12
JaVale McGee,5:22,1,1,1.000,0,0,,0,0,,3,0,3,0,0,0,2,3,2,-8
Jordan Ford,1:59,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-2
Alex Len,1:04,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1
Filip Petrušev,Did Not Play
Team Totals,120,16,43,.372,6,21,.286,4,4,1.000,9,9,18,9,1,1,7,17,42,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Domantas Sabonis,9:34,1,2,.500,0,0,,2,3,.667,1,3,4,1,0,0,3,1,4,-10
Keegan Murray,9:34,2,2,1.000,1,1,1.000,0,0,,0,0,0,1,1,0,0,0,5,-10
Davion Mitchell,9:34,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-10
Kevin Huerter,9:34,1,3,.333,0,2,.000,0,1,.000,0,2,2,0,0,0,1,0,2,-10
Harrison Barnes,5:50,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Chris Duarte,2:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Malik Monk,6:10,0,2,.000,0,2,.000,0,0,,0,1,1,2,1,0,0,0,0,-10
Keon Ellis,2:26,0,1,.000,0,1,.000,0,2,.000,0,0,0,0,0,0,0,1,0,-2
Colby Jones, 
Kessler Edwards, 
Sasha Vezenkov,2:26,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,-2
JaVale McGee,2:26,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,4,-2
Jordan Ford, 
Alex Len, 
Filip Petrušev,Did Not Play
Team Totals,60,6,17,.353,1,8,.125,5,10,.500,1,6,7,4,2,0,4,3,18,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Domantas Sabonis,3:11,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+2
Keegan Murray,3:11,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,+2
Davion Mitchell, 
Kevin Huerter, 
Harrison Barnes, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Chris Duarte,5:30,1,1,1.000,1,1,1.000,0,2,.000,0,0,0,2,0,0,1,1,3,+1
Malik Monk,2:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Keon Ellis,12:00,5,6,.833,4,5,.800,1,2,.500,1,1,2,1,1,0,0,0,15,+12
Colby Jones,6:30,3,3,1.000,0,0,,0,0,,0,2,2,1,0,0,0,0,6,+11
Kessler Edwards,9:41,1,3,.333,1,2,.500,1,2,.500,0,1,1,2,1,0,0,1,4,+13
Sasha Vezenkov,2:19,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-1
JaVale McGee,2:19,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,0,0,4,-1
Jordan Ford,6:30,2,3,.667,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,5,+11
Alex Len,6:30,0,1,.000,0,1,.000,0,0,,1,1,2,1,0,1,0,0,0,+11
Filip Petrušev,Did Not Play
Team Totals,60,14,21,.667,7,11,.636,2,6,.333,2,7,9,9,2,1,2,2,37,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Domantas Sabonis,12:45,1,2,.500,0,0,,2,3,.667,1,3,4,2,0,0,3,1,4,-8
Keegan Murray,12:45,2,3,.667,1,2,.500,0,0,,0,1,1,1,1,0,1,0,5,-8
Davion Mitchell,9:34,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-10
Kevin Huerter,9:34,1,3,.333,0,2,.000,0,1,.000,0,2,2,0,0,0,1,0,2,-10
Harrison Barnes,5:50,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Chris Duarte,7:56,1,1,1.000,1,1,1.000,0,2,.000,0,0,0,2,0,0,1,1,3,-1
Malik Monk,8:29,0,2,.000,0,2,.000,0,0,,0,1,1,2,1,0,0,0,0,-11
Keon Ellis,14:26,5,7,.714,4,6,.667,1,4,.250,1,1,2,1,1,0,0,1,15,+10
Colby Jones,6:30,3,3,1.000,0,0,,0,0,,0,2,2,1,0,0,0,0,6,+11
Kessler Edwards,9:41,1,3,.333,1,2,.500,1,2,.500,0,1,1,2,1,0,0,1,4,+13
Sasha Vezenkov,4:45,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,-3
JaVale McGee,4:45,3,4,.750,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,8,-3
Jordan Ford,6:30,2,3,.667,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,5,+11
Alex Len,6:30,0,1,.000,0,1,.000,0,0,,1,1,2,1,0,1,0,0,0,+11
Filip Petrušev,Did Not Play
Team Totals,120,20,38,.526,8,19,.421,7,16,.438,3,13,16,13,4,1,6,5,55,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Domantas Sabonis,30:19,.752,.750,.000,.750,10.3,29.3,17.4,25.3,0.0,0.0,42.9,14.4,110,138,-6.2
Keegan Murray,27:56,.545,.545,.545,.000,0.0,31.8,11.8,6.3,1.9,0.0,15.4,21.7,93,134,-6.5
Davion Mitchell,27:24,.227,.227,.455,.000,3.8,0.0,2.4,10.8,0.0,4.0,0.0,18.7,69,139,-14.5
Kevin Huerter,25:13,.623,.650,.800,.100,0.0,21.2,7.8,14.4,2.1,0.0,22.3,24.9,95,135,-1.3
Harrison Barnes,21:56,.218,.167,.667,.333,0.0,0.0,0.0,6.5,0.0,0.0,0.0,14.6,60,142,-15.9
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Chris Duarte,15:06,.525,.500,.333,1.333,0.0,11.8,4.4,19.4,0.0,0.0,17.4,17.8,103,140,-6.2
Malik Monk,14:39,.417,.417,.500,.000,0.0,12.1,4.5,22.3,3.7,0.0,14.3,22.3,87,132,-9.0
Keon Ellis,14:26,.856,1.000,.857,.571,7.2,12.3,9.1,17.2,3.7,0.0,0.0,28.3,154,132,25.4
Colby Jones,12:52,.727,.667,.000,.333,24.3,27.6,25.6,17.7,0.0,0.0,0.0,25.0,163,139,10.5
Kessler Edwards,12:22,.410,.375,.500,.500,0.0,14.4,5.3,24.2,4.3,0.0,0.0,18.4,108,130,0.6
Sasha Vezenkov,11:37,.250,.250,.750,.000,0.0,0.0,0.0,13.0,0.0,0.0,0.0,16.1,71,141,-16.8
JaVale McGee,10:07,.850,.800,.000,.400,30.9,0.0,19.5,0.0,0.0,0.0,25.4,36.4,127,141,-4.5
Jordan Ford,8:29,.833,.833,.333,.000,0.0,21.0,7.8,22.9,0.0,0.0,0.0,16.5,170,140,7.8
Alex Len,7:34,.000,.000,1.000,.000,13.8,47.0,26.1,17.6,0.0,14.4,0.0,6.2,98,126,-0.8
Filip Petrušev,Did Not Play
Team Totals,240,.540,.531,.494,.247,26.1,81.5,46.6,61.1,5.6,4.5,12.6,100.0,108.4,136.4,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dillon Brooks,27:34,3,6,.500,1,3,.333,2,2,1.000,0,6,6,1,0,0,1,1,9,+34
Fred VanVleet,27:23,3,8,.375,3,5,.600,2,2,1.000,0,4,4,5,0,0,1,1,11,+34
Alperen Şengün,25:37,7,13,.538,0,2,.000,3,4,.750,2,6,8,12,1,0,1,3,17,+30
Jalen Green,25:36,5,9,.556,3,5,.600,10,12,.833,0,2,2,2,1,1,3,0,23,+13
Jabari Smith Jr.,21:50,5,8,.625,3,5,.600,0,0,,0,4,4,0,0,1,0,4,13,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Holiday,21:09,6,6,1.000,0,0,,1,1,1.000,0,3,3,1,1,0,2,1,13,+16
Jae'Sean Tate,20:35,3,5,.600,2,4,.500,0,0,,1,3,4,1,2,0,0,2,8,+28
Jock Landale,15:53,2,3,.667,1,2,.500,0,0,,1,0,1,1,1,0,2,2,5,+6
Cam Whitmore,12:00,3,5,.600,0,1,.000,1,2,.500,0,1,1,1,1,0,0,1,7,-12
Jermaine Samuels,12:00,2,2,1.000,0,0,,0,0,,1,2,3,0,0,1,0,1,4,-12
Reggie Bullock,12:00,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,1,0,-12
Nate Hinton,6:30,2,4,.500,2,2,1.000,0,0,,0,0,0,0,0,0,0,1,6,-11
Boban Marjanović,6:30,0,3,.000,0,1,.000,0,0,,0,1,1,2,0,1,0,0,0,-11
Jeff Green,5:23,2,2,1.000,0,0,,2,4,.500,0,1,1,0,1,0,0,1,6,+12
Team Totals,240,43,75,.573,15,31,.484,21,27,.778,5,34,39,28,8,4,10,19,122,
,Basic Box Score Stats
