,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malaki Branham,28:27,3,6,.500,0,2,.000,2,2,1.000,0,0,0,2,0,0,0,0,8,-28
Keldon Johnson,23:06,6,12,.500,0,0,,4,5,.800,1,2,3,3,0,0,1,1,16,-19
Victor Wembanyama,21:17,3,12,.250,2,5,.400,5,6,.833,1,9,10,0,1,2,2,1,13,-9
Jeremy Sochan,20:39,3,9,.333,0,1,.000,0,0,,1,2,3,1,0,0,2,2,6,-18
Zach Collins,19:40,6,8,.750,1,2,.500,1,3,.333,2,3,5,2,0,0,2,2,14,-12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Doug McDermott,19:32,5,9,.556,4,6,.667,3,4,.750,0,1,1,4,0,0,0,1,17,-18
Tre Jones,18:47,1,5,.200,0,2,.000,2,2,1.000,1,0,1,8,0,0,1,1,4,-21
Cedi Osman,18:40,2,6,.333,1,2,.500,1,2,.500,1,2,3,2,1,0,1,1,6,-22
Charles Bassey,17:18,5,5,1.000,0,0,,0,0,,2,1,3,1,3,0,1,3,10,-26
Julian Champagnie,16:35,2,8,.250,0,3,.000,0,0,,0,2,2,0,0,2,1,0,4,-15
Devonte' Graham,12:00,0,2,.000,0,1,.000,2,2,1.000,1,0,1,1,2,1,0,0,2,-9
Sandro Mamukelashvili,8:49,2,4,.500,0,2,.000,1,2,.500,2,2,4,1,0,0,0,0,5,-6
Dominick Barlow,7:35,1,4,.250,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,4,-1
Blake Wesley,7:35,1,4,.250,0,0,,0,0,,0,0,0,1,0,0,0,2,2,-1
Team Totals,240,40,94,.426,8,26,.308,23,30,.767,12,24,36,26,7,5,11,15,111,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malaki Branham,8:14,2,4,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,4,-7
Keldon Johnson,6:33,1,1,1.000,0,0,,0,1,.000,0,1,1,2,0,0,0,1,2,-5
Victor Wembanyama,6:00,1,3,.333,0,0,,0,0,,0,3,3,0,0,0,0,1,2,-3
Jeremy Sochan,2:38,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,1,2,2,-5
Zach Collins,6:33,2,2,1.000,1,1,1.000,0,0,,0,2,2,1,0,0,1,1,5,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Doug McDermott,5:27,1,3,.333,1,2,.500,3,4,.750,0,0,0,1,0,0,0,0,6,-11
Tre Jones,9:22,0,3,.000,0,1,.000,0,0,,0,0,0,4,0,0,0,1,0,-11
Cedi Osman,6:00,1,2,.500,1,1,1.000,0,0,,0,0,0,0,1,0,0,0,3,-13
Charles Bassey,5:27,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,-11
Julian Champagnie,3:46,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,0,2,-9
Devonte' Graham, 
Sandro Mamukelashvili, 
Dominick Barlow, 
Blake Wesley, 
Team Totals,60,11,23,.478,3,7,.429,3,5,.600,0,8,8,8,1,0,3,7,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malaki Branham,9:02,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,4,-11
Keldon Johnson,8:33,4,8,.500,0,0,,4,4,1.000,1,0,1,1,0,0,1,0,12,-7
Victor Wembanyama,8:48,1,4,.250,1,2,.500,3,4,.750,0,2,2,0,0,1,0,0,6,-5
Jeremy Sochan,7:07,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-4
Zach Collins,6:38,2,2,1.000,0,0,,1,3,.333,1,0,1,0,0,0,0,1,5,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Doug McDermott,6:54,1,3,.333,1,2,.500,0,0,,0,1,1,1,0,0,0,0,3,-4
Tre Jones,3:54,0,0,,0,0,,2,2,1.000,0,0,0,1,0,0,0,0,2,-4
Cedi Osman,7:09,0,1,.000,0,0,,1,2,.500,1,2,3,2,0,0,0,1,1,-3
Charles Bassey,1:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Julian Champagnie, 
Devonte' Graham, 
Sandro Mamukelashvili, 
Dominick Barlow, 
Blake Wesley, 
Team Totals,60,9,21,.429,2,4,.500,13,17,.765,3,5,8,6,0,1,1,2,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malaki Branham,17:16,3,5,.600,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,8,-18
Keldon Johnson,15:06,5,9,.556,0,0,,4,5,.800,1,1,2,3,0,0,1,1,14,-12
Victor Wembanyama,14:48,2,7,.286,1,2,.500,3,4,.750,0,5,5,0,0,1,0,1,8,-8
Jeremy Sochan,9:45,1,4,.250,0,1,.000,0,0,,0,1,1,1,0,0,1,2,2,-9
Zach Collins,13:11,4,4,1.000,1,1,1.000,1,3,.333,1,2,3,1,0,0,1,2,10,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Doug McDermott,12:21,2,6,.333,2,4,.500,3,4,.750,0,1,1,2,0,0,0,0,9,-15
Tre Jones,13:16,0,3,.000,0,1,.000,2,2,1.000,0,0,0,5,0,0,0,1,2,-15
Cedi Osman,13:09,1,3,.333,1,1,1.000,1,2,.500,1,2,3,2,1,0,0,1,4,-16
Charles Bassey,7:22,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,-12
Julian Champagnie,3:46,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,0,2,-9
Devonte' Graham, 
Sandro Mamukelashvili, 
Dominick Barlow, 
Blake Wesley, 
Team Totals,120,20,44,.455,5,11,.455,16,22,.727,3,13,16,14,1,1,4,9,61,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malaki Branham,8:00,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-7
Keldon Johnson,8:00,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-7
Victor Wembanyama,6:29,1,5,.200,1,3,.333,2,2,1.000,1,4,5,0,1,1,2,0,5,-1
Jeremy Sochan,6:29,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,0,0,2,-1
Zach Collins,6:29,2,4,.500,0,1,.000,0,0,,1,1,2,1,0,0,1,0,4,-1
