,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jayson Tatum,42:58,12,22,.545,2,8,.250,6,8,.750,0,5,5,2,5,0,6,2,32,+3
Jrue Holiday,41:36,4,16,.250,0,4,.000,4,6,.667,3,8,11,6,1,0,3,3,12,-19
Jaylen Brown,39:29,10,21,.476,3,8,.375,3,4,.750,0,7,7,4,1,0,3,5,26,-16
Al Horford,36:02,1,5,.200,1,4,.250,0,0,,2,3,5,4,1,0,2,4,3,+7
Kristaps Porziņģis,35:40,5,14,.357,2,6,.333,8,10,.800,1,4,5,1,1,1,1,5,20,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sam Hauser,24:45,3,8,.375,3,8,.375,2,2,1.000,1,3,4,0,1,1,1,3,11,-3
Payton Pritchard,20:22,0,3,.000,0,1,.000,0,0,,3,3,6,3,0,0,0,2,0,+13
Luke Kornet,15:52,1,2,.500,0,0,,3,4,.750,1,0,1,0,2,0,0,2,5,+4
Lamar Stevens,4:23,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,0,0,0,-5
Svi Mykhailiuk,3:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Dalano Banton,Did Not Play
Oshae Brissett,Did Not Play
Team Totals,265,36,92,.391,11,39,.282,26,34,.765,11,34,45,20,13,2,16,26,109,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jayson Tatum,9:42,3,5,.600,0,2,.000,1,2,.500,0,1,1,0,2,0,2,0,7,+3
Jrue Holiday,8:09,0,2,.000,0,1,.000,1,2,.500,0,2,2,1,1,0,1,1,1,-1
Jaylen Brown,8:09,4,6,.667,1,3,.333,0,0,,0,2,2,1,1,0,1,2,9,-1
Al Horford,3:46,0,0,,0,0,,0,0,,1,1,2,2,0,0,0,2,0,+4
Kristaps Porziņģis,10:24,2,6,.333,1,3,.333,2,2,1.000,1,1,2,1,0,1,1,0,7,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sam Hauser,6:09,0,0,,0,0,,2,2,1.000,1,0,1,0,0,0,1,1,2,-8
Payton Pritchard,3:51,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-2
Luke Kornet,1:36,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-3
Lamar Stevens,4:23,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,0,0,0,-5
Svi Mykhailiuk,3:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Dalano Banton,Did Not Play
Oshae Brissett,Did Not Play
Team Totals,60,9,21,.429,2,9,.222,6,8,.750,4,9,13,5,5,1,6,8,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jayson Tatum,8:07,3,5,.600,0,0,,0,0,,0,1,1,1,2,0,1,0,6,+5
Jrue Holiday,9:19,1,5,.200,0,1,.000,1,2,.500,1,2,3,1,0,0,0,0,3,-2
Jaylen Brown,8:05,2,6,.333,1,2,.500,0,0,,0,2,2,1,0,0,0,0,5,-4
Al Horford,9:14,1,4,.250,1,3,.333,0,0,,1,1,2,1,1,0,1,0,3,+10
Kristaps Porziņģis,5:30,1,3,.333,0,1,.000,3,3,1.000,0,1,1,0,0,0,0,3,5,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sam Hauser,6:28,1,2,.500,1,2,.500,0,0,,0,2,2,0,0,0,0,0,3,+5
Payton Pritchard,7:49,0,1,.000,0,1,.000,0,0,,1,2,3,1,0,0,0,0,0,+10
Luke Kornet,5:28,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,4,+4
Lamar Stevens, 
Svi Mykhailiuk, 
Dalano Banton,Did Not Play
Oshae Brissett,Did Not Play
Team Totals,60,10,27,.370,3,10,.300,6,7,.857,3,11,14,5,3,0,2,3,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jayson Tatum,17:49,6,10,.600,0,2,.000,1,2,.500,0,2,2,1,4,0,3,0,13,+8
Jrue Holiday,17:28,1,7,.143,0,2,.000,2,4,.500,1,4,5,2,1,0,1,1,4,-3
Jaylen Brown,16:14,6,12,.500,2,5,.400,0,0,,0,4,4,2,1,0,1,2,14,-5
Al Horford,13:00,1,4,.250,1,3,.333,0,0,,2,2,4,3,1,0,1,2,3,+14
Kristaps Porziņģis,15:54,3,9,.333,1,4,.250,5,5,1.000,1,2,3,1,0,1,1,3,12,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
