,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul George,39:06,7,20,.350,2,10,.200,8,8,1.000,1,6,7,1,3,1,3,2,24,-7
James Harden,35:57,4,9,.444,2,5,.400,2,2,1.000,0,8,8,5,2,0,5,0,12,-15
Kawhi Leonard,35:56,7,16,.438,1,6,.167,2,2,1.000,0,6,6,2,2,1,1,1,17,+3
Russell Westbrook,31:16,6,18,.333,1,5,.200,0,0,,3,4,7,8,0,0,1,1,13,-5
Ivica Zubac,29:20,5,9,.556,0,0,,0,0,,3,7,10,1,0,3,1,5,10,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,22:29,4,8,.500,2,5,.400,0,0,,0,1,1,1,2,2,1,2,10,-6
P.J. Tucker,20:48,1,3,.333,0,1,.000,1,1,1.000,3,3,6,3,1,1,0,3,3,+10
Terance Mann,19:21,0,2,.000,0,2,.000,0,0,,0,4,4,1,0,0,2,1,0,-2
Bones Hyland,5:47,2,6,.333,0,2,.000,0,0,,1,1,2,0,0,0,1,0,4,-2
Kobe Brown,Did Not Play
Amir Coffey,Did Not Play
Moussa Diabaté,Did Not Play
Team Totals,240,36,91,.396,8,36,.222,13,13,1.000,11,40,51,22,10,8,15,15,93,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul George,8:01,3,6,.500,0,1,.000,3,3,1.000,1,2,3,0,2,0,1,0,9,+6
James Harden,7:22,0,1,.000,0,0,,2,2,1.000,0,3,3,2,0,0,0,0,2,+6
Kawhi Leonard,10:25,1,4,.250,0,1,.000,0,0,,0,2,2,1,2,0,1,0,2,+8
Russell Westbrook,8:01,0,4,.000,0,2,.000,0,0,,0,1,1,3,0,0,0,1,0,+6
Ivica Zubac,7:07,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,4,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,3:59,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,1,0,0,0,+2
P.J. Tucker,6:28,0,0,,0,0,,0,0,,1,2,3,0,1,0,0,1,0,+7
Terance Mann,3:59,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,1,0,+2
Bones Hyland,4:38,2,6,.333,0,2,.000,0,0,,1,1,2,0,0,0,0,0,4,+2
Kobe Brown,Did Not Play
Amir Coffey,Did Not Play
Moussa Diabaté,Did Not Play
Team Totals,60,8,26,.308,0,9,.000,5,5,1.000,3,14,17,7,5,1,2,3,21,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul George,10:51,3,8,.375,2,4,.500,0,0,,0,1,1,0,0,1,0,0,8,-1
James Harden,9:23,3,3,1.000,1,1,1.000,0,0,,0,2,2,3,1,0,2,0,7,-5
Kawhi Leonard,6:49,1,3,.333,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,0,4,-3
Russell Westbrook,6:49,3,6,.500,1,1,1.000,0,0,,1,0,1,1,0,0,0,0,7,-3
Ivica Zubac,8:07,1,3,.333,0,0,,0,0,,2,3,5,1,0,2,0,1,2,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,5:11,0,0,,0,0,,0,0,,0,0,0,1,0,1,1,1,0,-2
P.J. Tucker,3:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-5
Terance Mann,7:48,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2
Bones Hyland,1:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-4
Kobe Brown,Did Not Play
Amir Coffey,Did Not Play
Moussa Diabaté,Did Not Play
Team Totals,60,11,23,.478,4,7,.571,2,2,1.000,3,8,11,6,1,4,4,3,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul George,18:52,6,14,.429,2,5,.400,3,3,1.000,1,3,4,0,2,1,1,0,17,+5
James Harden,16:45,3,4,.750,1,1,1.000,2,2,1.000,0,5,5,5,1,0,2,0,9,+1
Kawhi Leonard,17:14,2,7,.286,0,2,.000,2,2,1.000,0,3,3,1,2,0,1,0,6,+5
Russell Westbrook,14:50,3,10,.300,1,3,.333,0,0,,1,1,2,4,0,0,0,1,7,+3
Ivica Zubac,15:14,3,5,.600,0,0,,0,0,,2,4,6,1,0,2,0,1,6,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,9:10,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,2,1,1,0,0
P.J. Tucker,10:21,0,0,,0,0,,0,0,,1,2,3,0,1,0,0,2,0,+2
Terance Mann,11:47,0,1,.000,0,1,.000,0,0,,0,3,3,1,0,0,0,1,0,0
