,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Lauri Markkanen,35:18,8,16,.500,3,5,.600,5,6,.833,5,4,9,0,1,1,1,1,24,-12
Jordan Clarkson,33:56,12,26,.462,1,3,.333,8,8,1.000,2,1,3,5,1,1,6,3,33,-5
Keyonte George,30:52,3,8,.375,1,3,.333,0,0,,0,2,2,9,0,0,1,2,7,-11
John Collins,27:28,6,9,.667,1,2,.500,1,1,1.000,1,8,9,1,0,0,2,3,14,-7
Ochai Agbaji,25:57,1,3,.333,1,3,.333,0,0,,1,3,4,1,0,1,3,0,3,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kelly Olynyk,20:38,2,4,.500,0,2,.000,0,0,,1,4,5,0,1,0,2,5,4,-19
Talen Horton-Tucker,19:39,3,8,.375,0,1,.000,0,0,,2,2,4,5,0,1,4,1,6,+2
Simone Fontecchio,18:18,4,8,.500,2,5,.400,0,0,,3,2,5,1,0,1,2,2,10,-15
Collin Sexton,15:59,3,9,.333,1,2,.500,3,3,1.000,0,2,2,2,0,0,0,0,10,-7
Kris Dunn,11:55,3,5,.600,1,1,1.000,0,0,,1,3,4,2,0,0,0,0,7,-3
Luka Šamanić,Did Not Play
Omer Yurtseven,Did Not Play
Team Totals,240,45,96,.469,11,27,.407,17,18,.944,16,31,47,26,3,5,21,17,118,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Lauri Markkanen,7:32,3,4,.750,1,2,.500,0,0,,1,1,2,0,1,0,1,1,7,-6
Jordan Clarkson,9:51,4,8,.500,1,2,.500,2,2,1.000,0,0,0,1,0,0,1,0,11,+8
Keyonte George,6:06,0,2,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,0,0,+2
