,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bam Adebayo,36:23,8,15,.533,0,0,,14,16,.875,0,11,11,1,1,3,4,5,30,+15
Kyle Lowry,34:43,5,11,.455,4,7,.571,3,3,1.000,3,8,11,9,1,0,4,4,17,+20
Jimmy Butler,34:37,5,13,.385,2,4,.500,3,3,1.000,1,2,3,2,2,0,1,1,15,+12
Haywood Highsmith,26:51,5,7,.714,2,4,.500,2,2,1.000,2,0,2,1,1,3,0,2,14,+12
Tyler Herro,8:10,2,4,.500,0,0,,2,3,.667,0,1,1,2,1,0,0,2,6,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Duncan Robinson,35:06,3,7,.429,2,5,.400,1,2,.500,0,3,3,2,0,0,5,3,9,+2
Jaime Jaquez Jr.,21:08,4,5,.800,1,1,1.000,2,3,.667,0,3,3,2,2,0,0,5,11,-6
Josh Richardson,16:48,1,9,.111,0,5,.000,0,0,,0,0,0,2,0,1,4,1,2,-19
Dru Smith,14:35,1,3,.333,0,2,.000,0,0,,2,2,4,1,1,1,0,0,2,-3
Thomas Bryant,11:36,1,3,.333,0,0,,0,0,,1,5,6,0,0,0,1,1,2,-9
Kevin Love,Did Not Play
Orlando Robinson,Did Not Play
Team Totals,240,35,77,.455,11,28,.393,27,32,.844,9,35,44,22,9,8,19,24,108,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bam Adebayo,7:25,1,4,.250,0,0,,4,4,1.000,0,4,4,0,1,0,1,1,6,+7
Kyle Lowry,9:36,1,2,.500,1,2,.500,0,0,,0,0,0,3,0,0,0,1,3,+10
Jimmy Butler,10:42,2,2,1.000,2,2,1.000,2,2,1.000,0,2,2,1,0,0,0,0,8,+10
Haywood Highsmith,10:42,2,2,1.000,1,1,1.000,0,0,,1,0,1,0,1,3,0,0,5,+10
Tyler Herro,8:10,2,4,.500,0,0,,2,3,.667,0,1,1,2,1,0,0,2,6,+6
