,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cade Cunningham,38:54,11,27,.407,2,8,.250,9,10,.900,2,6,8,8,0,0,5,2,33,-8
Isaiah Stewart,36:57,3,9,.333,2,7,.286,0,0,,1,3,4,1,0,2,1,4,8,-4
Ausar Thompson,36:48,3,8,.375,0,1,.000,0,0,,3,12,15,3,0,1,2,4,6,-6
Killian Hayes,29:13,6,15,.400,0,3,.000,2,2,1.000,0,5,5,4,1,0,1,1,14,-3
Jalen Duren,28:27,5,10,.500,0,1,.000,1,1,1.000,3,9,12,5,0,0,2,5,11,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marcus Sasser,28:30,11,17,.647,3,7,.429,1,1,1.000,0,6,6,2,1,0,3,1,26,+5
Marvin Bagley III,19:33,5,6,.833,0,0,,2,2,1.000,2,0,2,2,0,1,1,4,12,+1
Jared Rhoden,12:43,3,4,.750,0,1,.000,0,0,,0,1,1,3,0,0,0,2,6,+10
Stanley Umude,8:55,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,1,2,1,2,-2
Malcolm Cazalon,Did Not Play
Joe Harris,Not With Team
Jaden Ivey,Not With Team
James Wiseman,Did Not Play
Team Totals,240,48,98,.490,7,29,.241,15,16,.938,11,42,53,28,2,5,17,24,118,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cade Cunningham,9:05,1,5,.200,0,1,.000,0,0,,0,2,2,2,0,0,0,1,2,-1
Isaiah Stewart,10:29,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,1,2,+3
Ausar Thompson,8:14,1,1,1.000,0,0,,0,0,,0,3,3,1,0,0,0,1,2,-5
Killian Hayes,9:08,0,5,.000,0,1,.000,2,2,1.000,0,4,4,2,0,0,0,1,2,+1
Jalen Duren,7:09,4,7,.571,0,1,.000,1,1,1.000,3,2,5,1,0,0,0,0,9,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marcus Sasser,5:29,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,0
Marvin Bagley III,4:51,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,1,2,-2
Jared Rhoden,4:04,2,3,.667,0,1,.000,0,0,,0,0,0,2,0,0,0,0,4,+2
Stanley Umude,1:31,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-4
Malcolm Cazalon,Did Not Play
Joe Harris,Not With Team
Jaden Ivey,Not With Team
James Wiseman,Did Not Play
Team Totals,60,10,27,.370,0,7,.000,3,3,1.000,3,12,15,10,0,0,2,5,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cade Cunningham,10:35,4,9,.444,1,1,1.000,4,5,.800,1,1,2,2,0,0,2,1,13,-10
Isaiah Stewart,8:07,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,1,0,2,0,-11
Ausar Thompson,9:26,0,1,.000,0,0,,0,0,,1,3,4,1,0,0,1,0,0,-2
Killian Hayes,9:38,3,5,.600,0,1,.000,0,0,,0,1,1,1,0,0,1,0,6,-8
Jalen Duren,6:21,0,2,.000,0,0,,0,0,,0,2,2,1,0,0,1,2,0,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marcus Sasser,4:42,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,4,-2
Marvin Bagley III,5:39,2,2,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,2,6,-10
Jared Rhoden,3:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,0
Stanley Umude,1:45,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-3
Malcolm Cazalon,Did Not Play
Joe Harris,Not With Team
Jaden Ivey,Not With Team
James Wiseman,Did Not Play
Team Totals,60,11,22,.500,1,3,.333,6,7,.857,2,8,10,5,0,1,6,9,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cade Cunningham,19:40,5,14,.357,1,2,.500,4,5,.800,1,3,4,4,0,0,2,2,15,-11
Isaiah Stewart,18:36,1,3,.333,0,2,.000,0,0,,0,2,2,1,0,1,0,3,2,-8
Ausar Thompson,17:40,1,2,.500,0,0,,0,0,,1,6,7,2,0,0,1,1,2,-7
Killian Hayes,18:46,3,10,.300,0,2,.000,2,2,1.000,0,5,5,3,0,0,1,1,8,-7
Jalen Duren,13:30,4,9,.444,0,1,.000,1,1,1.000,3,4,7,2,0,0,1,2,9,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marcus Sasser,10:11,2,4,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,1,4,-2
Marvin Bagley III,10:30,3,3,1.000,0,0,,2,2,1.000,0,0,0,1,0,0,0,3,8,-12
Jared Rhoden,7:51,2,3,.667,0,1,.000,0,0,,0,0,0,2,0,0,0,1,4,+2
Stanley Umude,3:16,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,0,0,-7
Malcolm Cazalon,Did Not Play
Joe Harris,Not With Team
Jaden Ivey,Not With Team
James Wiseman,Did Not Play
Team Totals,120,21,49,.429,1,10,.100,9,10,.900,5,20,25,15,0,1,8,14,52,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cade Cunningham,12:00,5,9,.556,0,3,.000,3,3,1.000,0,2,2,4,0,0,1,0,13,+15
Isaiah Stewart,12:00,2,2,1.000,2,2,1.000,0,0,,0,1,1,0,0,1,1,0,6,+15
Ausar Thompson,9:48,2,3,.667,0,0,,0,0,,0,4,4,0,0,0,0,1,4,+11
Killian Hayes,5:41,1,1,1.000,0,0,,0,0,,0,0,0,1,1,0,0,0,2,0
Jalen Duren,6:46,1,1,1.000,0,0,,0,0,,0,1,1,2,0,0,0,1,2,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marcus Sasser,6:19,4,6,.667,2,3,.667,0,0,,0,4,4,1,0,0,0,0,10,+15
Marvin Bagley III,5:14,2,3,.667,0,0,,0,0,,2,0,2,1,0,1,0,0,4,+11
Jared Rhoden,2:12,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+4
Stanley Umude, 
Malcolm Cazalon,Did Not Play
Joe Harris,Not With Team
Jaden Ivey,Not With Team
James Wiseman,Did Not Play
Team Totals,60,18,26,.692,4,8,.500,3,3,1.000,2,12,14,9,1,2,2,2,43,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cade Cunningham,7:14,1,4,.250,1,3,.333,2,2,1.000,1,1,2,0,0,0,2,0,5,-12
Isaiah Stewart,6:21,0,4,.000,0,3,.000,0,0,,1,0,1,0,0,0,0,1,0,-12
Ausar Thompson,9:20,0,3,.000,0,1,.000,0,0,,2,2,4,1,0,1,1,2,0,-10
Killian Hayes,4:46,2,4,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,4,+5
Jalen Duren,8:11,0,0,,0,0,,0,0,,0,4,4,1,0,0,1,2,0,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marcus Sasser,12:00,5,7,.714,1,3,.333,1,1,1.000,0,2,2,1,1,0,2,0,12,-7
Marvin Bagley III,3:49,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,+2
Jared Rhoden,2:40,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,+3
Stanley Umude,5:39,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,1,2,+5
Malcolm Cazalon,Did Not Play
Joe Harris,Not With Team
Jaden Ivey,Not With Team
James Wiseman,Did Not Play
Team Totals,60,9,23,.391,2,11,.182,3,3,1.000,4,10,14,4,1,2,7,8,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cade Cunningham,19:14,6,13,.462,1,6,.167,5,5,1.000,1,3,4,4,0,0,3,0,18,+3
Isaiah Stewart,18:21,2,6,.333,2,5,.400,0,0,,1,1,2,0,0,1,1,1,6,+3
Ausar Thompson,19:08,2,6,.333,0,1,.000,0,0,,2,6,8,1,0,1,1,3,4,+1
Killian Hayes,10:27,3,5,.600,0,1,.000,0,0,,0,0,0,1,1,0,0,0,6,+5
Jalen Duren,14:57,1,1,1.000,0,0,,0,0,,0,5,5,3,0,0,1,3,2,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marcus Sasser,18:19,9,13,.692,3,6,.500,1,1,1.000,0,6,6,2,1,0,2,0,22,+8
Marvin Bagley III,9:03,2,3,.667,0,0,,0,0,,2,0,2,1,0,1,1,1,4,+13
Jared Rhoden,4:52,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,1,2,+7
Stanley Umude,5:39,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,1,2,+5
Malcolm Cazalon,Did Not Play
Joe Harris,Not With Team
Jaden Ivey,Not With Team
James Wiseman,Did Not Play
Team Totals,120,27,49,.551,6,19,.316,6,6,1.000,6,22,28,13,2,4,9,10,66,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Cade Cunningham,38:54,.525,.444,.296,.370,5.9,15.8,11.1,28.7,0.0,0.0,13.7,36.8,107,115,-1.4
Isaiah Stewart,36:57,.444,.444,.778,.000,3.1,8.3,5.8,2.9,0.0,4.9,10.0,10.6,92,111,-5.7
Ausar Thompson,36:48,.375,.375,.125,.000,9.3,33.3,22.0,8.9,0.0,2.5,20.0,10.7,89,110,-5.2
Killian Hayes,29:13,.441,.400,.200,.133,0.0,17.5,9.2,17.2,1.5,0.0,5.9,22.7,99,111,-4.5
Jalen Duren,28:27,.527,.500,.100,.100,12.1,32.3,22.7,21.3,0.0,0.0,16.1,17.2,113,113,-0.6
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Marcus Sasser,28:30,.745,.735,.412,.059,0.0,21.5,11.4,11.4,1.6,0.0,14.7,28.2,122,110,7.0
Marvin Bagley III,19:33,.872,.833,.000,.333,11.7,0.0,5.5,13.7,0.0,4.6,12.7,15.9,159,112,4.5
Jared Rhoden,12:43,.750,.750,.250,.000,0.0,8.0,4.2,30.9,0.0,0.0,0.0,12.4,165,116,4.5
Stanley Umude,8:55,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,10.2,50.0,17.6,45,108,-13.3
Malcolm Cazalon,Did Not Play
Joe Harris,Not With Team
Jaden Ivey,Not With Team
James Wiseman,Did Not Play
Team Totals,240,.562,.526,.296,.163,26.2,89.4,59.6,58.3,1.9,9.4,13.9,100.0,110.0,111.8,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jae Crowder,37:12,3,6,.500,2,4,.500,2,3,.667,0,5,5,2,1,0,0,2,10,-2
Damian Lillard,33:46,10,25,.400,2,12,.167,12,13,.923,0,2,2,3,3,0,1,1,34,+5
Brook Lopez,26:19,5,8,.625,4,6,.667,0,0,,0,6,6,0,0,4,3,4,14,+5
Malik Beasley,24:55,4,6,.667,1,2,.500,1,1,1.000,2,4,6,2,1,0,0,0,10,+24
Giannis Antetokounmpo,21:52,6,16,.375,0,2,.000,3,6,.500,0,9,9,5,0,3,1,1,15,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
MarJon Beauchamp,26:35,4,8,.500,0,3,.000,2,2,1.000,1,1,2,1,0,0,1,4,10,-25
Cameron Payne,23:51,1,4,.250,1,3,.333,4,4,1.000,0,1,1,3,2,0,1,2,7,+7
Bobby Portis,22:56,7,14,.500,1,4,.250,3,3,1.000,2,3,5,2,0,0,2,1,18,-5
Pat Connaughton,18:55,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,1,0,2,-4
Andre Jackson Jr.,3:39,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,3,0,0
Thanasis Antetokounmpo,Did Not Play
A.J. Green,Did Not Play
Chris Livingston,Did Not Play
Robin Lopez,Did Not Play
Lindell Wigginton,Did Not Play
Team Totals,240,41,90,.456,11,37,.297,27,32,.844,5,31,36,19,8,7,10,18,120,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jae Crowder,7:09,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,-1
Damian Lillard,7:56,1,4,.250,0,2,.000,2,2,1.000,0,1,1,0,1,0,0,0,4,+3
Brook Lopez,8:04,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,2,0,1,3,+3
Malik Beasley,5:10,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,0,0,0,2,+1
Giannis Antetokounmpo,10:09,1,6,.167,0,1,.000,2,4,.500,0,4,4,2,0,2,1,1,4,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
MarJon Beauchamp,6:50,1,2,.500,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,2,4,0
Cameron Payne,4:04,0,0,,0,0,,0,0,,0,0,0,2,1,0,0,0,0,-2
Bobby Portis,5:47,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,+2
Pat Connaughton,4:51,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,+2
Andre Jackson Jr., 
Thanasis Antetokounmpo,Did Not Play
A.J. Green,Did Not Play
Chris Livingston,Did Not Play
Robin Lopez,Did Not Play
Lindell Wigginton,Did Not Play
Team Totals,60,8,21,.381,2,10,.200,6,8,.750,0,11,11,4,2,4,2,4,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jae Crowder,9:26,1,1,1.000,1,1,1.000,1,1,1.000,0,1,1,1,1,0,0,1,4,+2
Damian Lillard,7:40,2,5,.400,0,2,.000,5,5,1.000,0,0,0,1,1,0,0,0,9,-3
Brook Lopez,1:31,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,1,2,3,-3
Malik Beasley,7:50,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+9
Giannis Antetokounmpo,8:43,2,6,.333,0,1,.000,1,2,.500,0,4,4,2,0,0,0,0,5,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
MarJon Beauchamp,7:40,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,1,0,2,-3
Cameron Payne,4:20,0,0,,0,0,,2,2,1.000,0,1,1,1,0,0,0,1,2,+12
Bobby Portis,4:20,5,8,.625,0,2,.000,3,3,1.000,2,0,2,0,0,0,0,0,13,+12
Pat Connaughton,4:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+12
Andre Jackson Jr.,3:39,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,3,0,0
Thanasis Antetokounmpo,Did Not Play
A.J. Green,Did Not Play
Chris Livingston,Did Not Play
Robin Lopez,Did Not Play
Lindell Wigginton,Did Not Play
Team Totals,60,12,22,.545,2,7,.286,12,13,.923,2,7,9,7,3,0,2,7,38,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jae Crowder,16:35,2,3,.667,1,2,.500,1,1,1.000,0,2,2,1,1,0,0,1,6,+1
Damian Lillard,15:36,3,9,.333,0,4,.000,7,7,1.000,0,1,1,1,2,0,0,0,13,0
Brook Lopez,9:35,2,3,.667,2,3,.667,0,0,,0,2,2,0,0,2,1,3,6,0
Malik Beasley,13:00,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,0,0,2,+10
Giannis Antetokounmpo,18:52,3,12,.250,0,2,.000,3,6,.500,0,8,8,4,0,2,1,1,9,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
MarJon Beauchamp,14:30,2,3,.667,0,1,.000,2,2,1.000,0,1,1,1,0,0,1,2,6,-3
Cameron Payne,8:24,0,0,,0,0,,2,2,1.000,0,1,1,3,1,0,0,1,2,+10
Bobby Portis,10:07,6,10,.600,1,4,.250,3,3,1.000,2,1,3,0,0,0,0,0,16,+14
Pat Connaughton,9:42,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,+14
Andre Jackson Jr.,3:39,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,3,0,0
Thanasis Antetokounmpo,Did Not Play
A.J. Green,Did Not Play
Chris Livingston,Did Not Play
Robin Lopez,Did Not Play
