,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,33:04,4,9,.444,1,4,.250,0,2,.000,0,7,7,8,0,0,3,4,9,-21
Victor Wembanyama,30:11,4,14,.286,0,4,.000,6,6,1.000,4,5,9,2,0,1,3,2,14,-25
Jeremy Sochan,29:14,7,12,.583,2,4,.500,0,0,,0,6,6,5,0,0,0,5,16,-19
Zach Collins,24:30,4,6,.667,1,2,.500,2,2,1.000,2,5,7,3,0,3,2,4,11,-12
Malaki Branham,23:34,6,9,.667,2,2,1.000,0,0,,0,0,0,1,0,0,1,2,14,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tre Jones,25:13,6,11,.545,0,2,.000,0,1,.000,0,1,1,5,1,1,0,0,12,-2
Doug McDermott,21:38,4,9,.444,3,8,.375,0,0,,1,2,3,1,0,0,3,3,11,-5
Charles Bassey,14:52,3,3,1.000,0,0,,0,0,,1,3,4,1,1,2,0,1,6,-4
Cedi Osman,13:25,1,4,.250,0,3,.000,0,0,,1,2,3,2,0,0,0,0,2,-5
Devin Vassell,11:55,2,6,.333,0,2,.000,0,0,,0,2,2,2,0,0,1,0,4,-3
Blake Wesley,3:06,2,3,.667,0,0,,0,0,,1,1,2,1,0,0,0,0,4,0
Dominick Barlow,3:06,1,1,1.000,0,0,,0,2,.000,0,1,1,0,0,0,0,0,2,0
Julian Champagnie,3:06,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,0
Sandro Mamukelashvili,3:06,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,1,0,0
Devonte' Graham,Did Not Play
Team Totals,240,44,90,.489,9,34,.265,8,13,.615,11,35,46,31,2,7,13,22,105,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,8:37,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,2,1,0,-15
Victor Wembanyama,8:52,0,3,.000,0,2,.000,2,2,1.000,1,1,2,1,0,1,1,1,2,-14
Jeremy Sochan,8:08,1,2,.500,0,0,,0,0,,0,1,1,3,0,0,0,1,2,-15
Zach Collins,6:38,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,1,0,1,2,-12
Malaki Branham,6:16,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,0,0,4,-12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tre Jones,6:31,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,0,0,4,-5
Doug McDermott, 
Charles Bassey,2:43,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-2
Cedi Osman,6:31,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-5
Devin Vassell,5:44,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,1,0,2,-5
Blake Wesley, 
Dominick Barlow, 
Julian Champagnie, 
Sandro Mamukelashvili, 
Devonte' Graham,Did Not Play
Team Totals,60,7,18,.389,0,5,.000,2,2,1.000,1,6,7,7,0,2,4,5,16,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,8:56,1,2,.500,0,0,,0,0,,0,2,2,4,0,0,1,0,2,+7
Victor Wembanyama,6:11,0,2,.000,0,1,.000,0,0,,0,2,2,1,0,0,1,0,0,-2
Jeremy Sochan,6:36,3,4,.750,2,2,1.000,0,0,,0,3,3,0,0,0,0,1,8,+1
Zach Collins,5:49,1,1,1.000,0,0,,0,0,,1,1,2,1,0,1,0,2,2,+1
Malaki Branham,5:49,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,1,3,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tre Jones,7:15,3,4,.750,0,1,.000,0,1,.000,0,0,0,2,1,0,0,0,6,+4
