,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Donovan Mitchell,37:15,8,23,.348,1,9,.111,3,3,1.000,0,5,5,5,2,0,0,2,20,+2
Darius Garland,36:04,7,11,.636,1,3,.333,0,1,.000,1,2,3,9,2,1,8,4,15,-1
Evan Mobley,33:05,9,16,.563,0,1,.000,4,4,1.000,2,3,5,1,1,1,1,2,22,+3
Max Strus,31:44,4,7,.571,4,6,.667,0,0,,2,5,7,3,0,1,0,2,12,-5
Jarrett Allen,25:45,4,6,.667,0,0,,6,9,.667,4,2,6,1,2,1,1,0,14,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,34:15,7,14,.500,2,6,.333,13,16,.813,0,5,5,5,0,0,3,5,29,-14
Georges Niang,18:25,3,5,.600,1,3,.333,0,0,,0,2,2,0,0,0,1,3,7,-11
Tristan Thompson,12:53,0,0,,0,0,,1,2,.500,0,2,2,2,1,0,2,2,1,-2
Dean Wade,10:34,0,1,.000,0,1,.000,0,2,.000,2,4,6,0,1,1,2,4,0,-8
Damian Jones,Did Not Play
Isaac Okoro,Did Not Dress
Craig Porter Jr.,Did Not Play
Team Totals,240,42,83,.506,9,29,.310,27,37,.730,11,30,41,26,9,5,18,24,120,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Donovan Mitchell,8:15,2,4,.500,0,1,.000,0,0,,0,2,2,3,1,0,0,1,4,0
Darius Garland,8:54,1,1,1.000,1,1,1.000,0,0,,0,0,0,3,0,1,5,1,3,-9
Evan Mobley,8:21,2,4,.500,0,0,,0,0,,1,0,1,0,0,0,0,0,4,-2
Max Strus,7:59,1,2,.500,1,1,1.000,0,0,,1,0,1,0,0,0,0,0,3,-2
Jarrett Allen,4:53,1,1,1.000,0,0,,3,6,.500,0,1,1,0,0,0,0,0,5,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,7:07,2,4,.500,1,2,.500,0,0,,0,2,2,2,0,0,2,1,5,-3
Georges Niang,4:01,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,5,-5
Tristan Thompson,3:45,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-7
Dean Wade,6:45,0,0,,0,0,,0,2,.000,1,4,5,0,0,1,1,3,0,-3
Damian Jones,Did Not Play
