,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Derrick White,37:34,6,18,.333,3,11,.273,4,4,1.000,1,3,4,5,2,1,2,3,19,+2
Jayson Tatum,37:05,6,14,.429,2,6,.333,2,3,.667,1,14,15,6,3,0,2,2,16,-1
Jaylen Brown,35:33,4,13,.308,2,7,.286,1,2,.500,0,2,2,2,1,1,4,2,11,-3
Jrue Holiday,34:45,4,9,.444,2,3,.667,2,2,1.000,1,4,5,5,1,0,2,1,12,+13
Kristaps Porziņģis,31:04,10,19,.526,2,6,.333,7,8,.875,4,2,6,3,0,1,0,4,29,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Al Horford,26:13,1,6,.167,1,6,.167,0,0,,0,5,5,3,0,2,1,1,3,-23
Sam Hauser,18:40,5,8,.625,3,6,.500,0,0,,0,4,4,0,1,1,0,0,13,-6
Payton Pritchard,16:01,0,4,.000,0,2,.000,0,0,,2,0,2,4,0,0,1,0,0,-2
Luke Kornet,3:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Dalano Banton,Did Not Play
Oshae Brissett,Did Not Play
Svi Mykhailiuk,Did Not Play
Lamar Stevens,Did Not Play
Team Totals,240,36,91,.396,15,47,.319,16,19,.842,9,34,43,28,8,6,12,13,103,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Derrick White,10:16,3,5,.600,1,3,.333,0,0,,1,3,4,3,0,0,1,0,7,+2
Jayson Tatum,8:19,2,3,.667,0,0,,2,2,1.000,0,4,4,1,1,0,1,1,6,+8
Jaylen Brown,11:05,2,6,.333,0,2,.000,1,2,.500,0,0,0,1,0,0,0,1,5,0
Jrue Holiday,7:30,2,2,1.000,1,1,1.000,0,0,,0,1,1,1,1,0,0,0,5,+10
Kristaps Porziņģis,10:16,1,5,.200,0,2,.000,2,2,1.000,2,1,3,1,0,0,0,1,4,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Al Horford,5:25,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0
Sam Hauser,5:25,0,1,.000,0,1,.000,0,0,,0,2,2,0,1,1,0,0,0,0
Payton Pritchard,1:44,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+3
Luke Kornet, 
Dalano Banton,Did Not Play
Oshae Brissett,Did Not Play
Svi Mykhailiuk,Did Not Play
Lamar Stevens,Did Not Play
Team Totals,60,10,24,.417,2,10,.200,5,6,.833,3,11,14,8,3,1,2,3,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Derrick White,7:01,0,2,.000,0,0,,2,2,1.000,0,0,0,0,1,0,1,1,2,-10
Jayson Tatum,9:19,1,4,.250,0,2,.000,0,1,.000,0,3,3,2,0,0,1,0,2,-11
Jaylen Brown,7:01,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-10
Jrue Holiday,9:43,0,2,.000,0,0,,0,0,,0,1,1,2,0,0,1,1,0,-7
Kristaps Porziņģis,5:32,4,5,.800,0,0,,4,5,.800,1,1,2,0,0,1,0,0,12,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
