,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
John Collins,37:53,5,6,.833,3,3,1.000,5,7,.714,0,3,3,0,0,4,3,2,18,+8
Lauri Markkanen,37:18,8,13,.615,4,9,.444,6,6,1.000,0,7,7,1,2,2,3,3,26,-1
Jordan Clarkson,35:48,9,16,.563,2,5,.400,6,6,1.000,2,2,4,4,2,1,3,1,26,+14
Ochai Agbaji,30:20,6,8,.750,3,5,.600,0,0,,1,5,6,1,1,2,1,3,15,+3
Keyonte George,29:32,2,12,.167,1,6,.167,2,2,1.000,0,3,3,11,0,1,2,1,7,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kelly Olynyk,20:49,2,3,.667,0,0,,2,2,1.000,2,6,8,2,1,1,2,3,6,+5
Talen Horton-Tucker,18:28,4,7,.571,3,5,.600,2,2,1.000,1,2,3,2,1,1,1,2,13,+5
Collin Sexton,17:40,3,8,.375,0,2,.000,4,4,1.000,1,1,2,6,1,0,3,0,10,+3
Simone Fontecchio,12:12,2,3,.667,2,2,1.000,0,0,,1,1,2,1,2,0,1,2,6,-8
Kris Dunn,Did Not Play
Luka Šamanić,Did Not Play
Omer Yurtseven,Did Not Play
Team Totals,240,41,76,.539,18,37,.486,27,29,.931,8,30,38,28,10,12,19,17,127,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
John Collins,9:15,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,0,1,2,0,5,+2
Lauri Markkanen,9:25,1,4,.250,1,4,.250,2,2,1.000,0,2,2,0,1,0,0,0,5,-4
Jordan Clarkson,9:15,2,4,.500,0,1,.000,1,1,1.000,0,1,1,2,0,0,1,1,5,+2
Ochai Agbaji,6:23,2,3,.667,1,2,.500,0,0,,1,1,2,0,0,1,0,0,5,-6
Keyonte George,6:23,0,2,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,0,0,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kelly Olynyk,5:20,0,1,.000,0,0,,2,2,1.000,1,2,3,1,0,1,0,0,2,+6
