,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
P.J. Washington,37:50,5,15,.333,0,6,.000,1,2,.500,3,7,10,4,1,0,2,0,11,-1
LaMelo Ball,37:44,9,19,.474,4,8,.500,3,4,.750,3,3,6,6,2,0,2,5,25,0
Gordon Hayward,36:01,10,20,.500,1,4,.250,6,8,.750,0,5,5,9,4,1,0,0,27,+16
Brandon Miller,31:35,5,16,.313,0,6,.000,2,2,1.000,2,1,3,2,1,2,1,5,12,+3
Mark Williams,29:46,10,21,.476,0,0,,1,2,.500,15,9,24,3,0,0,0,0,21,+19
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
JT Thor,20:20,3,7,.429,1,2,.500,0,2,.000,1,4,5,2,0,0,0,1,7,+17
Nick Richards,18:14,5,5,1.000,0,0,,5,8,.625,3,4,7,0,1,1,1,4,15,-12
Théo Maledon,15:35,2,5,.400,0,1,.000,0,0,,1,4,5,4,1,0,2,1,4,+1
Bryce McGowens,12:55,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,1,3,2,-8
Amari Bailey,Did Not Play
Leaky Black,Did Not Play
Ish Smith,Did Not Play
Nick Smith Jr.,Did Not Play
Team Totals,240,50,110,.455,6,28,.214,18,28,.643,28,39,67,31,10,4,9,19,124,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
P.J. Washington,8:36,1,4,.250,0,3,.000,0,0,,1,0,1,1,0,0,1,0,2,-13
LaMelo Ball,9:55,0,3,.000,0,2,.000,1,2,.500,0,1,1,0,1,0,1,0,1,-9
Gordon Hayward,8:50,2,3,.667,0,0,,0,1,.000,0,2,2,2,0,0,0,0,4,-4
Brandon Miller,8:50,2,5,.400,0,2,.000,0,0,,2,0,2,2,0,0,1,0,4,-4
Mark Williams,8:50,2,4,.500,0,0,,0,0,,1,3,4,1,0,0,0,0,4,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
