,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Giannis Antetokounmpo,36:39,15,22,.682,0,1,.000,5,12,.417,2,8,10,7,4,2,6,4,35,-11
Cameron Payne,25:34,6,8,.750,2,3,.667,0,0,,0,0,0,2,2,0,2,3,14,-8
Brook Lopez,21:14,3,7,.429,2,5,.400,1,2,.500,0,3,3,1,1,2,1,1,9,-7
Malik Beasley,20:13,0,4,.000,0,3,.000,0,0,,0,2,2,1,0,0,1,3,0,-6
Khris Middleton,19:30,4,8,.500,2,4,.500,0,0,,0,0,0,7,0,1,1,1,10,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bobby Portis,27:37,4,11,.364,2,5,.400,3,4,.750,1,6,7,1,2,0,2,4,13,-6
MarJon Beauchamp,19:40,2,7,.286,0,2,.000,1,3,.333,1,3,4,0,0,0,3,2,5,-19
Jae Crowder,16:55,0,1,.000,0,1,.000,1,2,.500,0,2,2,0,0,0,0,0,1,-13
Pat Connaughton,15:37,1,3,.333,0,1,.000,1,2,.500,0,3,3,1,0,0,0,2,3,-11
Andre Jackson Jr.,13:58,2,3,.667,0,1,.000,0,0,,1,2,3,0,0,0,2,2,4,+2
Thanasis Antetokounmpo,9:41,0,0,,0,0,,0,0,,0,0,0,2,0,1,1,2,0,+6
A.J. Green,9:29,1,3,.333,1,3,.333,0,0,,0,2,2,3,0,0,0,0,3,+5
Chris Livingston,3:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
Robin Lopez,Did Not Play
Lindell Wigginton,Did Not Play
Team Totals,240,38,77,.494,9,29,.310,12,25,.480,5,31,36,25,9,6,19,24,97,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Giannis Antetokounmpo,9:14,3,6,.500,0,0,,0,2,.000,0,2,2,2,0,1,1,1,6,-6
Cameron Payne,8:34,4,4,1.000,1,1,1.000,0,0,,0,0,0,0,2,0,0,1,9,+2
Brook Lopez,7:50,2,4,.500,1,2,.500,0,0,,0,1,1,1,1,0,0,1,5,+2
Malik Beasley,7:50,0,2,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,2,0,+2
Khris Middleton,3:39,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,1,0,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bobby Portis,6:12,0,2,.000,0,0,,2,2,1.000,0,0,0,1,1,0,0,0,2,-4
MarJon Beauchamp,4:10,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,-6
Jae Crowder,8:21,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-6
Pat Connaughton,4:10,0,0,,0,0,,1,2,.500,0,1,1,1,0,0,0,0,1,-6
Andre Jackson Jr., 
Thanasis Antetokounmpo, 
A.J. Green, 
Chris Livingston, 
Robin Lopez,Did Not Play
Lindell Wigginton,Did Not Play
Team Totals,60,10,22,.455,2,5,.400,3,6,.500,0,7,7,8,4,1,1,6,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
