,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bam Adebayo,35:56,8,16,.500,0,0,,5,6,.833,0,11,11,4,3,1,1,3,21,+1
Duncan Robinson,35:43,6,13,.462,4,10,.400,2,2,1.000,0,8,8,5,1,1,1,2,18,+1
Jimmy Butler,34:02,10,14,.714,1,1,1.000,11,14,.786,3,1,4,5,2,0,3,1,32,+2
Haywood Highsmith,32:55,5,8,.625,2,5,.400,0,0,,1,3,4,2,5,2,0,1,12,+6
Kyle Lowry,14:42,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,4,0,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Richardson,33:01,2,10,.200,0,6,.000,2,2,1.000,1,4,5,6,1,1,1,2,6,+11
Jaime Jaquez Jr.,32:54,8,13,.615,1,3,.333,0,0,,4,1,5,1,0,0,1,3,17,+6
Kevin Love,13:53,0,5,.000,0,5,.000,3,4,.750,0,3,3,1,0,0,0,1,3,+2
Dru Smith,3:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,+1
Thomas Bryant,3:22,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,0,0,2,+5
Nikola Jović,Did Not Play
Orlando Robinson,Did Not Play
Team Totals,240,40,83,.482,8,31,.258,23,28,.821,10,32,42,26,12,5,7,19,111,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bam Adebayo,8:27,2,5,.400,0,0,,0,0,,0,2,2,0,1,0,1,0,4,-6
Duncan Robinson,8:27,2,3,.667,2,3,.667,0,0,,0,1,1,2,0,1,0,1,6,-6
Jimmy Butler,10:31,5,6,.833,0,0,,1,1,1.000,2,1,3,2,0,0,1,1,11,-8
Haywood Highsmith,10:31,0,1,.000,0,1,.000,0,0,,0,1,1,1,1,1,0,0,0,-8
Kyle Lowry,3:29,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
