,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dejounte Murray,37:29,11,21,.524,1,4,.250,9,9,1.000,0,5,5,10,3,0,2,2,32,+9
Jalen Johnson,35:35,6,9,.667,2,2,1.000,2,2,1.000,1,4,5,1,1,1,2,2,16,0
De'Andre Hunter,34:41,6,14,.429,2,5,.400,2,3,.667,2,3,5,5,1,0,1,3,16,+2
Bogdan Bogdanović,33:55,7,17,.412,3,11,.273,0,0,,0,3,3,3,0,1,3,0,17,+5
Clint Capela,26:38,3,4,.750,0,0,,2,2,1.000,2,6,8,1,2,3,3,5,8,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Saddiq Bey,27:23,6,13,.462,2,7,.286,5,6,.833,1,3,4,2,2,1,1,0,19,+5
Onyeka Okongwu,21:22,4,4,1.000,0,0,,0,0,,3,6,9,2,0,1,2,5,8,-2
Trent Forrest,13:06,0,1,.000,0,0,,2,2,1.000,1,0,1,4,0,0,0,0,2,-3
AJ Griffin,8:13,1,3,.333,1,3,.333,2,2,1.000,0,0,0,0,0,0,0,2,5,+1
Garrison Mathews,1:37,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,+5
Bruno Fernando,Did Not Play
Wesley Matthews,Did Not Play
Patty Mills,Did Not Play
Team Totals,240,45,87,.517,12,33,.364,24,26,.923,10,31,41,28,9,7,14,19,126,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dejounte Murray,9:28,4,6,.667,1,1,1.000,2,2,1.000,0,3,3,4,0,0,0,1,11,+10
Jalen Johnson,7:05,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+7
De'Andre Hunter,9:28,2,3,.667,0,0,,1,1,1.000,0,1,1,1,0,0,0,0,5,+10
Bogdan Bogdanović,9:37,3,5,.600,1,2,.500,0,0,,0,2,2,2,0,1,1,0,7,+6
Clint Capela,7:05,2,2,1.000,0,0,,0,0,,1,2,3,0,1,0,1,2,4,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Saddiq Bey,4:55,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,1,0,0,+2
Onyeka Okongwu,4:55,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,1,2,+2
Trent Forrest,2:32,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-1
AJ Griffin,3:18,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,-3
Garrison Mathews,1:37,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,+5
Bruno Fernando,Did Not Play
Wesley Matthews,Did Not Play
Patty Mills,Did Not Play
Team Totals,60,15,23,.652,5,9,.556,3,3,1.000,2,10,12,9,1,1,3,4,38,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dejounte Murray,9:31,3,6,.500,0,1,.000,0,0,,0,1,1,1,1,0,1,0,6,-3
Jalen Johnson,9:25,1,4,.250,1,1,1.000,0,0,,0,1,1,0,0,0,1,2,3,-5
De'Andre Hunter,8:03,1,3,.333,0,1,.000,1,2,.500,0,0,0,1,0,0,0,3,3,-6
Bogdan Bogdanović,8:15,3,3,1.000,2,2,1.000,0,0,,0,0,0,0,0,0,1,0,8,-3
Clint Capela,6:29,0,0,,0,0,,0,0,,0,3,3,1,0,0,1,1,0,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Saddiq Bey,7:42,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,1,0,0,2,-1
Onyeka Okongwu,5:31,1,1,1.000,0,0,,0,0,,1,1,2,0,0,1,1,2,2,-5
Trent Forrest,5:04,0,1,.000,0,0,,2,2,1.000,1,0,1,3,0,0,0,0,2,-2
AJ Griffin, 
Garrison Mathews, 
Bruno Fernando,Did Not Play
Wesley Matthews,Did Not Play
Patty Mills,Did Not Play
Team Totals,60,10,20,.500,3,6,.500,3,4,.750,2,7,9,6,1,2,5,8,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dejounte Murray,18:59,7,12,.583,1,2,.500,2,2,1.000,0,4,4,5,1,0,1,1,17,+7
Jalen Johnson,16:30,2,5,.400,2,2,1.000,0,0,,0,1,1,0,0,0,1,2,6,+2
De'Andre Hunter,17:31,3,6,.500,0,1,.000,2,3,.667,0,1,1,2,0,0,0,3,8,+4
Bogdan Bogdanović,17:52,6,8,.750,3,4,.750,0,0,,0,2,2,2,0,1,2,0,15,+3
Clint Capela,13:34,2,2,1.000,0,0,,0,0,,1,5,6,1,1,0,2,3,4,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Saddiq Bey,12:37,1,4,.250,0,3,.000,0,0,,0,1,1,1,0,1,1,0,2,+1
Onyeka Okongwu,10:26,2,2,1.000,0,0,,0,0,,2,2,4,0,0,1,1,3,4,-3
Trent Forrest,7:36,0,1,.000,0,0,,2,2,1.000,1,0,1,4,0,0,0,0,2,-3
AJ Griffin,3:18,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,-3
