,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,26:15,5,16,.313,3,5,.600,3,5,.600,1,1,2,2,0,0,8,0,16,-26
Kyrie Irving,25:46,6,13,.462,3,7,.429,2,4,.500,1,1,2,6,0,0,1,1,17,-14
Grant Williams,23:52,3,6,.500,3,4,.750,1,2,.500,0,1,1,0,0,1,2,0,10,-11
Dereck Lively II,21:05,1,2,.500,0,1,.000,2,2,1.000,3,6,9,2,0,0,0,2,4,-8
Derrick Jones Jr.,18:28,2,4,.500,1,3,.333,2,2,1.000,2,1,3,2,0,1,1,1,7,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Green,27:38,1,3,.333,0,2,.000,0,0,,1,4,5,4,0,0,2,1,2,-14
Tim Hardaway Jr.,21:23,5,11,.455,3,9,.333,4,4,1.000,0,0,0,1,0,0,1,2,17,-26
Jaden Hardy,18:04,4,12,.333,0,3,.000,1,1,1.000,0,2,2,3,1,0,1,3,9,-2
Seth Curry,13:21,0,4,.000,0,4,.000,3,3,1.000,0,3,3,2,3,0,1,1,3,+4
Dante Exum,12:15,4,6,.667,0,2,.000,1,1,1.000,1,0,1,2,0,0,1,2,9,+3
Richaun Holmes,12:00,3,6,.500,0,0,,0,0,,3,4,7,0,0,0,1,2,6,+8
Dwight Powell,10:50,2,4,.500,0,0,,0,0,,3,4,7,1,0,1,1,1,4,-16
Olivier-Maxence Prosper,9:02,2,3,.667,1,2,.500,1,2,.500,1,2,3,0,0,0,0,0,6,+7
Markieff Morris,Did Not Play
Team Totals,240,38,90,.422,14,42,.333,20,26,.769,16,29,45,25,4,3,20,16,110,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,9:51,1,6,.167,1,1,1.000,0,0,,0,1,1,1,0,0,6,0,3,-5
Kyrie Irving,7:00,1,3,.333,0,2,.000,0,0,,0,0,0,2,0,0,0,0,2,-3
Grant Williams,6:48,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,1,1,0,3,-3
Dereck Lively II,6:28,0,0,,0,0,,0,0,,1,1,2,1,0,0,0,0,0,-2
Derrick Jones Jr.,9:51,1,2,.500,0,1,.000,2,2,1.000,1,0,1,1,0,0,0,1,4,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Green,5:32,1,1,1.000,0,0,,0,0,,1,1,2,1,0,0,0,0,2,-5
Tim Hardaway Jr.,7:09,2,4,.500,2,4,.500,2,2,1.000,0,0,0,0,0,0,0,1,8,-6
Jaden Hardy, 
Seth Curry, 
Dante Exum,2:09,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,-2
Richaun Holmes, 
Dwight Powell,5:11,1,1,1.000,0,0,,0,0,,0,3,3,1,0,1,0,1,2,-4
Olivier-Maxence Prosper, 
Markieff Morris,Did Not Play
Team Totals,60,9,20,.450,4,10,.400,4,4,1.000,3,6,9,7,0,2,7,4,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,6:37,1,6,.167,0,2,.000,2,2,1.000,1,0,1,0,0,0,0,0,4,-13
Kyrie Irving,8:07,2,6,.333,2,4,.500,0,0,,1,1,2,0,0,0,0,0,6,-2
Grant Williams,7:15,1,3,.333,1,2,.500,1,2,.500,0,1,1,0,0,0,1,0,4,+2
Dereck Lively II,9:00,0,0,,0,0,,2,2,1.000,2,3,5,0,0,0,0,0,2,-5
Derrick Jones Jr.,3:00,0,1,.000,0,1,.000,0,0,,1,1,2,0,0,0,1,0,0,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Green,5:54,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-8
Tim Hardaway Jr.,7:51,2,5,.400,0,3,.000,2,2,1.000,0,0,0,1,0,0,1,0,6,-8
Jaden Hardy,3:53,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,2,-7
Seth Curry, 
Dante Exum,5:23,1,2,.500,0,1,.000,0,0,,1,0,1,2,0,0,0,1,2,+4
Richaun Holmes, 
Dwight Powell,3:00,1,2,.500,0,0,,0,0,,2,1,3,0,0,0,0,0,2,-4
Olivier-Maxence Prosper, 
Markieff Morris,Did Not Play
Team Totals,60,9,28,.321,3,14,.214,7,8,.875,8,8,16,4,0,0,3,3,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,16:28,2,12,.167,1,3,.333,2,2,1.000,1,1,2,1,0,0,6,0,7,-18
Kyrie Irving,15:07,3,9,.333,2,6,.333,0,0,,1,1,2,2,0,0,0,0,8,-5
Grant Williams,14:03,2,4,.500,2,3,.667,1,2,.500,0,1,1,0,0,1,2,0,7,-1
Dereck Lively II,15:28,0,0,,0,0,,2,2,1.000,3,4,7,1,0,0,0,0,2,-7
Derrick Jones Jr.,12:51,1,3,.333,0,2,.000,2,2,1.000,2,1,3,1,0,0,1,1,4,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Green,11:26,1,2,.500,0,1,.000,0,0,,1,1,2,2,0,0,0,1,2,-13
Tim Hardaway Jr.,15:00,4,9,.444,2,7,.286,4,4,1.000,0,0,0,1,0,0,1,1,14,-14
Jaden Hardy,3:53,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,1,2,-7
Seth Curry, 
Dante Exum,7:32,2,4,.500,0,2,.000,0,0,,1,0,1,2,0,0,0,2,4,+2
Richaun Holmes, 
Dwight Powell,8:11,2,3,.667,0,0,,0,0,,2,4,6,1,0,1,0,1,4,-8
Olivier-Maxence Prosper, 
Markieff Morris,Did Not Play
Team Totals,120,18,48,.375,7,24,.292,11,12,.917,11,14,25,11,0,2,10,7,54,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,9:47,3,4,.750,2,2,1.000,1,3,.333,0,0,0,1,0,0,2,0,9,-8
Kyrie Irving,10:39,3,4,.750,1,1,1.000,2,4,.500,0,0,0,4,0,0,1,1,9,-9
Grant Williams,9:49,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-10
Dereck Lively II,5:37,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,0,2,2,-1
Derrick Jones Jr.,5:37,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,1,0,0,3,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Green,4:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-9
Tim Hardaway Jr.,6:23,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,-12
Jaden Hardy,2:11,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-3
Seth Curry,1:21,0,0,,0,0,,2,2,1.000,0,0,0,0,1,0,0,0,2,-4
Dante Exum,1:45,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Richaun Holmes, 
Dwight Powell,2:38,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-8
Olivier-Maxence Prosper, 
Markieff Morris,Did Not Play
Team Totals,60,10,17,.588,6,9,.667,5,9,.556,1,2,3,7,1,1,5,4,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić, 
Kyrie Irving, 
Grant Williams, 
Dereck Lively II, 
Derrick Jones Jr., 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Green,12:00,0,1,.000,0,1,.000,0,0,,0,3,3,2,0,0,1,0,0,+8
Tim Hardaway Jr., 
Jaden Hardy,12:00,3,9,.333,0,2,.000,1,1,1.000,0,1,1,3,1,0,1,2,7,+8
Seth Curry,12:00,0,4,.000,0,4,.000,1,1,1.000,0,3,3,2,2,0,1,1,1,+8
Dante Exum,2:58,2,2,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,1,0,5,+1
Richaun Holmes,12:00,3,6,.500,0,0,,0,0,,3,4,7,0,0,0,1,2,6,+8
Dwight Powell, 
Olivier-Maxence Prosper,9:02,2,3,.667,1,2,.500,1,2,.500,1,2,3,0,0,0,0,0,6,+7
Markieff Morris,Did Not Play
Team Totals,60,10,25,.400,1,9,.111,4,5,.800,4,13,17,7,3,0,5,5,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,9:47,3,4,.750,2,2,1.000,1,3,.333,0,0,0,1,0,0,2,0,9,-8
Kyrie Irving,10:39,3,4,.750,1,1,1.000,2,4,.500,0,0,0,4,0,0,1,1,9,-9
Grant Williams,9:49,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-10
Dereck Lively II,5:37,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,0,2,2,-1
Derrick Jones Jr.,5:37,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,1,0,0,3,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Green,16:12,0,1,.000,0,1,.000,0,0,,0,3,3,2,0,0,2,0,0,-1
Tim Hardaway Jr.,6:23,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,-12
Jaden Hardy,14:11,3,10,.300,0,3,.000,1,1,1.000,0,1,1,3,1,0,1,2,7,+5
Seth Curry,13:21,0,4,.000,0,4,.000,3,3,1.000,0,3,3,2,3,0,1,1,3,+4
Dante Exum,4:43,2,2,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,1,0,5,+1
Richaun Holmes,12:00,3,6,.500,0,0,,0,0,,3,4,7,0,0,0,1,2,6,+8
Dwight Powell,2:38,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-8
Olivier-Maxence Prosper,9:02,2,3,.667,1,2,.500,1,2,.500,1,2,3,0,0,0,0,0,6,+7
Markieff Morris,Did Not Play
Team Totals,120,20,42,.476,7,18,.389,9,14,.643,5,15,20,14,4,1,10,9,56,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Luka Dončić,26:15,.440,.406,.313,.313,4.0,4.5,4.2,12.7,0.0,0.0,30.5,39.5,69,134,-17.4
Kyrie Irving,25:46,.576,.577,.538,.308,4.0,4.5,4.3,41.7,0.0,0.0,6.3,24.2,131,134,4.1
Grant Williams,23:52,.727,.750,.667,.333,0.0,4.9,2.3,0.0,0.0,3.6,22.5,14.7,104,132,-2.3
Dereck Lively II,21:05,.694,.500,.500,1.000,14.8,33.3,23.6,12.7,0.0,0.0,0.0,5.4,184,126,0.0
Derrick Jones Jr.,18:28,.717,.625,.750,.500,11.3,6.3,9.0,15.8,0.0,4.6,17.0,12.6,142,130,3.0
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Josh Green,27:38,.333,.333,.667,.000,3.8,16.9,10.0,19.2,0.0,0.0,40.0,7.2,84,131,-8.0
Tim Hardaway Jr.,21:23,.666,.591,.818,.364,0.0,0.0,0.0,8.4,0.0,0.0,7.3,25.4,134,135,1.6
Jaden Hardy,18:04,.362,.333,.250,.083,0.0,13.0,6.1,29.1,2.6,0.0,7.4,29.4,89,125,-10.2
