,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Haliburton,38:26,11,18,.611,7,12,.583,4,5,.800,1,6,7,15,2,1,0,1,33,+19
Obi Toppin,36:40,12,15,.800,1,3,.333,2,4,.500,1,5,6,1,0,1,0,1,27,+13
Bruce Brown,35:48,5,11,.455,0,2,.000,4,4,1.000,0,5,5,3,1,0,0,4,14,+9
Myles Turner,19:12,5,11,.455,1,4,.250,6,8,.750,1,2,3,0,1,1,1,6,17,+5
Bennedict Mathurin,15:53,3,8,.375,2,4,.500,0,0,,0,0,0,0,0,0,2,0,8,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Buddy Hield,28:57,1,5,.200,0,3,.000,0,0,,0,2,2,1,1,0,5,2,2,+10
Aaron Nesmith,22:17,2,8,.250,1,5,.200,1,2,.500,0,4,4,2,1,1,1,4,6,-10
Isaiah Jackson,17:23,1,4,.250,0,0,,5,8,.625,5,4,9,2,0,1,1,4,7,-2
T.J. McConnell,13:06,5,8,.625,0,2,.000,1,1,1.000,1,2,3,3,0,0,1,3,11,-7
Andrew Nembhard,9:43,1,3,.333,0,1,.000,0,0,,1,1,2,4,1,0,0,1,2,-8
Jalen Smith,2:33,2,2,1.000,1,1,1.000,0,1,.000,0,0,0,1,0,0,0,2,5,-2
Jordan Nwora,Did Not Play
Ben Sheppard,Did Not Play
Jarace Walker,Did Not Play
Team Totals,240,48,93,.516,13,37,.351,23,33,.697,10,31,41,32,7,5,11,28,132,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Haliburton,10:37,4,4,1.000,4,4,1.000,0,0,,0,0,0,4,1,1,0,0,12,+10
Obi Toppin,8:55,4,5,.800,0,0,,0,0,,0,1,1,1,0,0,0,0,8,+2
Bruce Brown,4:55,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,+5
Myles Turner,4:15,0,2,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,2,0,+4
Bennedict Mathurin,4:55,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Buddy Hield,7:05,1,2,.500,0,1,.000,0,0,,0,0,0,0,1,0,1,0,2,+1
Aaron Nesmith,4:40,0,3,.000,0,2,.000,0,0,,0,2,2,1,0,1,0,0,0,0
Isaiah Jackson,5:42,0,0,,0,0,,2,2,1.000,0,0,0,1,0,0,0,2,2,+5
T.J. McConnell,6:52,1,3,.333,0,2,.000,0,0,,0,2,2,2,0,0,1,1,2,+1
Andrew Nembhard, 
