,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Strus,36:42,5,12,.417,1,7,.143,3,3,1.000,1,2,3,7,1,0,5,3,14,+25
Donovan Mitchell,36:20,13,20,.650,5,8,.625,3,4,.750,0,6,6,4,1,0,3,4,34,+22
Evan Mobley,35:22,8,11,.727,0,1,.000,5,8,.625,3,9,12,3,1,3,1,1,21,+26
Dean Wade,32:41,0,3,.000,0,3,.000,0,0,,1,2,3,2,0,1,0,1,0,+6
Jarrett Allen,29:08,3,3,1.000,0,0,,5,6,.833,1,8,9,1,0,3,3,3,11,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,33:02,8,17,.471,1,7,.143,0,0,,1,7,8,6,2,1,1,2,17,+7
Georges Niang,21:38,3,6,.500,2,4,.500,0,0,,0,2,2,0,0,1,2,1,8,-8
Craig Porter Jr.,9:07,2,3,.667,0,0,,0,0,,0,2,2,0,0,0,2,1,4,-8
Emoni Bates,1:30,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
Damian Jones,1:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Sam Merrill,1:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Tristan Thompson,1:30,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
Team Totals,240,42,75,.560,9,30,.300,16,21,.762,7,40,47,23,5,9,17,16,109,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Strus,8:03,1,4,.250,1,3,.333,0,0,,0,0,0,3,0,0,0,0,3,+14
Donovan Mitchell,9:16,3,5,.600,1,3,.333,0,0,,0,3,3,1,0,0,1,1,7,+10
Evan Mobley,9:06,4,4,1.000,0,0,,2,4,.500,0,4,4,1,0,0,0,0,10,+10
Dean Wade,8:57,0,0,,0,0,,0,0,,1,1,2,1,0,1,0,0,0,-3
Jarrett Allen,8:52,1,1,1.000,0,0,,1,2,.500,0,1,1,0,0,1,0,1,3,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,7:00,0,1,.000,0,1,.000,0,0,,0,2,2,3,0,1,1,1,0,-1
Georges Niang,6:02,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,1,2,0,5,-4
Craig Porter Jr.,2:44,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,-5
Emoni Bates, 
Damian Jones, 
Sam Merrill, 
Tristan Thompson, 
Team Totals,60,12,19,.632,3,9,.333,3,6,.500,1,13,14,9,0,4,4,4,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Strus,9:02,0,2,.000,0,2,.000,2,2,1.000,1,1,2,1,1,0,1,1,2,+5
Donovan Mitchell,9:47,4,6,.667,2,2,1.000,0,0,,0,0,0,1,0,0,1,2,10,+5
Evan Mobley,6:56,0,1,.000,0,0,,1,2,.500,2,1,3,0,1,0,0,0,1,+6
Dean Wade,7:12,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+4
Jarrett Allen,6:42,0,0,,0,0,,4,4,1.000,1,1,2,0,0,0,1,0,4,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,10:34,3,6,.500,0,2,.000,0,0,,0,2,2,0,1,0,0,0,6,+4
Georges Niang,4:54,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-4
Craig Porter Jr.,4:53,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,1,0,2,-3
Emoni Bates, 
Damian Jones, 
Sam Merrill, 
Tristan Thompson, 
Team Totals,60,8,19,.421,2,8,.250,7,8,.875,4,6,10,2,3,0,4,3,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Strus,17:05,1,6,.167,1,5,.200,2,2,1.000,1,1,2,4,1,0,1,1,5,+19
Donovan Mitchell,19:03,7,11,.636,3,5,.600,0,0,,0,3,3,2,0,0,2,3,17,+15
Evan Mobley,16:02,4,5,.800,0,0,,3,6,.500,2,5,7,1,1,0,0,0,11,+16
Dean Wade,16:09,0,1,.000,0,1,.000,0,0,,1,1,2,1,0,1,0,0,0,+1
Jarrett Allen,15:34,1,1,1.000,0,0,,5,6,.833,1,2,3,0,0,1,1,1,7,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,17:34,3,7,.429,0,3,.000,0,0,,0,4,4,3,1,1,1,1,6,+3
Georges Niang,10:56,2,4,.500,1,3,.333,0,0,,0,1,1,0,0,1,2,0,5,-8
Craig Porter Jr.,7:37,2,3,.667,0,0,,0,0,,0,2,2,0,0,0,1,1,4,-8
Emoni Bates, 
Damian Jones, 
Sam Merrill, 
Tristan Thompson, 
Team Totals,120,20,38,.526,5,17,.294,10,14,.714,5,19,24,11,3,4,8,7,55,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Strus,9:07,2,3,.667,0,1,.000,0,0,,0,0,0,2,0,0,0,1,4,0
Donovan Mitchell,10:25,2,4,.500,1,1,1.000,3,4,.750,0,3,3,2,1,0,1,1,8,-1
Evan Mobley,10:01,2,3,.667,0,0,,2,2,1.000,0,3,3,1,0,2,1,1,6,+6
Dean Wade,9:20,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,+6
Jarrett Allen,8:45,1,1,1.000,0,0,,0,0,,0,4,4,1,0,1,1,1,2,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,7:21,2,4,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,1,5,-3
Georges Niang,5:01,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,-6
Craig Porter Jr., 
Emoni Bates, 
Damian Jones, 
Sam Merrill, 
Tristan Thompson, 
Team Totals,60,10,17,.588,3,6,.500,5,6,.833,0,10,10,7,1,3,3,7,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Strus,10:30,2,3,.667,0,1,.000,1,1,1.000,0,1,1,1,0,0,4,1,5,+6
Donovan Mitchell,6:52,4,5,.800,1,2,.500,0,0,,0,0,0,0,0,0,0,0,9,+8
Evan Mobley,9:19,2,3,.667,0,1,.000,0,0,,1,1,2,1,0,1,0,0,4,+4
Dean Wade,7:12,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-1
Jarrett Allen,4:49,1,1,1.000,0,0,,0,0,,0,2,2,0,0,1,1,1,2,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,8:07,3,6,.500,0,2,.000,0,0,,1,3,4,2,1,0,0,0,6,+7
Georges Niang,5:41,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+6
Craig Porter Jr.,1:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,0
Emoni Bates,1:30,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
Damian Jones,1:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Sam Merrill,1:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Tristan Thompson,1:30,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
Team Totals,60,12,20,.600,1,7,.143,1,1,1.000,2,11,13,5,1,2,6,2,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Strus,19:37,4,6,.667,0,2,.000,1,1,1.000,0,1,1,3,0,0,4,2,9,+6
Donovan Mitchell,17:17,6,9,.667,2,3,.667,3,4,.750,0,3,3,2,1,0,1,1,17,+7
Evan Mobley,19:20,4,6,.667,0,1,.000,2,2,1.000,1,4,5,2,0,3,1,1,10,+10
Dean Wade,16:32,0,2,.000,0,2,.000,0,0,,0,1,1,1,0,0,0,1,0,+5
Jarrett Allen,13:34,2,2,1.000,0,0,,0,0,,0,6,6,1,0,2,2,2,4,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,15:28,5,10,.500,1,4,.250,0,0,,1,3,4,3,1,0,0,1,11,+4
Georges Niang,10:42,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3,0
Craig Porter Jr.,1:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,0
Emoni Bates,1:30,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
Damian Jones,1:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Sam Merrill,1:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Tristan Thompson,1:30,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
Team Totals,120,22,37,.595,4,13,.308,6,7,.857,2,21,23,12,2,5,9,9,54,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Max Strus,36:42,.526,.458,.583,.250,4.5,5.4,5.1,25.8,1.4,0.0,27.3,23.7,98,105,-5.2
