,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Taurean Prince,35:05,3,7,.429,1,5,.200,3,3,1.000,1,0,1,3,2,0,0,5,10,+10
Anthony Davis,34:47,8,19,.421,0,1,.000,0,1,.000,4,10,14,2,3,5,6,5,16,+1
LeBron James,34:32,13,22,.591,5,9,.556,4,6,.667,0,5,5,9,2,0,3,3,35,+18
Cam Reddish,30:35,2,4,.500,1,2,.500,3,4,.750,1,1,2,1,3,1,1,0,8,+1
D'Angelo Russell,28:50,5,10,.500,4,7,.571,0,1,.000,1,2,3,6,0,0,4,1,14,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rui Hachimura,27:40,3,5,.600,1,2,.500,0,0,,1,4,5,2,0,0,0,1,7,+9
Christian Wood,19:54,5,9,.556,0,3,.000,0,0,,2,8,10,0,0,0,0,1,10,+5
Austin Reaves,17:59,1,4,.250,0,1,.000,5,6,.833,1,1,2,4,0,0,3,0,7,+10
Jaxson Hayes,8:16,0,0,,0,0,,0,1,.000,0,1,1,0,1,0,0,0,0,+4
Max Christie,1:11,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,0
Maxwell Lewis,1:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Jalen Hood-Schifino,Did Not Play
Team Totals,240,40,81,.494,12,30,.400,15,22,.682,11,33,44,27,11,6,18,16,107,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Taurean Prince,7:19,1,2,.500,0,1,.000,3,3,1.000,0,0,0,0,0,0,0,0,5,+9
Anthony Davis,10:00,1,4,.250,0,1,.000,0,0,,0,4,4,1,1,3,0,0,2,+7
LeBron James,7:31,4,6,.667,1,3,.333,0,0,,0,2,2,2,1,0,0,1,9,+13
Cam Reddish,10:00,0,0,,0,0,,2,2,1.000,1,0,1,0,0,0,1,0,2,+7
D'Angelo Russell,7:31,3,4,.750,2,3,.667,0,0,,0,0,0,2,0,0,1,1,8,+13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rui Hachimura,6:41,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,-2
Christian Wood,4:29,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-6
Austin Reaves,4:29,1,3,.333,0,1,.000,0,0,,1,0,1,0,0,0,1,0,2,-6
Jaxson Hayes,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Max Christie,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Maxwell Lewis,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Jalen Hood-Schifino,Did Not Play
Team Totals,60,11,21,.524,3,10,.300,5,5,1.000,2,9,11,5,2,3,3,2,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Taurean Prince,9:35,0,2,.000,0,2,.000,0,0,,1,0,1,2,2,0,0,1,0,+2
Anthony Davis,7:42,4,7,.571,0,0,,0,1,.000,1,2,3,0,1,2,3,2,8,-1
LeBron James,7:57,3,5,.600,0,0,,1,2,.500,0,0,0,0,0,0,1,1,7,+4
Cam Reddish,6:28,1,2,.500,1,2,.500,0,0,,0,0,0,0,1,0,0,0,3,0
D'Angelo Russell,7:42,1,3,.333,1,2,.500,0,0,,0,1,1,2,0,0,0,0,3,-1
