,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Grant Williams,37:47,5,11,.455,4,10,.400,0,0,,3,4,7,2,0,1,1,1,14,+8
Luka Dončić,35:19,15,26,.577,4,9,.444,1,4,.250,1,8,9,9,0,0,3,1,35,-17
Kyrie Irving,33:42,16,29,.552,3,10,.300,4,4,1.000,1,3,4,6,1,0,2,4,39,+13
Dereck Lively II,23:55,3,4,.750,0,0,,0,0,,3,7,10,2,0,1,3,5,6,-1
Derrick Jones Jr.,19:14,0,7,.000,0,2,.000,0,0,,2,6,8,1,0,0,2,1,0,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,26:19,6,14,.429,4,10,.400,1,1,1.000,0,2,2,2,0,0,1,0,17,0
Dwight Powell,23:36,1,2,.500,0,0,,1,1,1.000,0,3,3,1,0,0,0,3,3,-6
Josh Green,19:44,1,3,.333,1,3,.333,0,0,,1,3,4,3,0,0,0,1,3,-27
Dante Exum,11:17,3,5,.600,0,2,.000,0,0,,0,1,1,1,0,0,0,0,6,+5
Seth Curry,9:07,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,-10
Jaden Hardy,Did Not Play
Richaun Holmes,Did Not Play
Markieff Morris,Did Not Play
Olivier-Maxence Prosper,Did Not Play
Team Totals,240,51,103,.495,16,47,.340,7,10,.700,11,38,49,27,1,2,12,16,125,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Grant Williams,9:14,2,3,.667,1,2,.500,0,0,,2,2,4,0,0,1,0,0,5,-2
Luka Dončić,7:41,5,8,.625,2,3,.667,0,1,.000,0,2,2,2,0,0,1,1,12,+2
Kyrie Irving,9:14,1,6,.167,0,1,.000,0,0,,0,0,0,3,0,0,1,0,2,-2
Dereck Lively II,5:51,2,3,.667,0,0,,0,0,,1,2,3,1,0,0,1,1,4,+4
Derrick Jones Jr.,7:41,0,4,.000,0,0,,0,0,,1,4,5,0,0,0,0,0,0,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,7:05,3,5,.600,2,3,.667,1,1,1.000,0,0,0,1,0,0,0,0,9,+2
Dwight Powell,6:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Josh Green,4:22,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-1
Dante Exum,2:43,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+3
Seth Curry, 
Jaden Hardy,Did Not Play
Richaun Holmes,Did Not Play
Markieff Morris,Did Not Play
Olivier-Maxence Prosper,Did Not Play
Team Totals,60,14,30,.467,5,9,.556,1,2,.500,4,10,14,8,0,1,3,2,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Grant Williams,9:22,2,3,.667,2,3,.667,0,0,,0,1,1,0,0,0,1,0,6,+3
Luka Dončić,9:29,2,6,.333,1,3,.333,0,0,,0,2,2,3,0,0,1,0,5,-6
Kyrie Irving,6:18,2,4,.500,0,1,.000,0,0,,1,2,3,0,0,0,0,0,4,+8
Dereck Lively II,8:45,1,1,1.000,0,0,,0,0,,1,2,3,1,0,1,1,1,2,-8
Derrick Jones Jr.,2:38,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,4:09,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+7
Dwight Powell,3:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+5
Josh Green,7:51,1,2,.500,1,2,.500,0,0,,1,2,3,2,0,0,0,0,3,-10
Dante Exum,2:31,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,+3
Seth Curry,5:42,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,-11
Jaden Hardy,Did Not Play
Richaun Holmes,Did Not Play
Markieff Morris,Did Not Play
Olivier-Maxence Prosper,Did Not Play
Team Totals,60,10,23,.435,4,13,.308,0,0,,3,10,13,6,0,1,4,2,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Grant Williams,18:36,4,6,.667,3,5,.600,0,0,,2,3,5,0,0,1,1,0,11,+1
Luka Dončić,17:10,7,14,.500,3,6,.500,0,1,.000,0,4,4,5,0,0,2,1,17,-4
Kyrie Irving,15:32,3,10,.300,0,2,.000,0,0,,1,2,3,3,0,0,1,0,6,+6
Dereck Lively II,14:36,3,4,.750,0,0,,0,0,,2,4,6,2,0,1,2,2,6,-4
Derrick Jones Jr.,10:19,0,6,.000,0,1,.000,0,0,,1,4,5,0,0,0,1,0,0,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,11:14,3,6,.500,2,4,.500,1,1,1.000,0,0,0,1,0,0,0,0,9,+9
Dwight Powell,9:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+2
Josh Green,12:13,1,2,.500,1,2,.500,0,0,,1,2,3,3,0,0,0,0,3,-11
Dante Exum,5:14,2,3,.667,0,1,.000,0,0,,0,1,1,0,0,0,0,0,4,+6
Seth Curry,5:42,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,-11
Jaden Hardy,Did Not Play
Richaun Holmes,Did Not Play
Markieff Morris,Did Not Play
Olivier-Maxence Prosper,Did Not Play
Team Totals,120,24,53,.453,9,22,.409,1,2,.500,7,20,27,14,0,2,7,4,58,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Grant Williams,8:03,1,1,1.000,1,1,1.000,0,0,,0,1,1,2,0,0,0,0,3,+20
Luka Dončić,9:05,5,6,.833,1,2,.500,1,1,1.000,1,1,2,2,0,0,1,0,12,+4
Kyrie Irving,8:52,7,10,.700,2,4,.500,2,2,1.000,0,1,1,2,0,0,0,1,18,+19
Dereck Lively II,4:27,0,0,,0,0,,0,0,,1,2,3,0,0,0,1,2,0,+11
Derrick Jones Jr.,5:08,0,1,.000,0,1,.000,0,0,,1,2,3,1,0,0,1,0,0,+13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,6:52,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,1,0,2,-2
Dwight Powell,7:33,1,2,.500,0,0,,1,1,1.000,0,2,2,1,0,0,0,0,3,0
Josh Green,3:57,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-9
Dante Exum,6:03,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,-1
Seth Curry, 
Jaden Hardy,Did Not Play
Richaun Holmes,Did Not Play
Markieff Morris,Did Not Play
Olivier-Maxence Prosper,Did Not Play
Team Totals,60,16,25,.640,4,10,.400,4,4,1.000,3,11,14,9,0,0,4,4,40,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
