,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,34:07,5,7,.714,0,0,,7,10,.700,2,9,11,1,2,1,1,2,17,-7
Jaden McDaniels,33:58,5,7,.714,1,2,.500,1,1,1.000,0,2,2,1,0,0,2,3,12,+8
Karl-Anthony Towns,33:15,10,11,.909,2,2,1.000,7,8,.875,2,4,6,9,0,2,0,5,29,+9
Mike Conley,30:28,2,8,.250,1,5,.200,0,0,,0,3,3,5,1,0,3,1,5,-5
Anthony Edwards,30:08,9,19,.474,5,10,.500,0,0,,0,3,3,4,0,0,3,6,23,+13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Anderson,26:19,4,7,.571,0,0,,1,2,.500,1,4,5,5,1,2,1,0,9,+5
Naz Reid,18:30,2,8,.250,2,6,.333,2,2,1.000,0,1,1,0,0,1,1,0,8,-8
Nickeil Alexander-Walker,17:37,4,7,.571,2,4,.500,0,0,,0,1,1,3,1,1,2,2,10,+6
Shake Milton,15:38,2,6,.333,0,2,.000,4,4,1.000,0,1,1,1,1,0,1,2,8,-16
Troy Brown Jr.,Did Not Play
Josh Minott,Did Not Play
Daishen Nix,Did Not Play
Team Totals,240,43,80,.538,13,31,.419,22,27,.815,5,28,33,29,6,7,14,21,121,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,6:18,2,4,.500,0,0,,0,0,,2,2,4,0,1,0,0,1,4,-6
Jaden McDaniels,7:13,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,1,0,2,-9
Karl-Anthony Towns,11:58,0,1,.000,0,0,,2,2,1.000,0,1,1,4,0,0,0,1,2,-8
Mike Conley,6:16,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-6
Anthony Edwards,9:46,3,5,.600,1,1,1.000,0,0,,0,0,0,1,0,0,1,2,7,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Anderson,5:03,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,4,0
