,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Domantas Sabonis,30:41,4,8,.500,0,0,,2,3,.667,5,5,10,8,0,0,5,4,10,-36
Harrison Barnes,29:58,4,9,.444,3,6,.500,5,6,.833,0,4,4,0,1,0,0,0,16,-23
De'Aaron Fox,28:44,5,18,.278,2,12,.167,2,4,.500,0,2,2,0,1,0,2,1,14,-32
Kevin Huerter,22:32,4,10,.400,2,8,.250,0,0,,0,0,0,3,0,0,0,1,10,-25
Keegan Murray,16:22,1,4,.250,1,2,.500,2,2,1.000,2,1,3,0,1,1,0,2,5,-20
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malik Monk,24:24,3,11,.273,2,6,.333,0,0,,0,0,0,5,0,0,1,2,8,-16
Davion Mitchell,19:16,0,2,.000,0,2,.000,2,2,1.000,0,0,0,8,0,0,1,1,2,-4
Kessler Edwards,15:02,1,4,.250,1,4,.250,0,0,,0,4,4,0,0,1,0,2,3,-12
Colby Jones,13:43,4,8,.500,0,2,.000,0,1,.000,0,1,1,0,1,0,0,2,8,-1
JaVale McGee,12:34,4,6,.667,0,0,,2,4,.500,2,5,7,1,0,2,3,3,10,-6
Jalen Slawson,12:00,2,3,.667,0,1,.000,0,0,,0,3,3,2,0,1,1,1,4,-5
Chris Duarte,8:18,0,2,.000,0,2,.000,0,0,,0,2,2,0,0,0,0,1,0,-3
Filip Petrušev,6:26,1,2,.500,0,0,,1,2,.500,0,0,0,0,0,0,0,1,3,+3
Sasha Vezenkov,Did Not Dress
Team Totals,240,33,87,.379,11,45,.244,16,24,.667,9,27,36,27,4,5,13,21,93,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Domantas Sabonis,9:44,3,4,.750,0,0,,1,2,.500,4,2,6,3,0,0,1,0,7,-3
Harrison Barnes,8:21,2,4,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,5,+1
De'Aaron Fox,8:21,3,7,.429,1,5,.200,2,4,.500,0,0,0,0,1,0,0,1,9,+1
Kevin Huerter,6:05,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,-4
Keegan Murray,9:44,1,3,.333,1,2,.500,0,0,,1,0,1,0,1,1,0,1,3,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malik Monk,5:55,1,3,.333,1,2,.500,0,0,,0,0,0,3,0,0,0,0,3,+6
Davion Mitchell,3:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Kessler Edwards, 
Colby Jones, 
JaVale McGee,2:16,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,0,1,4,+5
Jalen Slawson, 
Chris Duarte,5:55,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,+6
Filip Petrušev, 
Sasha Vezenkov,Did Not Dress
Team Totals,60,12,26,.462,4,14,.286,3,6,.500,5,6,11,7,2,1,1,3,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Domantas Sabonis,8:57,1,2,.500,0,0,,1,1,1.000,0,1,1,1,0,0,1,3,3,-15
