,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
John Collins,24:59,6,12,.500,2,5,.400,1,2,.500,2,2,4,1,1,1,1,3,15,-29
Jordan Clarkson,24:12,3,9,.333,0,3,.000,1,1,1.000,0,0,0,2,1,0,2,1,7,-24
Lauri Markkanen,22:33,4,10,.400,2,7,.286,0,0,,1,7,8,0,1,0,0,2,10,-9
Keyonte George,21:20,3,11,.273,1,5,.200,2,2,1.000,1,2,3,2,1,0,2,2,9,-21
Ochai Agbaji,17:14,0,5,.000,0,3,.000,0,0,,1,2,3,0,0,0,1,2,0,-16
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Simone Fontecchio,27:08,4,6,.667,3,5,.600,0,0,,2,2,4,0,0,1,1,3,11,-6
Kelly Olynyk,24:22,1,6,.167,0,4,.000,2,4,.500,2,3,5,5,0,0,2,3,4,-17
Talen Horton-Tucker,23:15,1,10,.100,0,5,.000,4,4,1.000,0,3,3,7,2,1,1,1,6,-16
Collin Sexton,21:39,6,11,.545,2,3,.667,0,0,,0,3,3,4,0,0,1,2,14,-9
Omer Yurtseven,16:45,8,11,.727,0,1,.000,2,3,.667,4,2,6,1,0,0,0,1,18,-9
Luka Šamanić,8:49,0,3,.000,0,2,.000,0,0,,0,3,3,1,0,0,1,1,0,-5
Kris Dunn,7:44,2,4,.500,1,1,1.000,0,0,,0,0,0,2,0,0,2,1,5,+1
Team Totals,240,38,98,.388,11,44,.250,12,16,.750,13,29,42,25,6,3,14,22,99,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
John Collins,10:48,2,4,.500,1,2,.500,1,2,.500,1,0,1,1,1,1,0,1,6,-17
Jordan Clarkson,9:20,0,3,.000,0,2,.000,0,0,,0,0,0,0,1,0,1,0,0,-12
Lauri Markkanen,7:48,1,4,.250,0,3,.000,0,0,,0,4,4,0,0,0,0,1,2,-7
Keyonte George,7:10,1,4,.250,0,2,.000,0,0,,1,2,3,1,0,0,0,0,2,-7
Ochai Agbaji,7:10,0,4,.000,0,2,.000,0,0,,1,1,2,0,0,0,0,1,0,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Simone Fontecchio,1:12,1,1,1.000,1,1,1.000,0,0,,1,0,1,0,0,0,0,0,3,+2
Kelly Olynyk,6:52,0,1,.000,0,1,.000,0,2,.000,0,2,2,0,0,0,1,2,0,-11
Talen Horton-Tucker,4:50,1,4,.250,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,-8
Collin Sexton,4:50,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,0,2,-8
Omer Yurtseven, 
Luka Šamanić, 
Kris Dunn, 
Team Totals,60,7,27,.259,2,14,.143,1,4,.250,4,10,14,3,2,1,2,5,17,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
John Collins,6:56,1,3,.333,0,1,.000,0,0,,1,1,2,0,0,0,1,1,2,-10
Jordan Clarkson,6:56,2,4,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,1,4,-10
Lauri Markkanen,9:29,2,5,.400,1,3,.333,0,0,,1,1,2,0,1,0,0,1,5,-1
Keyonte George,7:13,1,3,.333,0,1,.000,2,2,1.000,0,0,0,0,1,0,2,2,4,-10
Ochai Agbaji,4:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Simone Fontecchio,7:12,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,1,0,+2
Kelly Olynyk,7:35,1,3,.333,0,1,.000,0,0,,1,1,2,1,0,0,0,0,2,-1
Talen Horton-Tucker,4:47,0,1,.000,0,1,.000,2,2,1.000,0,2,2,4,1,1,1,0,2,+4
Collin Sexton,5:04,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,5,+4
Omer Yurtseven, 
Luka Šamanić, 
Kris Dunn, 
Team Totals,60,9,21,.429,2,9,.222,4,4,1.000,4,6,10,5,3,1,7,8,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
