,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,43:37,16,31,.516,2,6,.333,11,12,.917,3,7,10,4,2,0,1,2,45,-12
Spencer Dinwiddie,41:48,9,23,.391,3,8,.375,5,5,1.000,2,4,6,12,0,0,4,3,26,+8
Dorian Finney-Smith,38:22,3,7,.429,2,5,.400,0,0,,3,5,8,1,0,0,1,3,8,-5
Cameron Johnson,38:20,8,13,.615,5,8,.625,2,2,1.000,2,3,5,5,2,0,2,1,23,+12
Nic Claxton,36:40,10,15,.667,0,0,,2,2,1.000,7,4,11,3,1,3,2,6,22,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,20:44,0,3,.000,0,2,.000,0,2,.000,0,3,3,1,1,1,1,3,0,-5
Lonnie Walker IV,16:10,3,7,.429,2,4,.500,0,1,.000,0,2,2,1,0,1,1,1,8,0
Trendon Watford,15:23,3,8,.375,1,2,.500,0,0,,1,6,7,1,0,0,3,3,7,-6
Day'Ron Sharpe,13:56,3,6,.500,0,0,,0,0,,4,3,7,0,2,1,1,2,6,+4
Armoni Brooks,Did Not Play
Harry Giles,Did Not Play
Dennis Smith Jr.,Not With Team
Team Totals,265,55,113,.487,15,35,.429,20,24,.833,22,37,59,28,8,6,16,24,145,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,12:00,2,4,.500,0,1,.000,5,5,1.000,2,1,3,2,0,0,0,0,9,-12
Spencer Dinwiddie,9:48,3,7,.429,2,4,.500,1,1,1.000,0,2,2,2,0,0,0,0,9,-8
Dorian Finney-Smith,6:05,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-3
Cameron Johnson,6:56,2,3,.667,2,3,.667,0,0,,0,1,1,1,0,0,1,1,6,0
Nic Claxton,8:44,1,2,.500,0,0,,2,2,1.000,2,1,3,2,0,0,2,2,4,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,5:55,0,3,.000,0,2,.000,0,0,,0,0,0,1,1,0,0,0,0,-9
Lonnie Walker IV,5:04,1,3,.333,0,1,.000,0,1,.000,0,1,1,1,0,0,1,1,2,-12
Trendon Watford,2:12,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-4
Day'Ron Sharpe,3:16,0,1,.000,0,0,,0,0,,2,0,2,0,0,0,1,1,0,-2
Armoni Brooks,Did Not Play
Harry Giles,Did Not Play
Dennis Smith Jr.,Not With Team
Team Totals,60,10,25,.400,5,12,.417,8,9,.889,6,7,13,9,1,0,5,5,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,6:48,3,4,.750,0,1,.000,0,0,,0,1,1,0,0,0,0,1,6,-4
Spencer Dinwiddie,6:19,1,4,.250,0,2,.000,2,2,1.000,0,0,0,3,0,0,1,0,4,+4
Dorian Finney-Smith,6:48,1,2,.500,1,2,.500,0,0,,0,2,2,1,0,0,0,1,3,-4
Cameron Johnson,12:00,2,4,.500,1,2,.500,0,0,,1,1,2,3,0,0,1,0,5,+2
Nic Claxton,7:13,2,4,.500,0,0,,0,0,,2,1,3,0,0,1,0,0,4,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,5:12,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,+6
Lonnie Walker IV,5:12,2,3,.667,2,3,.667,0,0,,0,1,1,0,0,0,0,0,6,+6
Trendon Watford,5:41,1,5,.200,0,1,.000,0,0,,1,2,3,0,0,0,1,2,2,-2
Day'Ron Sharpe,4:47,2,3,.667,0,0,,0,0,,2,1,3,0,1,1,0,1,4,+7
Armoni Brooks,Did Not Play
Harry Giles,Did Not Play
Dennis Smith Jr.,Not With Team
Team Totals,60,14,29,.483,4,11,.364,2,2,1.000,6,10,16,7,1,3,3,5,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,18:48,5,8,.625,0,2,.000,5,5,1.000,2,2,4,2,0,0,0,1,15,-16
Spencer Dinwiddie,16:07,4,11,.364,2,6,.333,3,3,1.000,0,2,2,5,0,0,1,0,13,-4
Dorian Finney-Smith,12:53,2,3,.667,2,3,.667,0,0,,0,2,2,1,0,0,0,1,6,-7
Cameron Johnson,18:56,4,7,.571,3,5,.600,0,0,,1,2,3,4,0,0,2,1,11,+2
Nic Claxton,15:57,3,6,.500,0,0,,2,2,1.000,4,2,6,2,0,1,2,2,8,-15
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,11:07,0,3,.000,0,2,.000,0,0,,0,1,1,1,1,1,0,0,0,-3
Lonnie Walker IV,10:16,3,6,.500,2,4,.500,0,1,.000,0,2,2,1,0,0,1,1,8,-6
Trendon Watford,7:53,1,6,.167,0,1,.000,0,0,,1,3,4,0,0,0,1,2,2,-6
Day'Ron Sharpe,8:03,2,4,.500,0,0,,0,0,,4,1,5,0,1,1,1,2,4,+5
Armoni Brooks,Did Not Play
Harry Giles,Did Not Play
Dennis Smith Jr.,Not With Team
Team Totals,120,24,54,.444,9,23,.391,10,11,.909,12,17,29,16,2,3,8,10,67,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,12:00,2,5,.400,0,1,.000,1,2,.500,1,2,3,2,2,0,1,1,5,+5
Spencer Dinwiddie,8:41,1,4,.250,0,0,,0,0,,2,1,3,4,0,0,2,0,2,+9
Dorian Finney-Smith,12:00,1,3,.333,0,1,.000,0,0,,2,1,3,0,0,0,0,0,2,+5
Cameron Johnson,7:56,2,4,.500,1,2,.500,2,2,1.000,0,0,0,0,2,0,0,0,7,+9
Nic Claxton,6:07,4,5,.800,0,0,,0,0,,2,1,3,0,0,0,0,2,8,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,4:04,0,0,,0,0,,0,2,.000,0,1,1,0,0,0,1,1,0,-4
Lonnie Walker IV, 
Trendon Watford,3:19,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,2,0,2,-4
Day'Ron Sharpe,5:53,1,2,.500,0,0,,0,0,,0,2,2,0,1,0,0,0,2,-1
Armoni Brooks,Did Not Play
Harry Giles,Did Not Play
Dennis Smith Jr.,Not With Team
Team Totals,60,12,24,.500,1,4,.250,3,6,.500,7,8,15,6,5,0,6,4,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,7:49,5,10,.500,1,2,.500,3,3,1.000,0,3,3,0,0,0,0,0,14,+1
Spencer Dinwiddie,12:00,3,6,.500,1,2,.500,1,1,1.000,0,0,0,2,0,0,1,3,8,+5
Dorian Finney-Smith,8:29,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-1
Cameron Johnson,8:27,2,2,1.000,1,1,1.000,0,0,,1,0,1,1,0,0,0,0,5,0
Nic Claxton,9:40,3,3,1.000,0,0,,0,0,,1,1,2,1,1,2,0,0,6,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,3:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,+5
Lonnie Walker IV,5:49,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,0,0,+4
Trendon Watford,4:11,1,1,1.000,1,1,1.000,0,0,,0,3,3,1,0,0,0,1,3,+4
Day'Ron Sharpe, 
Armoni Brooks,Did Not Play
Harry Giles,Did Not Play
Dennis Smith Jr.,Not With Team
Team Totals,60,14,24,.583,4,7,.571,4,4,1.000,2,8,10,5,1,3,1,7,36,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
