,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Maxey,33:40,7,19,.368,0,5,.000,2,4,.500,2,3,5,8,0,1,3,0,16,-18
Tobias Harris,32:19,4,11,.364,0,3,.000,7,8,.875,1,5,6,2,0,1,1,1,15,-15
De'Anthony Melton,30:16,3,11,.273,1,5,.200,9,9,1.000,1,5,6,3,0,1,1,2,16,-6
Nicolas Batum,24:12,2,4,.500,2,4,.500,0,0,,0,3,3,0,0,1,1,2,6,-23
Marcus Morris,16:14,6,12,.500,3,5,.600,1,1,1.000,2,2,4,2,1,2,2,5,16,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul Reed,26:01,5,9,.556,0,0,,0,0,,6,3,9,1,2,4,1,4,10,-10
Robert Covington,19:46,2,4,.500,0,1,.000,1,2,.500,1,5,6,0,0,2,0,2,5,+6
Danuel House Jr.,16:41,1,5,.200,0,3,.000,1,2,.500,0,2,2,2,3,0,1,2,3,-2
Patrick Beverley,15:40,1,2,.500,0,1,.000,0,0,,0,0,0,2,0,0,2,2,2,-16
Jaden Springer,8:25,0,4,.000,0,2,.000,0,0,,2,1,3,1,1,0,2,1,0,+2
Mo Bamba,5:35,1,2,.500,0,1,.000,2,2,1.000,1,1,2,0,0,0,0,0,4,+8
Furkan Korkmaz,5:35,1,2,.500,1,2,.500,0,0,,0,1,1,0,1,0,0,0,3,+8
KJ Martin,5:35,1,2,.500,0,0,,1,2,.500,0,1,1,0,1,0,0,2,3,+8
Team Totals,240,34,87,.391,7,32,.219,24,30,.800,16,32,48,21,9,12,14,23,99,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Maxey,9:33,3,5,.600,0,1,.000,0,1,.000,1,1,2,1,0,0,2,0,6,-14
Tobias Harris,8:47,1,4,.250,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,1,4,-12
De'Anthony Melton,7:12,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-9
Nicolas Batum,6:37,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,1,2,3,-10
Marcus Morris,3:24,1,2,.500,0,1,.000,0,0,,1,0,1,1,0,0,1,2,2,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul Reed,8:36,1,3,.333,0,0,,0,0,,3,1,4,0,0,2,0,1,2,-12
Robert Covington,2:27,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,0,0,1,-3
Danuel House Jr.,6:09,1,3,.333,0,1,.000,0,0,,0,0,0,0,1,0,1,1,2,-9
Patrick Beverley,5:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-8
Jaden Springer,1:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-3
Mo Bamba, 
Furkan Korkmaz, 
KJ Martin, 
Team Totals,60,8,22,.364,1,8,.125,3,5,.600,6,5,11,2,1,2,7,7,20,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Maxey,9:37,1,5,.200,0,1,.000,0,0,,0,1,1,1,0,1,0,0,2,+5
Tobias Harris,12:00,3,5,.600,0,1,.000,3,4,.750,1,3,4,2,0,0,0,0,9,+9
De'Anthony Melton,10:44,2,4,.500,1,2,.500,8,8,1.000,1,3,4,1,0,1,0,0,13,+12
Nicolas Batum,6:35,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1
Marcus Morris,5:15,1,3,.333,1,1,1.000,0,0,,1,0,1,1,0,1,0,0,3,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul Reed,5:41,1,1,1.000,0,0,,0,0,,0,1,1,1,1,0,1,2,2,+8
Robert Covington,8:52,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,2,0,+14
Danuel House Jr., 
Patrick Beverley, 
Jaden Springer,1:16,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-3
Mo Bamba, 
Furkan Korkmaz, 
KJ Martin, 
Team Totals,60,8,20,.400,2,6,.333,11,12,.917,4,10,14,6,1,4,1,5,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Maxey,19:10,4,10,.400,0,2,.000,0,1,.000,1,2,3,2,0,1,2,0,8,-9
Tobias Harris,20:47,4,9,.444,0,2,.000,5,6,.833,1,4,5,2,0,0,0,1,13,-3
De'Anthony Melton,17:56,2,7,.286,1,4,.250,8,8,1.000,1,4,5,1,0,1,0,0,13,+3
Nicolas Batum,13:12,1,3,.333,1,3,.333,0,0,,0,1,1,0,0,0,1,2,3,-11
Marcus Morris,8:39,2,5,.400,1,2,.500,0,0,,2,0,2,2,0,1,1,2,5,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul Reed,14:17,2,4,.500,0,0,,0,0,,3,2,5,1,1,2,1,3,4,-4
Robert Covington,11:19,0,0,,0,0,,1,2,.500,1,2,3,0,0,1,0,2,1,+11
Danuel House Jr.,6:09,1,3,.333,0,1,.000,0,0,,0,0,0,0,1,0,1,1,2,-9
Patrick Beverley,5:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-8
Jaden Springer,2:51,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,1,0,-6
Mo Bamba, 
Furkan Korkmaz, 
KJ Martin, 
Team Totals,120,16,42,.381,3,14,.214,14,17,.824,10,15,25,8,2,6,8,12,49,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Maxey,10:33,3,7,.429,0,2,.000,2,3,.667,1,1,2,5,0,0,1,0,8,0
Tobias Harris,5:07,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,0,0,-3
De'Anthony Melton,8:18,1,2,.500,0,1,.000,1,1,1.000,0,1,1,1,0,0,1,1,3,-5
Nicolas Batum,7:03,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,0,0,-3
Marcus Morris,5:07,4,6,.667,2,3,.667,1,1,1.000,0,1,1,0,1,1,1,2,11,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul Reed,6:53,2,2,1.000,0,0,,0,0,,0,0,0,0,1,1,0,1,4,-1
Robert Covington,6:53,2,4,.500,0,1,.000,0,0,,0,2,2,0,0,1,0,0,4,-1
Danuel House Jr.,4:57,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,1,0,-1
Patrick Beverley,5:09,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,1,0,-3
Jaden Springer, 
Mo Bamba, 
Furkan Korkmaz, 
KJ Martin, 
Team Totals,60,12,23,.522,2,8,.250,4,5,.800,1,8,9,8,3,5,3,6,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Maxey,3:57,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-9
Tobias Harris,6:25,0,1,.000,0,1,.000,2,2,1.000,0,1,1,0,0,0,1,0,2,-9
De'Anthony Melton,4:02,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-4
Nicolas Batum,3:57,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-9
Marcus Morris,2:28,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul Reed,4:51,1,3,.333,0,0,,0,0,,3,1,4,0,0,1,0,0,2,-5
Robert Covington,1:34,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-4
Danuel House Jr.,5:35,0,2,.000,0,2,.000,1,2,.500,0,1,1,2,1,0,0,0,1,+8
Patrick Beverley,4:51,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-5
