,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jimmy Butler,36:42,7,14,.500,3,5,.600,6,6,1.000,0,2,2,3,1,0,2,1,23,+7
Bam Adebayo,34:47,8,16,.500,0,1,.000,5,6,.833,2,10,12,2,2,0,2,4,21,0
Josh Richardson,34:15,5,10,.500,2,4,.500,3,3,1.000,1,1,2,2,2,0,2,3,15,-7
Kyle Lowry,33:22,4,9,.444,2,5,.400,0,0,,3,5,8,2,2,0,1,3,10,+3
Haywood Highsmith,23:37,1,6,.167,1,5,.200,2,2,1.000,0,3,3,3,2,0,2,1,5,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaime Jaquez Jr.,34:52,6,17,.353,1,6,.167,2,2,1.000,3,2,5,4,1,0,0,3,15,-18
Kevin Love,18:18,2,7,.286,1,6,.167,2,2,1.000,1,5,6,1,0,0,2,1,7,-1
Caleb Martin,17:46,1,5,.200,0,3,.000,0,0,,0,3,3,1,1,0,0,3,2,-1
Cole Swider,6:21,0,3,.000,0,2,.000,0,0,,0,0,0,2,0,0,0,0,0,-3
Thomas Bryant,Did Not Play
Jamal Cain,Did Not Play
Team Totals,240,34,87,.391,10,37,.270,20,21,.952,10,31,41,20,11,0,11,19,98,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jimmy Butler,10:51,2,3,.667,1,1,1.000,0,0,,0,1,1,2,0,0,1,1,5,+3
Bam Adebayo,8:30,3,5,.600,0,1,.000,3,4,.750,0,2,2,1,0,0,0,0,9,+7
Josh Richardson,7:18,3,3,1.000,1,1,1.000,0,0,,0,0,0,1,1,0,0,1,7,+2
Kyle Lowry,9:08,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,1,0,0,-2
Haywood Highsmith,9:39,0,2,.000,0,2,.000,0,0,,0,1,1,1,1,0,0,1,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaime Jaquez Jr.,5:51,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+1
Kevin Love,5:51,2,3,.667,1,2,.500,2,2,1.000,0,1,1,0,0,0,1,0,7,+1
Caleb Martin,2:52,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+5
Cole Swider, 
Thomas Bryant,Did Not Play
Jamal Cain,Did Not Play
Team Totals,60,10,18,.556,3,8,.375,5,6,.833,0,6,6,6,3,0,3,4,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jimmy Butler,5:39,2,3,.667,1,1,1.000,1,1,1.000,0,1,1,1,1,0,0,0,6,-1
Bam Adebayo,7:14,2,3,.667,0,0,,0,0,,1,4,5,0,1,0,1,2,4,-3
Josh Richardson,7:58,0,3,.000,0,2,.000,1,1,1.000,1,0,1,0,0,0,0,1,1,-5
Kyle Lowry,5:39,1,2,.500,1,2,.500,0,0,,1,1,2,0,0,0,0,0,3,-1
Haywood Highsmith,0:54,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaime Jaquez Jr.,12:00,3,8,.375,0,1,.000,0,0,,1,0,1,1,0,0,0,1,6,-4
Kevin Love,4:46,0,2,.000,0,2,.000,0,0,,1,1,2,1,0,0,0,0,0,-1
Caleb Martin,9:29,1,3,.333,0,2,.000,0,0,,0,1,1,1,1,0,0,1,2,+1
Cole Swider,6:21,0,3,.000,0,2,.000,0,0,,0,0,0,2,0,0,0,0,0,-3
Thomas Bryant,Did Not Play
Jamal Cain,Did Not Play
Team Totals,60,9,28,.321,2,13,.154,2,2,1.000,5,8,13,6,3,0,1,5,22,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
