,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jayson Tatum,38:56,7,16,.438,0,3,.000,12,13,.923,0,5,5,3,2,0,2,3,26,-21
Jaylen Brown,38:54,6,22,.273,2,8,.250,4,7,.571,0,3,3,2,3,1,3,3,18,+1
Derrick White,37:24,3,9,.333,1,5,.200,9,12,.750,0,5,5,4,1,1,3,1,16,-6
Al Horford,32:58,1,5,.200,1,5,.200,0,0,,0,5,5,3,0,0,1,4,3,-26
Kristaps Porziņģis,22:18,4,9,.444,1,4,.250,0,1,.000,1,3,4,2,2,0,2,3,9,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sam Hauser,25:17,4,6,.667,2,4,.500,0,0,,1,1,2,0,0,0,1,0,10,-16
Luke Kornet,24:43,5,6,.833,0,0,,2,2,1.000,2,4,6,1,2,2,1,2,12,-2
Payton Pritchard,13:07,1,2,.500,0,0,,0,0,,0,1,1,2,0,0,1,0,2,-6
Oshae Brissett,5:19,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,0,2,0,-11
Dalano Banton,0:32,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Lamar Stevens,0:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Svi Mykhailiuk,Did Not Play
Team Totals,240,31,76,.408,7,29,.241,27,37,.730,4,27,31,17,10,4,14,18,96,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jayson Tatum,7:28,2,4,.500,0,1,.000,0,0,,0,1,1,2,1,0,1,0,4,+7
Jaylen Brown,12:00,4,5,.800,2,2,1.000,2,3,.667,0,1,1,0,0,0,2,1,12,+11
Derrick White,9:52,2,3,.667,0,0,,2,3,.667,0,1,1,2,0,0,0,0,6,+8
Al Horford,5:20,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,+4
Kristaps Porziņģis,12:00,1,5,.200,0,2,.000,0,1,.000,0,1,1,0,2,0,1,1,2,+11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sam Hauser,4:45,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+6
Luke Kornet,6:27,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,1,0,0,1,4,+5
Payton Pritchard,2:08,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+3
Oshae Brissett, 
Dalano Banton, 
Lamar Stevens, 
