,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Richardson,36:41,4,11,.364,0,5,.000,3,3,1.000,2,3,5,5,0,1,2,1,11,-16
Jaime Jaquez Jr.,31:14,8,15,.533,2,3,.667,0,0,,1,4,5,4,1,0,2,1,18,-18
Kyle Lowry,29:35,3,10,.300,2,7,.286,1,2,.500,1,2,3,4,2,0,3,2,9,-19
Haywood Highsmith,15:27,3,7,.429,2,3,.667,0,0,,1,3,4,0,0,1,1,2,8,-22
Thomas Bryant,13:25,1,5,.200,0,1,.000,0,0,,0,1,1,0,1,0,2,1,2,-17
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caleb Martin,30:33,9,18,.500,1,4,.250,3,3,1.000,4,3,7,3,0,0,2,2,22,+8
Jamal Cain,29:23,3,6,.500,1,3,.333,0,1,.000,0,3,3,0,1,0,1,1,7,+7
Cole Swider,20:12,4,8,.500,3,7,.429,0,0,,0,0,0,1,1,1,1,1,11,-2
Kevin Love,16:56,3,4,.750,0,0,,2,2,1.000,3,7,10,2,0,0,1,2,8,+9
Nikola Jović,16:34,0,3,.000,0,1,.000,1,2,.500,1,5,6,5,0,0,2,5,1,-5
Jimmy Butler,Did Not Dress
Team Totals,240,38,87,.437,11,34,.324,10,13,.769,13,31,44,24,6,3,17,18,97,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Richardson,9:49,0,4,.000,0,2,.000,1,1,1.000,0,1,1,2,0,1,0,0,1,-12
Jaime Jaquez Jr.,10:14,1,2,.500,1,1,1.000,0,0,,0,2,2,2,0,0,1,0,3,-3
Kyle Lowry,10:14,3,5,.600,2,4,.500,1,2,.500,0,0,0,1,0,0,1,1,9,-3
Haywood Highsmith,6:38,1,1,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,0,2,3,-12
Thomas Bryant,6:38,1,5,.200,0,1,.000,0,0,,0,1,1,0,1,0,2,1,2,-12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caleb Martin,5:22,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,0,2,+8
Jamal Cain,3:57,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+7
Cole Swider,1:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1
Kevin Love,5:22,0,0,,0,0,,2,2,1.000,1,3,4,1,0,0,1,0,2,+8
Nikola Jović, 
Jimmy Butler,Did Not Dress
Team Totals,60,7,19,.368,4,9,.444,4,5,.800,2,10,12,6,1,1,6,4,22,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Richardson,9:46,1,2,.500,0,1,.000,2,2,1.000,1,0,1,2,0,0,1,0,4,-2
Jaime Jaquez Jr.,5:57,3,3,1.000,1,1,1.000,0,0,,0,1,1,0,1,0,1,0,7,-3
Kyle Lowry,6:36,0,2,.000,0,1,.000,0,0,,0,1,1,2,1,0,1,1,0,-5
Haywood Highsmith,5:19,2,4,.500,1,2,.500,0,0,,1,0,1,0,0,1,1,0,5,-4
Thomas Bryant,4:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
