,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,30:47,3,7,.429,0,2,.000,4,5,.800,0,1,1,2,0,0,0,1,10,-16
Victor Wembanyama,24:56,7,17,.412,2,5,.400,6,7,.857,4,7,11,2,6,4,3,4,22,-10
Malaki Branham,24:47,6,11,.545,3,5,.600,0,0,,1,1,2,3,1,0,0,3,15,-15
Zach Collins,20:39,4,9,.444,1,4,.250,0,0,,2,2,4,3,1,0,4,4,9,-14
Jeremy Sochan,17:10,2,6,.333,0,1,.000,0,0,,0,2,2,3,0,0,3,0,4,-14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Vassell,26:14,7,13,.538,4,7,.571,1,1,1.000,0,1,1,3,1,0,0,1,19,+5
Tre Jones,22:21,4,8,.500,0,1,.000,2,2,1.000,0,4,4,6,0,0,1,2,10,+14
Julian Champagnie,16:48,4,8,.500,3,6,.500,2,4,.500,0,1,1,1,0,1,0,1,13,+2
Cedi Osman,15:51,1,5,.200,1,3,.333,4,4,1.000,1,2,3,3,0,0,3,2,7,-9
Charles Bassey,15:15,3,5,.600,0,0,,3,3,1.000,2,4,6,2,0,1,1,3,9,-7
Doug McDermott,12:08,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,-12
Devonte' Graham,6:32,1,2,.500,0,1,.000,0,0,,0,0,0,3,0,0,0,0,2,+8
Sandro Mamukelashvili,6:32,0,0,,0,0,,0,0,,0,0,0,2,1,0,0,1,0,+8
Team Totals,240,42,93,.452,14,37,.378,22,26,.846,10,25,35,34,10,6,15,22,120,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,9:05,0,0,,0,0,,2,2,1.000,0,0,0,1,0,0,0,0,2,-6
Victor Wembanyama,9:02,3,7,.429,1,2,.500,2,2,1.000,2,4,6,1,2,1,1,1,9,-5
Malaki Branham,6:28,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,2,3,-9
Zach Collins,7:44,2,5,.400,0,2,.000,0,0,,0,0,0,1,1,0,2,1,4,-7
Jeremy Sochan,6:28,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,2,0,0,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Vassell,5:32,3,5,.600,3,4,.750,0,0,,0,0,0,0,0,0,0,0,9,+5
Tre Jones,5:32,0,0,,0,0,,0,0,,0,0,0,2,0,0,1,2,0,+5
Julian Champagnie,2:55,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+2
Cedi Osman,5:23,1,2,.500,1,1,1.000,0,0,,1,1,2,2,0,0,0,0,3,+5
Charles Bassey,1:51,0,0,,0,0,,2,2,1.000,0,0,0,1,0,1,0,1,2,-1
Doug McDermott, 
Devonte' Graham, 
Sandro Mamukelashvili, 
Team Totals,60,11,22,.500,7,11,.636,6,6,1.000,3,5,8,9,3,2,6,7,35,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,8:51,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-8
Victor Wembanyama,6:27,3,5,.600,1,2,.500,1,2,.500,2,1,3,0,2,1,0,2,8,+6
Malaki Branham,3:23,1,3,.333,0,1,.000,0,0,,0,0,0,0,1,0,0,1,2,-7
Zach Collins,3:20,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,2,0,-10
Jeremy Sochan,10:42,2,5,.400,0,1,.000,0,0,,0,2,2,2,0,0,1,0,4,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Vassell,8:04,2,4,.500,1,2,.500,0,0,,0,0,0,2,1,0,0,0,5,+3
Tre Jones,6:40,0,1,.000,0,1,.000,2,2,1.000,0,1,1,2,0,0,0,0,2,+8
Julian Champagnie,1:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
Cedi Osman,3:39,0,2,.000,0,1,.000,2,2,1.000,0,1,1,0,0,0,3,1,2,-12
Charles Bassey,2:13,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-4
Doug McDermott,4:58,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-6
Devonte' Graham, 
Sandro Mamukelashvili, 
Team Totals,60,9,24,.375,2,9,.222,5,6,.833,3,7,10,7,4,1,5,7,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,17:56,1,2,.500,0,0,,2,2,1.000,0,1,1,1,0,0,0,0,4,-14
Victor Wembanyama,15:29,6,12,.500,2,4,.500,3,4,.750,4,5,9,1,4,2,1,3,17,+1
Malaki Branham,9:51,2,4,.500,1,2,.500,0,0,,0,0,0,0,1,0,0,3,5,-16
Zach Collins,11:04,2,6,.333,0,3,.000,0,0,,0,0,0,1,1,0,3,3,4,-17
Jeremy Sochan,17:10,2,6,.333,0,1,.000,0,0,,0,2,2,3,0,0,3,0,4,-14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Vassell,13:36,5,9,.556,4,6,.667,0,0,,0,0,0,2,1,0,0,0,14,+8
Tre Jones,12:12,0,1,.000,0,1,.000,2,2,1.000,0,1,1,4,0,0,1,2,2,+13
Julian Champagnie,4:38,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-3
Cedi Osman,9:02,1,4,.250,1,2,.500,2,2,1.000,1,2,3,2,0,0,3,1,5,-7
Charles Bassey,4:04,0,1,.000,0,0,,2,2,1.000,1,1,2,1,0,1,0,2,2,-5
Doug McDermott,4:58,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-6
Devonte' Graham, 
Sandro Mamukelashvili, 
Team Totals,120,20,46,.435,9,20,.450,11,12,.917,6,12,18,16,7,3,11,14,60,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,8:46,0,1,.000,0,1,.000,1,2,.500,0,0,0,1,0,0,0,1,1,-10
Victor Wembanyama,8:04,1,5,.200,0,1,.000,3,3,1.000,0,2,2,1,2,2,2,0,5,-6
Malaki Branham,5:01,0,2,.000,0,1,.000,0,0,,1,0,1,1,0,0,0,0,0,-4
Zach Collins,3:32,2,2,1.000,1,1,1.000,0,0,,1,1,2,0,0,0,1,1,5,0
Jeremy Sochan, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Vassell,7:10,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-6
Tre Jones,6:59,2,4,.500,0,0,,0,0,,0,2,2,1,0,0,0,0,4,-7
Julian Champagnie,4:50,1,3,.333,1,3,.333,0,0,,0,1,1,1,0,0,0,0,3,-5
Cedi Osman,3:14,0,0,,0,0,,2,2,1.000,0,0,0,1,0,0,0,0,2,-1
Charles Bassey,5:14,2,3,.667,0,0,,0,0,,1,1,2,1,0,0,1,1,4,-10
Doug McDermott,7:10,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-6
Devonte' Graham, 
Sandro Mamukelashvili, 
Team Totals,60,8,23,.348,2,10,.200,6,7,.857,3,7,10,7,2,2,4,4,24,
,Basic Box Score Stats
