,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Booker,37:50,10,25,.400,1,4,.250,7,8,.875,2,3,5,11,0,2,2,3,28,+15
Eric Gordon,33:14,9,13,.692,6,9,.667,1,2,.500,0,2,2,2,0,1,2,3,25,0
Jusuf Nurkić,32:53,4,9,.444,0,2,.000,0,0,,4,6,10,4,0,4,1,2,8,+1
Keita Bates-Diop,27:38,3,11,.273,0,5,.000,3,3,1.000,2,5,7,2,2,1,1,3,9,0
Josh Okogie,16:59,0,5,.000,0,3,.000,3,4,.750,1,3,4,2,1,0,2,3,3,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Goodwin,28:43,6,10,.600,2,3,.667,0,0,,3,4,7,5,1,1,0,2,14,+7
Nassir Little,20:02,4,9,.444,3,6,.500,0,0,,0,2,2,0,0,2,1,1,11,-15
Drew Eubanks,15:06,1,2,.500,0,0,,1,2,.500,4,2,6,1,0,0,2,4,3,+2
Yuta Watanabe,14:52,2,4,.500,2,4,.500,1,2,.500,0,0,0,0,0,0,0,1,7,+5
Chimezie Metu,12:43,3,3,1.000,2,2,1.000,0,0,,2,2,4,0,0,0,0,3,8,+3
Udoka Azubuike,Did Not Play
Bol Bol,Did Not Play
Kevin Durant,Did Not Play
Saben Lee,Did Not Play
Team Totals,240,42,91,.462,16,38,.421,16,21,.762,18,29,47,27,4,11,11,25,116,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Booker,9:05,1,4,.250,0,1,.000,0,1,.000,0,0,0,4,0,0,0,0,2,+8
Eric Gordon,8:34,4,5,.800,3,4,.750,1,2,.500,0,1,1,1,0,1,0,0,12,+11
Jusuf Nurkić,8:34,2,5,.400,0,0,,0,0,,4,3,7,1,0,1,0,0,4,+11
Keita Bates-Diop,8:34,2,4,.500,0,2,.000,0,0,,0,2,2,1,1,0,0,0,4,+11
Josh Okogie,5:46,0,1,.000,0,1,.000,2,2,1.000,0,1,1,1,1,0,0,2,2,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Goodwin,6:14,2,4,.500,0,1,.000,0,0,,1,0,1,1,1,0,0,0,4,+7
Nassir Little,6:21,1,3,.333,1,1,1.000,0,0,,0,2,2,0,0,0,1,0,3,+5
Drew Eubanks,3:26,1,1,1.000,0,0,,1,2,.500,1,0,1,0,0,0,0,0,3,+1
Yuta Watanabe, 
Chimezie Metu,3:26,0,0,,0,0,,0,0,,2,0,2,0,0,0,0,1,0,+1
Udoka Azubuike,Did Not Play
Bol Bol,Did Not Play
Kevin Durant,Did Not Play
Saben Lee,Did Not Play
Team Totals,60,13,27,.481,4,10,.400,4,7,.571,8,9,17,9,3,2,1,3,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Booker,8:32,1,4,.250,0,1,.000,4,4,1.000,1,0,1,3,0,0,0,2,6,0
Eric Gordon,7:55,2,3,.667,1,2,.500,0,0,,0,1,1,1,0,0,0,0,5,-7
