,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Reggie Jackson,40:00,15,19,.789,3,4,.750,2,4,.500,1,4,5,13,2,0,2,3,35,+25
Kentavious Caldwell-Pope,38:05,3,14,.214,0,1,.000,6,6,1.000,2,1,3,2,1,0,0,2,12,+15
Justin Holiday,33:41,5,8,.625,2,4,.500,0,0,,1,5,6,1,1,0,3,2,12,+5
DeAndre Jordan,33:31,8,11,.727,0,0,,5,11,.455,3,10,13,5,2,1,2,3,21,+17
Michael Porter Jr.,28:56,3,13,.231,2,7,.286,0,0,,3,7,10,3,0,0,1,5,8,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Peyton Watson,23:31,4,7,.571,0,0,,0,2,.000,0,3,3,1,2,1,1,0,8,+2
Julian Strawther,18:59,3,8,.375,3,5,.600,0,0,,0,3,3,1,0,1,1,1,9,+9
Christian Braun,11:44,0,4,.000,0,1,.000,0,0,,1,1,2,2,0,0,0,4,0,-19
Zeke Nnaji,11:33,3,8,.375,0,0,,2,5,.400,7,0,7,0,0,3,1,2,8,-13
Jay Huff,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,
Collin Gillespie,Did Not Play
Braxton Key,Did Not Play
Jalen Pickett,Did Not Play
Team Totals,240,44,92,.478,10,22,.455,15,28,.536,18,34,52,28,8,6,11,22,113,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Reggie Jackson,10:04,2,4,.500,0,1,.000,0,0,,0,2,2,4,1,0,1,1,4,+1
Kentavious Caldwell-Pope,10:38,1,2,.500,0,0,,2,2,1.000,0,0,0,2,1,0,0,0,4,+1
Justin Holiday,12:00,2,3,.667,0,1,.000,0,0,,0,1,1,0,1,0,2,0,4,-3
DeAndre Jordan,6:41,3,3,1.000,0,0,,0,2,.000,1,1,2,1,0,1,2,2,6,-2
Michael Porter Jr.,6:41,2,4,.500,1,2,.500,0,0,,1,0,1,0,0,0,0,1,5,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Peyton Watson,5:19,0,0,,0,0,,0,0,,0,1,1,1,0,1,0,0,0,-1
Julian Strawther,1:22,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
Christian Braun,1:56,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-4
Zeke Nnaji,5:19,1,1,1.000,0,0,,0,2,.000,1,0,1,0,0,1,0,1,2,-1
Jay Huff, 
Collin Gillespie,Did Not Play
Braxton Key,Did Not Play
Jalen Pickett,Did Not Play
Team Totals,60,11,19,.579,1,4,.250,2,6,.333,3,6,9,8,3,3,5,5,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Reggie Jackson,9:03,6,6,1.000,1,1,1.000,1,2,.500,1,0,1,2,0,0,1,0,14,+13
Kentavious Caldwell-Pope,8:36,2,5,.400,0,1,.000,0,0,,0,1,1,0,0,0,0,0,4,+10
Justin Holiday,5:48,1,3,.333,1,2,.500,0,0,,1,1,2,0,0,0,0,0,3,+3
DeAndre Jordan,9:03,1,2,.500,0,0,,1,2,.500,1,6,7,2,0,0,0,0,3,+13
Michael Porter Jr.,7:28,0,3,.000,0,1,.000,0,0,,1,2,3,2,0,0,1,1,0,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Peyton Watson,3:24,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
Julian Strawther,8:06,2,4,.500,2,3,.667,0,0,,0,0,0,0,0,0,0,0,6,+3
Christian Braun,5:35,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,3,0,-8
Zeke Nnaji,2:57,1,3,.333,0,0,,1,1,1.000,4,0,4,0,0,1,1,1,3,-8
Jay Huff, 
Collin Gillespie,Did Not Play
Braxton Key,Did Not Play
Jalen Pickett,Did Not Play
Team Totals,60,13,28,.464,4,8,.500,3,5,.600,8,10,18,8,0,1,3,5,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Reggie Jackson,19:07,8,10,.800,1,2,.500,1,2,.500,1,2,3,6,1,0,2,1,18,+14
Kentavious Caldwell-Pope,19:14,3,7,.429,0,1,.000,2,2,1.000,0,1,1,2,1,0,0,0,8,+11
Justin Holiday,17:48,3,6,.500,1,3,.333,0,0,,1,2,3,0,1,0,2,0,7,0
DeAndre Jordan,15:44,4,5,.800,0,0,,1,4,.250,2,7,9,3,0,1,2,2,9,+11
Michael Porter Jr.,14:09,2,7,.286,1,3,.333,0,0,,2,2,4,2,0,0,1,2,5,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Peyton Watson,8:43,0,1,.000,0,0,,0,0,,0,1,1,1,0,1,0,0,0,-6
Julian Strawther,9:28,2,5,.400,2,3,.667,0,0,,0,0,0,0,0,0,0,0,6,-1
Christian Braun,7:31,0,2,.000,0,0,,0,0,,0,1,1,2,0,0,0,3,0,-12
Zeke Nnaji,8:16,2,4,.500,0,0,,1,3,.333,5,0,5,0,0,2,1,2,5,-9
Jay Huff, 
Collin Gillespie,Did Not Play
Braxton Key,Did Not Play
Jalen Pickett,Did Not Play
Team Totals,120,24,47,.511,5,12,.417,5,11,.455,11,16,27,16,3,4,8,10,58,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
