,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brandon Ingram,35:12,11,22,.500,0,2,.000,3,4,.750,0,4,4,5,0,0,2,3,25,+4
Zion Williamson,34:24,9,16,.563,1,1,1.000,7,9,.778,1,3,4,7,1,0,0,2,26,+3
Herbert Jones,31:52,4,7,.571,2,5,.400,0,0,,0,4,4,0,1,0,3,4,10,-10
Jonas Valančiūnas,30:00,5,10,.500,0,1,.000,4,6,.667,5,8,13,2,0,1,0,3,14,+3
Dyson Daniels,23:52,1,6,.167,0,4,.000,0,0,,0,3,3,4,0,0,1,4,2,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Naji Marshall,27:58,6,12,.500,1,3,.333,1,2,.500,2,7,9,3,3,0,1,3,14,+6
Jordan Hawkins,24:54,5,11,.455,3,6,.500,0,0,,1,4,5,0,0,0,0,1,13,-8
Jose Alvarado,13:58,2,3,.667,0,0,,0,0,,0,1,1,2,0,0,0,2,4,+3
Larry Nance Jr.,9:05,1,1,1.000,0,0,,1,2,.500,2,2,4,2,0,0,1,1,3,-5
Cody Zeller,8:45,0,0,,0,0,,1,2,.500,0,1,1,2,0,0,0,2,1,0
Kira Lewis Jr.,Did Not Play
Jeremiah Robinson-Earl,Did Not Play
Team Totals,240,44,88,.500,7,22,.318,17,25,.680,11,37,48,27,5,1,8,25,112,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brandon Ingram,9:02,1,4,.250,0,0,,0,0,,0,1,1,2,0,0,2,0,2,-9
Zion Williamson,8:24,2,3,.667,0,0,,2,2,1.000,0,0,0,2,0,0,0,0,6,0
Herbert Jones,9:10,2,3,.667,1,2,.500,0,0,,0,1,1,0,1,0,0,1,5,-9
Jonas Valančiūnas,8:05,1,4,.250,0,1,.000,1,2,.500,2,3,5,1,0,0,0,0,3,-7
Dyson Daniels,8:05,0,2,.000,0,2,.000,0,0,,0,1,1,1,0,0,1,0,0,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Naji Marshall,6:34,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,2,2,-7
Jordan Hawkins,3:47,2,3,.667,2,3,.667,0,0,,1,1,2,0,0,0,0,0,6,-1
Jose Alvarado,2:58,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Larry Nance Jr., 
Cody Zeller,3:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1
Kira Lewis Jr.,Did Not Play
Jeremiah Robinson-Earl,Did Not Play
Team Totals,60,9,22,.409,3,9,.333,3,4,.750,3,8,11,6,1,0,3,4,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
