,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
OG Anunoby,36:31,4,12,.333,2,6,.333,0,0,,2,1,3,2,0,0,2,3,10,-14
Scottie Barnes,36:19,5,19,.263,3,7,.429,4,5,.800,4,7,11,6,3,0,1,4,17,-22
Pascal Siakam,34:58,6,18,.333,0,4,.000,5,7,.714,2,8,10,2,1,0,2,2,17,-14
Dennis Schröder,32:01,5,15,.333,2,5,.400,2,3,.667,1,4,5,9,1,0,0,3,14,-2
Jakob Poeltl,24:39,3,5,.600,0,0,,0,0,,3,6,9,4,1,2,1,2,6,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gary Trent Jr.,24:46,7,12,.583,1,4,.250,0,0,,0,2,2,1,1,0,0,1,15,-6
Malachi Flynn,15:59,2,5,.400,1,3,.333,0,0,,0,0,0,1,0,0,0,1,5,-10
Jalen McDaniels,13:02,2,4,.500,1,1,1.000,0,0,,1,1,2,1,2,1,0,2,5,+2
Chris Boucher,12:07,5,7,.714,3,4,.750,0,0,,1,0,1,0,1,0,0,0,13,+8
Precious Achiuwa,9:37,0,4,.000,0,2,.000,1,4,.250,1,2,3,1,1,0,1,3,1,-2
Otto Porter Jr.,Did Not Play
Garrett Temple,Did Not Play
Thaddeus Young,Did Not Play
Team Totals,240,39,101,.386,13,36,.361,12,19,.632,15,31,46,27,11,3,7,21,103,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
OG Anunoby,9:12,0,3,.000,0,0,,0,0,,1,0,1,1,0,0,0,0,0,+4
Scottie Barnes,8:25,1,3,.333,1,2,.500,0,0,,1,2,3,0,0,0,0,0,3,-4
Pascal Siakam,12:00,4,10,.400,0,3,.000,0,0,,1,4,5,0,0,0,1,0,8,-1
Dennis Schröder,9:12,1,4,.250,0,1,.000,2,2,1.000,0,0,0,4,0,0,0,0,4,+4
Jakob Poeltl,7:59,1,1,1.000,0,0,,0,0,,1,3,4,1,0,0,0,1,2,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gary Trent Jr.,6:23,2,3,.667,0,1,.000,0,0,,0,2,2,0,1,0,0,0,4,-2
Malachi Flynn,2:48,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-5
Jalen McDaniels, 
Chris Boucher, 
Precious Achiuwa,4:01,0,1,.000,0,1,.000,0,2,.000,1,1,2,0,0,0,0,2,0,-1
Otto Porter Jr.,Did Not Play
Garrett Temple,Did Not Play
Thaddeus Young,Did Not Play
Team Totals,60,9,26,.346,1,9,.111,2,4,.500,5,12,17,6,1,0,1,3,21,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
OG Anunoby,9:01,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,2,0,0,-19
Scottie Barnes,8:31,1,6,.167,1,3,.333,0,0,,0,2,2,2,1,0,1,0,3,-10
Pascal Siakam,5:03,1,3,.333,0,1,.000,1,1,1.000,0,0,0,1,0,0,1,1,3,-10
Dennis Schröder,7:18,1,3,.333,0,1,.000,0,0,,1,1,2,2,0,0,0,0,2,-3
Jakob Poeltl,6:09,2,3,.667,0,0,,0,0,,1,1,2,1,0,1,0,0,4,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gary Trent Jr.,4:38,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+8
Malachi Flynn,4:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
Jalen McDaniels,6:57,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,1,1,0,0,3,+3
Chris Boucher,6:02,3,4,.750,2,2,1.000,0,0,,1,0,1,0,1,0,0,0,8,+9
Precious Achiuwa,1:39,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-1
Otto Porter Jr.,Did Not Play
Garrett Temple,Did Not Play
Thaddeus Young,Did Not Play
Team Totals,60,9,24,.375,4,10,.400,1,1,1.000,4,4,8,7,3,2,4,2,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
OG Anunoby,18:13,0,5,.000,0,1,.000,0,0,,2,0,2,1,0,0,2,0,0,-15
Scottie Barnes,16:56,2,9,.222,2,5,.400,0,0,,1,4,5,2,1,0,1,0,6,-14
Pascal Siakam,17:03,5,13,.385,0,4,.000,1,1,1.000,1,4,5,1,0,0,2,1,11,-11
Dennis Schröder,16:30,2,7,.286,0,2,.000,2,2,1.000,1,1,2,6,0,0,0,0,6,+1
Jakob Poeltl,14:08,3,4,.750,0,0,,0,0,,2,4,6,2,0,1,0,1,6,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gary Trent Jr.,11:01,2,4,.500,0,2,.000,0,0,,0,2,2,0,1,0,0,0,4,+6
Malachi Flynn,7:30,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-9
Jalen McDaniels,6:57,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,1,1,0,0,3,+3
Chris Boucher,6:02,3,4,.750,2,2,1.000,0,0,,1,0,1,0,1,0,0,0,8,+9
Precious Achiuwa,5:40,0,2,.000,0,1,.000,0,2,.000,1,1,2,1,0,0,0,3,0,-2
Otto Porter Jr.,Did Not Play
Garrett Temple,Did Not Play
Thaddeus Young,Did Not Play
Team Totals,120,18,50,.360,5,19,.263,3,5,.600,9,16,25,13,4,2,5,5,44,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
OG Anunoby,8:26,2,2,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,1,5,+9
Scottie Barnes,9:33,1,5,.200,0,0,,2,3,.667,1,2,3,1,1,0,0,1,4,+4
Pascal Siakam,12:00,1,2,.500,0,0,,4,6,.667,0,4,4,1,1,0,0,1,6,+7
Dennis Schröder,8:26,3,5,.600,2,2,1.000,0,1,.000,0,1,1,1,1,0,0,3,8,+8
Jakob Poeltl,8:03,0,1,.000,0,0,,0,0,,1,1,2,1,1,0,1,0,0,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gary Trent Jr.,6:01,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,+1
Malachi Flynn,3:34,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,1,2,-1
Jalen McDaniels, 
Chris Boucher, 
Precious Achiuwa,3:57,0,2,.000,0,1,.000,1,2,.500,0,1,1,0,1,0,1,0,1,0
Otto Porter Jr.,Did Not Play
Garrett Temple,Did Not Play
Thaddeus Young,Did Not Play
Team Totals,60,10,21,.476,4,6,.667,7,12,.583,2,9,11,6,5,0,2,7,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
OG Anunoby,9:52,2,5,.400,1,4,.250,0,0,,0,1,1,0,0,0,0,2,5,-8
Scottie Barnes,9:50,2,5,.400,1,2,.500,2,2,1.000,2,1,3,3,1,0,0,3,7,-12
Pascal Siakam,5:55,0,3,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-10
Dennis Schröder,7:05,0,3,.000,0,1,.000,0,0,,0,2,2,2,0,0,0,0,0,-11
Jakob Poeltl,2:28,0,0,,0,0,,0,0,,0,1,1,1,0,1,0,1,0,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gary Trent Jr.,7:45,3,6,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,1,6,-13
Malachi Flynn,4:55,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,0
Jalen McDaniels,6:05,1,3,.333,0,0,,0,0,,1,1,2,1,1,0,0,2,2,-1
Chris Boucher,6:05,2,3,.667,1,2,.500,0,0,,0,0,0,0,0,0,0,0,5,-1
Precious Achiuwa, 
Otto Porter Jr.,Did Not Play
Garrett Temple,Did Not Play
Thaddeus Young,Did Not Play
Team Totals,60,11,30,.367,4,11,.364,2,2,1.000,4,6,10,8,2,1,0,9,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
OG Anunoby,18:18,4,7,.571,2,5,.400,0,0,,0,1,1,1,0,0,0,3,10,+1
Scottie Barnes,19:23,3,10,.300,1,2,.500,4,5,.800,3,3,6,4,2,0,0,4,11,-8
Pascal Siakam,17:55,1,5,.200,0,0,,4,6,.667,1,4,5,1,1,0,0,1,6,-3
Dennis Schröder,15:31,3,8,.375,2,3,.667,0,1,.000,0,3,3,3,1,0,0,3,8,-3
Jakob Poeltl,10:31,0,1,.000,0,0,,0,0,,1,2,3,2,1,1,1,1,0,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gary Trent Jr.,13:46,5,8,.625,1,2,.500,0,0,,0,0,0,1,0,0,0,1,11,-12
Malachi Flynn,8:29,2,4,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,1,5,-1
Jalen McDaniels,6:05,1,3,.333,0,0,,0,0,,1,1,2,1,1,0,0,2,2,-1
Chris Boucher,6:05,2,3,.667,1,2,.500,0,0,,0,0,0,0,0,0,0,0,5,-1
Precious Achiuwa,3:57,0,2,.000,0,1,.000,1,2,.500,0,1,1,0,1,0,1,0,1,0
Otto Porter Jr.,Did Not Play
Garrett Temple,Did Not Play
Thaddeus Young,Did Not Play
Team Totals,120,21,51,.412,8,17,.471,9,14,.643,6,15,21,14,7,1,2,16,59,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
OG Anunoby,36:31,.417,.417,.500,.000,4.3,3.0,3.8,7.8,0.0,0.0,14.3,15.8,83,126,-10.3
Scottie Barnes,36:19,.401,.342,.368,.263,8.7,21.0,13.8,24.5,4.0,0.0,4.5,25.2,100,111,2.8
Pascal Siakam,34:58,.403,.333,.222,.389,4.5,25.0,13.1,8.9,1.4,0.0,8.7,27.2,85,115,-7.2
Dennis Schröder,32:01,.429,.400,.333,.200,2.5,13.6,7.1,42.8,1.5,0.0,0.0,21.0,113,119,1.2
Jakob Poeltl,24:39,.600,.600,.000,.000,9.6,26.6,16.7,23.5,2.0,7.6,16.7,10.0,129,109,4.1
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Gary Trent Jr.,24:46,.625,.625,.333,.000,0.0,8.8,3.7,7.6,2.0,0.0,0.0,20.0,122,120,2.4
Malachi Flynn,15:59,.500,.500,.600,.000,0.0,0.0,0.0,9.1,0.0,0.0,0.0,12.9,108,127,-6.8
Jalen McDaniels,13:02,.625,.625,.250,.000,6.0,8.4,7.0,11.6,7.4,7.2,0.0,12.7,137,103,11.9
Chris Boucher,12:07,.929,.929,.571,.000,6.5,0.0,3.8,0.0,4.0,0.0,0.0,23.8,169,118,24.6
Precious Achiuwa,9:37,.087,.000,.500,1.000,8.2,22.7,14.3,12.8,5.0,0.0,14.8,29.0,34,107,-23.5
Otto Porter Jr.,Did Not Play
Garrett Temple,Did Not Play
Thaddeus Young,Did Not Play
Team Totals,240,.471,.450,.356,.188,24.6,70.5,43.8,69.2,11.1,5.9,6.0,100.0,103.9,116.0,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,37:54,5,17,.294,3,11,.273,10,10,1.000,1,8,9,8,4,0,1,0,23,+15
Mikal Bridges,37:54,9,17,.529,1,3,.333,3,3,1.000,1,9,10,5,0,0,5,3,22,+15
Nic Claxton,31:34,7,10,.700,0,0,,1,4,.250,2,6,8,0,0,4,0,1,15,+20
Cameron Johnson,26:37,6,11,.545,1,4,.250,5,5,1.000,1,8,9,3,0,0,2,1,18,+8
Dorian Finney-Smith,26:06,2,10,.200,1,4,.250,0,0,,5,4,9,2,1,1,0,4,5,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,30:51,6,12,.500,6,12,.500,0,0,,2,5,7,4,2,2,1,5,18,+15
Lonnie Walker IV,22:33,2,6,.333,1,4,.250,2,3,.667,0,1,1,2,0,1,3,0,7,-2
Day'Ron Sharpe,15:12,2,4,.500,0,0,,1,1,1.000,1,4,5,2,0,0,0,2,5,-13
Trendon Watford,11:18,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,3,1,2,-8
Armoni Brooks,Did Not Play
Harry Giles,Did Not Play
Jalen Wilson,Did Not Play
Team Totals,240,40,89,.449,13,38,.342,22,26,.846,13,46,59,26,7,8,15,17,115,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,12:00,2,5,.400,1,3,.333,0,0,,0,3,3,2,0,0,0,0,5,+1
Mikal Bridges,12:00,4,6,.667,0,1,.000,0,0,,1,2,3,1,0,0,1,1,8,+1
Nic Claxton,6:58,2,3,.667,0,0,,0,2,.000,0,5,5,0,0,1,0,1,4,+1
Cameron Johnson,5:37,0,1,.000,0,0,,0,0,,0,2,2,2,0,0,0,0,0,-1
Dorian Finney-Smith,9:12,0,3,.000,0,0,,0,0,,2,0,2,0,1,0,0,1,0,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,2:48,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,+5
Lonnie Walker IV,6:23,0,3,.000,0,2,.000,0,0,,0,0,0,1,0,1,0,0,0,+2
Day'Ron Sharpe,5:02,2,3,.667,0,0,,1,1,1.000,0,0,0,1,0,0,0,1,5,0
Trendon Watford, 
Armoni Brooks,Did Not Play
Harry Giles,Did Not Play
Jalen Wilson,Did Not Play
Team Totals,60,10,25,.400,1,7,.143,1,3,.333,3,13,16,8,1,2,1,4,22,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,6:09,3,5,.600,2,3,.667,0,0,,0,0,0,2,2,0,1,0,8,+8
Mikal Bridges,6:09,2,4,.500,0,1,.000,0,0,,0,3,3,1,0,0,0,0,4,+8
Nic Claxton,7:59,2,3,.667,0,0,,0,0,,0,1,1,0,0,2,0,0,4,+19
Cameron Johnson,5:51,3,4,.750,0,1,.000,0,0,,0,0,0,1,0,0,0,0,6,-1
Dorian Finney-Smith,5:03,0,0,,0,0,,0,0,,2,2,4,1,0,0,0,0,0,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Royce O'Neale,12:00,1,2,.500,1,2,.500,0,0,,1,1,2,1,2,2,1,2,3,+7
Lonnie Walker IV,5:51,2,3,.667,1,2,.500,0,0,,0,1,1,1,0,0,2,0,5,-1
Day'Ron Sharpe,4:01,0,1,.000,0,0,,0,0,,1,1,2,1,0,0,0,0,0,-12
Trendon Watford,6:57,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-3
Armoni Brooks,Did Not Play
Harry Giles,Did Not Play
Jalen Wilson,Did Not Play
Team Totals,60,13,23,.565,4,9,.444,0,0,,4,10,14,8,4,4,5,2,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,18:09,5,10,.500,3,6,.500,0,0,,0,3,3,4,2,0,1,0,13,+9
Mikal Bridges,18:09,6,10,.600,0,2,.000,0,0,,1,5,6,2,0,0,1,1,12,+9
