,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Giannis Antetokounmpo,39:30,11,16,.688,1,2,.500,10,13,.769,2,8,10,5,3,1,4,3,33,+18
Malik Beasley,37:47,6,11,.545,4,8,.500,0,0,,0,10,10,1,0,2,0,1,16,+16
Damian Lillard,37:26,9,18,.500,4,9,.444,10,10,1.000,2,2,4,9,0,0,1,1,32,+13
Brook Lopez,31:39,5,10,.500,0,4,.000,2,2,1.000,1,3,4,4,0,1,2,4,12,+9
Khris Middleton,23:23,7,13,.538,1,3,.333,2,2,1.000,1,7,8,2,0,0,0,3,17,+20
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bobby Portis,22:45,3,8,.375,0,2,.000,0,0,,0,2,2,0,0,0,0,2,6,-12
Cameron Payne,17:46,1,2,.500,0,1,.000,0,0,,0,1,1,3,0,0,1,2,2,-15
Pat Connaughton,15:08,3,5,.600,1,3,.333,0,0,,0,1,1,1,0,0,0,0,7,-8
MarJon Beauchamp,8:54,0,2,.000,0,0,,0,0,,1,3,4,1,0,0,1,4,0,-1
Andre Jackson Jr.,3:19,2,2,1.000,2,2,1.000,0,0,,1,0,1,0,0,0,0,0,6,-3
A.J. Green,2:22,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-2
Thanasis Antetokounmpo,Did Not Play
Chris Livingston,Did Not Play
Robin Lopez,Did Not Play
Team Totals,240,47,88,.534,13,35,.371,24,27,.889,8,37,45,26,3,4,9,21,131,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Giannis Antetokounmpo,8:33,3,5,.600,0,0,,0,0,,0,3,3,0,1,0,1,0,6,+15
Malik Beasley,7:55,2,3,.667,0,0,,0,0,,0,4,4,0,0,0,0,0,4,+8
Damian Lillard,12:00,2,6,.333,1,2,.500,3,3,1.000,2,0,2,5,0,0,0,1,8,+9
Brook Lopez,8:17,2,5,.400,0,2,.000,0,0,,0,0,0,1,0,0,0,0,4,+4
Khris Middleton,4:56,1,3,.333,0,0,,0,0,,0,3,3,0,0,0,0,0,2,+13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bobby Portis,7:10,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,-1
Cameron Payne, 
Pat Connaughton,7:10,2,4,.500,1,3,.333,0,0,,0,1,1,1,0,0,0,0,5,-1
