,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Williams,34:07,2,10,.200,0,3,.000,6,7,.857,0,3,3,3,0,1,1,4,10,-15
Shai Gilgeous-Alexander,33:59,13,22,.591,0,1,.000,6,6,1.000,1,3,4,4,3,2,3,2,32,+4
Chet Holmgren,33:50,6,20,.300,3,8,.375,1,2,.500,2,6,8,6,1,1,0,2,16,-4
Josh Giddey,28:09,4,8,.500,0,1,.000,2,4,.500,3,3,6,1,0,0,2,1,10,-10
Luguentz Dort,25:05,1,5,.200,1,2,.500,0,0,,0,3,3,1,0,0,1,5,3,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Isaiah Joe,23:48,3,7,.429,1,5,.200,2,2,1.000,0,1,1,3,3,0,0,2,9,+11
Cason Wallace,16:40,3,4,.750,3,3,1.000,1,2,.500,0,0,0,0,1,0,0,0,10,+5
Aaron Wiggins,16:29,3,4,.750,2,2,1.000,0,0,,1,2,3,1,0,0,0,2,8,-7
Kenrich Williams,15:18,1,3,.333,0,2,.000,0,0,,1,1,2,0,0,0,0,4,2,+1
Jaylin Williams,11:05,1,6,.167,1,3,.333,0,0,,1,4,5,3,0,0,1,1,3,+8
Ousmane Dieng,1:30,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2
Dāvis Bertāns,Did Not Play
Tre Mann,Did Not Play
Vasilije Micić,Did Not Play
Olivier Sarr,Did Not Play
Team Totals,240,37,90,.411,11,30,.367,18,23,.783,9,27,36,22,8,4,8,23,103,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Williams,8:43,1,4,.250,0,0,,0,0,,0,1,1,1,0,1,0,1,2,+3
Shai Gilgeous-Alexander,12:00,6,6,1.000,0,0,,0,0,,0,1,1,1,0,1,1,0,12,+10
Chet Holmgren,8:43,1,4,.250,1,4,.250,0,0,,0,2,2,2,0,0,0,1,3,+3
Josh Giddey,7:01,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,1,0,4,+3
Luguentz Dort,10:13,1,2,.500,1,1,1.000,0,0,,0,1,1,1,0,0,0,2,3,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Isaiah Joe,4:59,0,2,.000,0,2,.000,2,2,1.000,0,0,0,0,1,0,0,1,2,+7
Cason Wallace,1:47,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+9
Aaron Wiggins, 
Kenrich Williams,1:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+9
Jaylin Williams,3:17,0,0,,0,0,,0,0,,0,2,2,2,0,0,1,0,0,+7
Ousmane Dieng,1:30,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2
Dāvis Bertāns,Did Not Play
Tre Mann,Did Not Play
Vasilije Micić,Did Not Play
Olivier Sarr,Did Not Play
Team Totals,60,12,22,.545,3,8,.375,2,2,1.000,0,10,10,7,1,2,3,5,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Williams,9:14,1,2,.500,0,1,.000,4,5,.800,0,1,1,2,0,0,1,1,6,-4
Shai Gilgeous-Alexander,4:47,2,4,.500,0,0,,4,4,1.000,0,1,1,0,0,1,1,0,8,0
Chet Holmgren,9:43,2,5,.400,1,1,1.000,1,2,.500,0,3,3,3,1,0,0,0,6,+3
Josh Giddey,7:13,2,3,.667,0,0,,1,2,.500,1,0,1,0,0,0,1,0,5,-2
Luguentz Dort,2:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Isaiah Joe,6:01,1,1,1.000,0,0,,0,0,,0,0,0,1,1,0,0,0,2,-1
Cason Wallace,7:50,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,0,0,3,-2
Aaron Wiggins,4:11,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,+3
Kenrich Williams,6:27,1,2,.500,0,1,.000,0,0,,1,0,1,0,0,0,0,1,2,-5
Jaylin Williams,1:48,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-4
Ousmane Dieng, 
Dāvis Bertāns,Did Not Play
Tre Mann,Did Not Play
Vasilije Micić,Did Not Play
Olivier Sarr,Did Not Play
