,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brandon Miller,36:13,7,18,.389,4,8,.500,0,0,,0,3,3,2,1,0,3,2,18,-24
Terry Rozier,32:30,5,16,.313,0,3,.000,1,1,1.000,0,2,2,5,1,0,3,0,11,-10
Miles Bridges,31:41,5,12,.417,2,3,.667,1,2,.500,0,4,4,2,2,1,2,2,13,-22
Gordon Hayward,27:51,2,7,.286,0,2,.000,0,0,,2,4,6,6,0,0,2,1,4,-3
Mark Williams,25:10,5,9,.556,0,0,,2,2,1.000,6,6,12,0,1,0,0,2,12,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
P.J. Washington,26:54,4,10,.400,3,8,.375,0,2,.000,3,5,8,3,1,1,3,3,11,-13
Ish Smith,14:24,2,3,.667,0,0,,0,0,,0,1,1,1,0,0,3,1,4,-17
Bryce McGowens,13:04,2,5,.400,1,2,.500,0,0,,1,1,2,0,1,0,0,1,5,-12
JT Thor,12:49,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,1,0,-8
Nick Smith Jr.,4:51,3,4,.750,2,2,1.000,0,0,,0,0,0,0,0,0,0,0,8,-1
James Bouknight,4:51,2,3,.667,1,2,.500,0,0,,1,0,1,0,0,0,0,0,5,-1
Leaky Black,4:51,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-1
Théo Maledon,4:51,0,2,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,1,0,-1
Team Totals,240,37,89,.416,13,31,.419,4,7,.571,13,28,41,21,8,2,17,14,91,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brandon Miller,11:00,1,4,.250,1,1,1.000,0,0,,0,1,1,0,1,0,1,1,3,-16
Terry Rozier,7:41,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,1,0,2,-6
Miles Bridges,8:59,2,5,.400,1,1,1.000,0,0,,0,2,2,0,0,0,0,1,5,-6
Gordon Hayward,7:49,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,1,1,2,-12
Mark Williams,7:49,1,2,.500,0,0,,0,0,,0,4,4,0,0,0,0,1,2,-12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
P.J. Washington,7:12,0,2,.000,0,2,.000,0,0,,0,1,1,2,0,0,0,0,0,-8
Ish Smith,5:19,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,2,0,2,-4
Bryce McGowens,4:11,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,-1
JT Thor, 
Nick Smith Jr., 
James Bouknight, 
Leaky Black, 
Théo Maledon, 
Team Totals,60,7,21,.333,2,6,.333,0,0,,0,9,9,5,2,0,5,4,16,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brandon Miller,8:49,3,6,.500,3,5,.600,0,0,,0,0,0,2,0,0,0,0,9,-1
Terry Rozier,9:05,2,5,.400,0,2,.000,0,0,,0,0,0,2,0,0,2,0,4,+5
Miles Bridges,8:59,1,1,1.000,0,0,,1,2,.500,0,1,1,1,2,0,1,0,3,+4
Gordon Hayward,7:11,1,4,.250,0,1,.000,0,0,,2,3,5,1,0,0,1,0,2,+4
Mark Williams,4:30,1,3,.333,0,0,,0,0,,2,0,2,0,0,0,0,1,2,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
P.J. Washington,7:58,1,2,.500,1,2,.500,0,0,,1,2,3,1,0,0,0,1,3,+8
Ish Smith,2:55,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Bryce McGowens,4:49,2,3,.667,1,1,1.000,0,0,,1,1,2,0,0,0,0,1,5,0
JT Thor,5:44,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+1
Nick Smith Jr., 
James Bouknight, 
Leaky Black, 
Théo Maledon, 
Team Totals,60,11,25,.440,5,11,.455,1,2,.500,6,8,14,7,2,0,4,3,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brandon Miller,19:49,4,10,.400,4,6,.667,0,0,,0,1,1,2,1,0,1,1,12,-17
Terry Rozier,16:46,3,8,.375,0,2,.000,0,0,,0,0,0,3,0,0,3,0,6,-1
Miles Bridges,17:58,3,6,.500,1,1,1.000,1,2,.500,0,3,3,1,2,0,1,1,8,-2
Gordon Hayward,15:00,2,6,.333,0,2,.000,0,0,,2,3,5,2,0,0,2,1,4,-8
Mark Williams,12:19,2,5,.400,0,0,,0,0,,2,4,6,0,0,0,0,2,4,-12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
P.J. Washington,15:10,1,4,.250,1,4,.250,0,0,,1,3,4,3,0,0,0,1,3,0
Ish Smith,8:14,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,2,0,2,-5
Bryce McGowens,9:00,2,5,.400,1,2,.500,0,0,,1,1,2,0,1,0,0,1,5,-1
JT Thor,5:44,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+1
Nick Smith Jr., 
James Bouknight, 
Leaky Black, 
Théo Maledon, 
Team Totals,120,18,46,.391,7,17,.412,1,2,.500,6,17,23,12,4,0,9,7,44,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brandon Miller,9:15,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,0,2,+2
Terry Rozier,8:35,0,3,.000,0,1,.000,1,1,1.000,0,2,2,2,1,0,0,0,1,0
Miles Bridges,9:13,2,5,.400,1,2,.500,0,0,,0,0,0,0,0,1,1,1,5,-7
Gordon Hayward,7:56,0,1,.000,0,0,,0,0,,0,1,1,3,0,0,0,0,0,+6
Mark Williams,7:56,2,3,.667,0,0,,0,0,,3,2,5,0,1,0,0,0,4,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
P.J. Washington,6:51,3,6,.500,2,4,.500,0,2,.000,2,1,3,0,1,1,2,2,8,-9
Ish Smith,6:10,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-12
Bryce McGowens,4:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-11
JT Thor, 
Nick Smith Jr., 
James Bouknight, 
Leaky Black, 
Théo Maledon, 
Team Totals,60,9,21,.429,3,7,.429,1,3,.333,5,6,11,5,3,2,5,4,22,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brandon Miller,7:09,2,6,.333,0,2,.000,0,0,,0,2,2,0,0,0,1,1,4,-9
Terry Rozier,7:09,2,5,.400,0,0,,0,0,,0,0,0,0,0,0,0,0,4,-9
Miles Bridges,4:30,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-13
Gordon Hayward,4:55,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-1
Mark Williams,4:55,1,1,1.000,0,0,,2,2,1.000,1,0,1,0,0,0,0,0,4,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
P.J. Washington,4:53,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-4
Ish Smith, 
Bryce McGowens, 
JT Thor,7:05,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-9
Nick Smith Jr.,4:51,3,4,.750,2,2,1.000,0,0,,0,0,0,0,0,0,0,0,8,-1
James Bouknight,4:51,2,3,.667,1,2,.500,0,0,,1,0,1,0,0,0,0,0,5,-1
Leaky Black,4:51,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-1
Théo Maledon,4:51,0,2,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,1,0,-1
Team Totals,60,10,22,.455,3,7,.429,2,2,1.000,2,5,7,4,1,0,3,3,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brandon Miller,16:24,3,8,.375,0,2,.000,0,0,,0,2,2,0,0,0,2,1,6,-7
Terry Rozier,15:44,2,8,.250,0,1,.000,1,1,1.000,0,2,2,2,1,0,0,0,5,-9
Miles Bridges,13:43,2,6,.333,1,2,.500,0,0,,0,1,1,1,0,1,1,1,5,-20
Gordon Hayward,12:51,0,1,.000,0,0,,0,0,,0,1,1,4,0,0,0,0,0,+5
Mark Williams,12:51,3,4,.750,0,0,,2,2,1.000,4,2,6,0,1,0,0,0,8,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
P.J. Washington,11:44,3,6,.500,2,4,.500,0,2,.000,2,2,4,0,1,1,3,2,8,-13
Ish Smith,6:10,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-12
Bryce McGowens,4:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-11
JT Thor,7:05,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-9
Nick Smith Jr.,4:51,3,4,.750,2,2,1.000,0,0,,0,0,0,0,0,0,0,0,8,-1
James Bouknight,4:51,2,3,.667,1,2,.500,0,0,,1,0,1,0,0,0,0,0,5,-1
Leaky Black,4:51,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-1
Théo Maledon,4:51,0,2,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,1,0,-1
Team Totals,120,19,43,.442,6,14,.429,3,5,.600,7,11,18,9,4,2,8,7,47,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Brandon Miller,36:13,.500,.500,.444,.000,0.0,9.2,4.2,9.6,1.4,0.0,14.3,25.5,89,124,-4.4
