,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
D'Angelo Russell,34:19,13,17,.765,5,7,.714,4,5,.800,0,4,4,9,1,2,3,0,35,+31
Anthony Davis,29:07,9,15,.600,0,0,,10,13,.769,4,12,16,4,1,3,0,1,28,+29
LeBron James,28:42,9,19,.474,2,6,.333,5,5,1.000,2,6,8,3,0,0,1,0,25,+26
Taurean Prince,22:43,3,4,.750,3,4,.750,0,0,,0,1,1,1,1,0,1,0,9,+26
Max Christie,22:22,0,3,.000,0,2,.000,5,5,1.000,0,2,2,2,0,1,2,1,5,+13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Christian Wood,25:05,4,9,.444,0,4,.000,4,4,1.000,0,9,9,0,1,2,1,1,12,+2
Austin Reaves,24:20,3,8,.375,0,4,.000,0,0,,1,2,3,4,0,1,2,2,6,+13
Cam Reddish,19:33,0,3,.000,0,2,.000,0,0,,0,3,3,2,0,0,1,2,0,+13
Jalen Hood-Schifino,10:41,3,4,.750,1,2,.500,3,6,.500,0,1,1,1,0,0,1,2,10,-6
Maxwell Lewis,7:22,0,0,,0,0,,0,0,,0,0,0,2,2,0,0,1,0,-3
Jaxson Hayes,6:53,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,-4
D'Moi Hodge,4:53,1,3,.333,1,2,.500,0,0,,0,0,0,0,1,0,0,1,3,-7
Alex Fudge,4:00,0,3,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,1,0,-3
Team Totals,240,45,88,.511,12,34,.353,31,38,.816,8,41,49,28,7,10,12,12,133,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
D'Angelo Russell,9:08,6,6,1.000,1,1,1.000,0,0,,0,3,3,4,0,0,0,0,13,+16
Anthony Davis,9:39,3,6,.500,0,0,,5,6,.833,1,3,4,2,0,1,0,1,11,+17
LeBron James,7:01,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,+9
Taurean Prince,7:01,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+9
Max Christie,9:06,0,1,.000,0,1,.000,5,5,1.000,0,0,0,0,0,0,1,0,5,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Christian Wood,4:59,0,1,.000,0,1,.000,0,0,,0,3,3,0,0,0,0,0,0,+5
Austin Reaves,5:46,2,3,.667,0,1,.000,0,0,,0,0,0,0,0,0,0,0,4,+7
Cam Reddish,4:59,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,1,1,0,+5
Jalen Hood-Schifino, 
Maxwell Lewis, 
Jaxson Hayes,2:21,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,-3
D'Moi Hodge, 
Alex Fudge, 
Team Totals,60,13,21,.619,2,6,.333,10,11,.909,1,12,13,8,0,2,2,2,38,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
D'Angelo Russell,10:24,2,4,.500,1,2,.500,0,0,,0,0,0,4,0,1,1,0,5,+2
Anthony Davis,7:28,3,5,.600,0,0,,2,2,1.000,2,3,5,0,1,2,0,0,8,+4
LeBron James,10:28,4,9,.444,1,3,.333,0,0,,2,1,3,0,0,0,1,0,9,+1
Taurean Prince,7:28,1,2,.500,1,2,.500,0,0,,0,1,1,1,0,0,1,0,3,+4
Max Christie,3:10,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,1,0,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Christian Wood,4:32,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-1
Austin Reaves,5:03,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,1,1,0,0,-1
Cam Reddish,6:55,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,1,0,+5
Jalen Hood-Schifino, 
Maxwell Lewis, 
Jaxson Hayes,4:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
D'Moi Hodge, 
Alex Fudge, 
Team Totals,60,11,25,.440,3,10,.300,2,2,1.000,4,10,14,6,1,5,4,2,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
