,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Maxey,38:12,13,25,.520,3,10,.300,4,4,1.000,0,1,1,3,2,0,4,2,33,-11
De'Anthony Melton,30:14,5,14,.357,4,10,.400,3,4,.750,0,3,3,6,3,1,4,2,17,-17
Tobias Harris,29:16,5,10,.500,0,2,.000,2,2,1.000,0,4,4,2,0,0,5,2,12,-14
Marcus Morris,17:15,3,7,.429,1,3,.333,0,0,,1,2,3,2,1,1,1,4,7,-17
Nicolas Batum,14:07,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,1,1,3,-21
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Robert Covington,29:35,4,5,.800,4,4,1.000,0,0,,2,5,7,1,0,1,0,3,12,+11
Paul Reed,26:35,3,4,.750,0,1,.000,3,3,1.000,2,2,4,5,1,0,3,4,9,+1
Patrick Beverley,21:22,3,4,.750,1,1,1.000,4,4,1.000,0,1,1,7,1,0,0,1,11,+3
KJ Martin,16:57,2,4,.500,0,1,.000,0,0,,0,2,2,2,0,0,2,4,4,+4
Mo Bamba,14:10,3,7,.429,0,1,.000,0,1,.000,3,1,4,0,0,4,1,3,6,+5
Furkan Korkmaz,2:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+6
Joel Embiid,Not With Team
Team Totals,240,42,81,.519,14,34,.412,16,18,.889,8,22,30,28,8,7,21,26,114,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Maxey,10:10,3,8,.375,0,2,.000,1,1,1.000,0,0,0,0,1,0,1,0,7,-15
De'Anthony Melton,9:29,1,4,.250,1,3,.333,0,0,,0,0,0,0,0,0,0,0,3,-14
Tobias Harris,7:39,1,5,.200,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,-14
Marcus Morris,9:03,2,4,.500,1,2,.500,0,0,,0,1,1,2,1,0,0,1,5,-11
Nicolas Batum,7:37,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,1,0,3,-14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Robert Covington,4:23,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-1
Paul Reed,3:16,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-1
Patrick Beverley,4:21,1,1,1.000,0,0,,0,0,,0,0,0,3,0,0,0,0,2,-1
KJ Martin, 
Mo Bamba,4:02,1,3,.333,0,0,,0,0,,2,0,2,0,0,0,1,2,2,-4
Furkan Korkmaz, 
Joel Embiid,Not With Team
Team Totals,60,10,26,.385,3,9,.333,1,1,1.000,2,3,5,6,2,0,3,6,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Maxey,9:57,3,6,.500,0,3,.000,2,2,1.000,0,1,1,0,0,0,2,0,8,-4
De'Anthony Melton,4:06,0,1,.000,0,1,.000,2,2,1.000,0,0,0,3,0,1,1,1,2,-1
Tobias Harris,8:18,0,0,,0,0,,2,2,1.000,0,2,2,0,0,0,4,1,2,-2
Marcus Morris,4:38,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,1,1,0,2,-3
Nicolas Batum,5:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Robert Covington,4:46,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1
Paul Reed,9:44,1,2,.500,0,1,.000,1,1,1.000,0,1,1,1,0,0,1,0,3,-4
Patrick Beverley,7:18,1,1,1.000,1,1,1.000,2,2,1.000,0,0,0,1,0,0,0,1,5,-2
KJ Martin,5:58,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,2,2,2,-4
Mo Bamba, 
Furkan Korkmaz, 
Joel Embiid,Not With Team
Team Totals,60,7,13,.538,1,7,.143,9,9,1.000,0,8,8,5,0,2,11,6,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Maxey,20:07,6,14,.429,0,5,.000,3,3,1.000,0,1,1,0,1,0,3,0,15,-19
De'Anthony Melton,13:35,1,5,.200,1,4,.250,2,2,1.000,0,0,0,3,0,1,1,1,5,-15
Tobias Harris,15:57,1,5,.200,0,1,.000,2,2,1.000,0,2,2,0,0,0,4,2,4,-16
Marcus Morris,13:41,3,6,.500,1,3,.333,0,0,,0,2,2,2,1,1,1,1,7,-14
Nicolas Batum,12:52,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,1,1,3,-18
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
