,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Kuzma,34:32,9,20,.450,1,4,.250,4,5,.800,0,3,3,6,0,0,4,1,23,-11
Deni Avdija,27:39,9,12,.750,1,2,.500,3,4,.750,3,1,4,5,2,0,0,1,22,-9
Daniel Gafford,26:19,2,2,1.000,0,0,,0,0,,1,2,3,4,1,2,0,3,4,-6
Jordan Poole,26:08,5,12,.417,4,7,.571,5,6,.833,0,5,5,2,2,1,2,3,19,-6
Tyus Jones,20:49,3,10,.300,0,2,.000,1,2,.500,0,3,3,4,2,0,0,1,7,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bilal Coulibaly,25:07,2,5,.400,1,1,1.000,2,2,1.000,1,4,5,0,0,0,2,1,7,-17
Corey Kispert,20:24,4,7,.571,2,5,.400,3,5,.600,0,1,1,2,2,0,1,1,13,-18
Landry Shamet,18:25,2,6,.333,1,3,.333,0,0,,0,1,1,1,1,0,1,4,5,-8
Danilo Gallinari,11:37,1,4,.250,0,1,.000,4,5,.800,0,1,1,0,0,0,0,1,6,-12
Eugene Omoruyi,9:40,3,5,.600,1,2,.500,3,4,.750,1,0,1,1,1,0,0,3,10,-2
Johnny Davis,9:38,0,1,.000,0,0,,0,0,,1,0,1,0,1,0,0,1,0,-2
Jared Butler,5:07,1,2,.500,0,1,.000,2,2,1.000,0,0,0,3,2,0,0,0,4,+1
Anthony Gill,4:35,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,+3
Patrick Baldwin Jr.,Did Not Play
Mike Muscala,Did Not Play
Team Totals,240,41,87,.471,11,29,.379,27,35,.771,7,22,29,28,14,3,10,20,120,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Kuzma,12:00,4,9,.444,0,2,.000,2,2,1.000,0,0,0,2,0,0,1,0,10,-5
Deni Avdija,5:02,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0,+2
Daniel Gafford,7:43,1,1,1.000,0,0,,0,0,,0,1,1,0,1,1,0,1,2,+1
Jordan Poole,8:48,1,5,.200,1,3,.333,1,2,.500,0,3,3,1,1,0,0,0,4,-6
Tyus Jones,7:43,1,4,.250,0,0,,0,0,,0,1,1,2,1,0,0,0,2,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bilal Coulibaly,6:58,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,1,0,0,-7
Corey Kispert,4:17,2,2,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,5,-6
Landry Shamet,3:12,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,+1
Danilo Gallinari,4:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
Eugene Omoruyi, 
Johnny Davis, 
Jared Butler, 
Anthony Gill, 
Patrick Baldwin Jr.,Did Not Play
Mike Muscala,Did Not Play
Team Totals,60,10,23,.435,3,7,.429,3,4,.750,1,6,7,8,4,1,2,1,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Kuzma,7:29,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,2,0,2,-2
Deni Avdija,12:00,6,7,.857,1,1,1.000,2,3,.667,1,1,2,3,1,0,0,1,15,-5
Daniel Gafford,6:36,0,0,,0,0,,0,0,,1,0,1,3,0,0,0,1,0,-4
Jordan Poole,7:29,2,4,.500,1,2,.500,0,0,,0,1,1,1,0,0,0,2,5,-2
Tyus Jones,5:49,0,1,.000,0,1,.000,1,2,.500,0,1,1,1,0,0,0,0,1,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bilal Coulibaly, 
Corey Kispert,4:31,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,1,0,3,-3
Landry Shamet,6:11,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,2,2,+3
Danilo Gallinari,5:24,0,3,.000,0,1,.000,2,3,.667,0,1,1,0,0,0,0,1,2,-1
Eugene Omoruyi, 
Johnny Davis,4:31,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-3
Jared Butler, 
Anthony Gill, 
Patrick Baldwin Jr.,Did Not Play
Mike Muscala,Did Not Play
Team Totals,60,11,21,.524,3,8,.375,5,8,.625,3,6,9,9,1,0,3,8,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Kuzma,19:29,5,12,.417,0,3,.000,2,2,1.000,0,1,1,2,0,0,3,0,12,-7
Deni Avdija,17:02,6,7,.857,1,1,1.000,2,3,.667,1,1,2,4,2,0,0,1,15,-3
Daniel Gafford,14:19,1,1,1.000,0,0,,0,0,,1,1,2,3,1,1,0,2,2,-3
Jordan Poole,16:17,3,9,.333,2,5,.400,1,2,.500,0,4,4,2,1,0,0,2,9,-8
Tyus Jones,13:32,1,5,.200,0,1,.000,1,2,.500,0,2,2,3,1,0,0,0,3,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bilal Coulibaly,6:58,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,1,0,0,-7
Corey Kispert,8:48,3,4,.750,2,3,.667,0,0,,0,0,0,2,0,0,1,0,8,-9
Landry Shamet,9:23,2,2,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,2,5,+4
Danilo Gallinari,9:41,0,3,.000,0,1,.000,2,3,.667,0,1,1,0,0,0,0,1,2,-7
Eugene Omoruyi, 
Johnny Davis,4:31,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-3
Jared Butler, 
Anthony Gill, 
Patrick Baldwin Jr.,Did Not Play
Mike Muscala,Did Not Play
Team Totals,120,21,44,.477,6,15,.400,8,12,.667,4,12,16,17,5,1,5,9,56,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Kuzma,9:34,3,6,.500,1,1,1.000,1,1,1.000,0,2,2,2,0,0,1,1,8,0
Deni Avdija,8:17,2,4,.500,0,1,.000,1,1,1.000,2,0,2,1,0,0,0,0,5,-2
Daniel Gafford,12:00,1,1,1.000,0,0,,0,0,,0,1,1,1,0,1,0,1,2,-3
Jordan Poole,9:51,2,3,.667,2,2,1.000,4,4,1.000,0,1,1,0,1,1,2,1,10,+2
Tyus Jones,7:17,2,5,.400,0,1,.000,0,0,,0,1,1,1,1,0,0,1,4,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bilal Coulibaly,6:09,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,-4
Corey Kispert,4:43,0,2,.000,0,2,.000,1,2,.500,0,1,1,0,1,0,0,1,1,-2
Landry Shamet,2:09,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-5
Danilo Gallinari, 
Eugene Omoruyi, 
Johnny Davis, 
Jared Butler, 
Anthony Gill, 
Patrick Baldwin Jr.,Did Not Play
Mike Muscala,Did Not Play
Team Totals,60,11,24,.458,4,9,.444,7,8,.875,2,7,9,5,3,2,3,5,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Kuzma,5:29,1,2,.500,0,0,,1,2,.500,0,0,0,2,0,0,0,0,3,-4
Deni Avdija,2:20,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-4
Daniel Gafford, 
Jordan Poole, 
Tyus Jones, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bilal Coulibaly,12:00,1,2,.500,0,0,,2,2,1.000,0,2,2,0,0,0,1,1,4,-6
Corey Kispert,6:53,1,1,1.000,0,0,,2,3,.667,0,0,0,0,1,0,0,0,4,-7
Landry Shamet,6:53,0,3,.000,0,1,.000,0,0,,0,0,0,0,1,0,1,2,0,-7
Danilo Gallinari,1:56,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,4,-5
Eugene Omoruyi,9:40,3,5,.600,1,2,.500,3,4,.750,1,0,1,1,1,0,0,3,10,-2
