,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shaedon Sharpe,39:24,11,15,.733,4,7,.571,3,3,1.000,0,10,10,5,1,0,5,3,29,+10
Malcolm Brogdon,30:46,3,7,.429,1,3,.333,4,4,1.000,2,1,3,7,2,1,5,0,11,-9
Deandre Ayton,29:41,5,9,.556,0,0,,0,0,,2,4,6,3,0,0,3,2,10,-6
Jerami Grant,28:12,4,12,.333,3,6,.500,2,2,1.000,0,2,2,3,2,1,3,4,13,+6
Toumani Camara,24:18,4,6,.667,1,3,.333,0,0,,1,1,2,1,2,1,1,0,9,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jabari Walker,23:56,3,7,.429,0,2,.000,0,0,,2,10,12,1,1,0,1,3,6,+5
Matisse Thybulle,23:42,4,8,.500,2,5,.400,0,0,,1,1,2,0,1,0,0,1,10,+10
Scoot Henderson,21:42,1,8,.125,0,5,.000,0,0,,0,1,1,7,0,0,3,2,2,+12
Duop Reath,18:19,4,5,.800,3,4,.750,2,2,1.000,1,1,2,2,1,1,1,2,13,+14
Moses Brown,Did Not Play
Skylar Mays,Did Not Play
Kris Murray,Did Not Play
Team Totals,240,39,77,.506,14,35,.400,11,11,1.000,9,31,40,29,10,4,22,17,103,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shaedon Sharpe,6:21,0,1,.000,0,0,,0,0,,0,2,2,2,1,0,0,0,0,-5
Malcolm Brogdon,9:12,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,1,0,2,-10
Deandre Ayton,9:12,4,5,.800,0,0,,0,0,,0,0,0,0,0,0,1,0,8,-10
Jerami Grant,9:09,0,5,.000,0,1,.000,0,0,,0,2,2,2,1,1,1,1,0,+2
Toumani Camara,9:12,2,3,.667,1,2,.500,0,0,,1,0,1,1,0,0,0,0,5,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jabari Walker,5:39,0,2,.000,0,2,.000,0,0,,0,3,3,0,0,0,0,0,0,+2
Matisse Thybulle,2:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+7
Scoot Henderson,5:39,1,3,.333,0,2,.000,0,0,,0,1,1,1,0,0,2,0,2,+2
Duop Reath,2:48,2,2,1.000,1,1,1.000,0,0,,1,0,1,1,0,0,0,0,5,+7
Moses Brown,Did Not Play
Skylar Mays,Did Not Play
Kris Murray,Did Not Play
Team Totals,60,10,23,.435,2,8,.250,0,0,,2,9,11,8,2,1,5,1,22,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shaedon Sharpe,10:40,4,6,.667,1,3,.333,0,0,,0,3,3,1,0,0,3,1,9,+1
Malcolm Brogdon,9:06,0,2,.000,0,1,.000,2,2,1.000,2,0,2,3,2,0,3,0,2,+3
Deandre Ayton,8:01,0,2,.000,0,0,,0,0,,0,3,3,1,0,0,0,0,0,+6
Jerami Grant,7:42,1,2,.500,1,2,.500,0,0,,0,0,0,1,1,0,2,1,3,+6
Toumani Camara,6:22,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,0,0,2,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jabari Walker,5:38,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,-13
Matisse Thybulle,5:38,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-13
Scoot Henderson,2:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-6
Duop Reath,3:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-9
Moses Brown,Did Not Play
Skylar Mays,Did Not Play
Kris Murray,Did Not Play
Team Totals,60,7,15,.467,2,7,.286,2,2,1.000,3,8,11,6,4,0,10,4,18,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shaedon Sharpe,17:01,4,7,.571,1,3,.333,0,0,,0,5,5,3,1,0,3,1,9,-4
Malcolm Brogdon,18:18,1,4,.250,0,1,.000,2,2,1.000,2,1,3,4,2,0,4,0,4,-7
Deandre Ayton,17:13,4,7,.571,0,0,,0,0,,0,3,3,1,0,0,1,0,8,-4
Jerami Grant,16:51,1,7,.143,1,3,.333,0,0,,0,2,2,3,2,1,3,2,3,+8
Toumani Camara,15:34,3,4,.750,1,2,.500,0,0,,1,1,2,1,1,0,0,0,7,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jabari Walker,11:17,1,3,.333,0,2,.000,0,0,,1,4,5,0,0,0,0,0,2,-11
Matisse Thybulle,8:26,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-6
Scoot Henderson,8:33,1,3,.333,0,2,.000,0,0,,0,1,1,1,0,0,3,2,2,-4
Duop Reath,6:47,2,2,1.000,1,1,1.000,0,0,,1,0,1,1,0,0,1,0,5,-2
Moses Brown,Did Not Play
Skylar Mays,Did Not Play
Kris Murray,Did Not Play
Team Totals,120,17,38,.447,4,15,.267,2,2,1.000,5,17,22,14,6,1,15,5,40,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shaedon Sharpe,10:23,4,5,.800,2,3,.667,0,0,,0,3,3,1,0,0,1,1,10,+5
Malcolm Brogdon,8:44,2,3,.667,1,2,.500,0,0,,0,0,0,3,0,1,1,0,5,-2
Deandre Ayton,8:44,0,1,.000,0,0,,0,0,,1,1,2,2,0,0,1,1,0,-2
Jerami Grant,7:37,3,5,.600,2,3,.667,2,2,1.000,0,0,0,0,0,0,0,1,10,-2
Toumani Camara,8:44,1,2,.500,0,1,.000,0,0,,0,0,0,0,1,1,1,0,2,-2
