,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul George,37:20,6,18,.333,3,10,.300,0,0,,0,1,1,10,0,0,1,5,15,-6
James Harden,37:14,6,13,.462,5,10,.500,1,2,.500,0,3,3,7,1,0,1,3,18,-1
Kawhi Leonard,35:19,9,17,.529,2,2,1.000,3,4,.750,1,6,7,0,2,0,0,2,23,+2
Terance Mann,33:58,4,10,.400,1,4,.250,0,0,,3,2,5,1,1,0,2,1,9,+13
Ivica Zubac,26:41,7,11,.636,0,0,,4,5,.800,4,9,13,0,0,1,0,1,18,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Russell Westbrook,26:00,5,13,.385,0,3,.000,4,6,.667,6,5,11,6,0,0,0,1,14,-10
Norman Powell,17:42,1,2,.500,0,0,,3,3,1.000,0,0,0,0,1,0,2,1,5,-13
Daniel Theis,14:45,4,9,.444,1,1,1.000,1,2,.500,1,1,2,2,0,0,0,2,10,-20
Kobe Brown,6:06,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,2,0,-6
Bones Hyland,3:49,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,0
Moussa Diabaté,0:33,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,+2
Amir Coffey,0:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,+2
Xavier Moon,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,240,42,95,.442,12,32,.375,18,24,.750,15,28,43,26,5,1,6,21,114,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul George,7:44,1,6,.167,0,3,.000,0,0,,0,0,0,2,0,0,0,1,2,+3
James Harden,12:00,2,5,.400,2,4,.500,1,1,1.000,0,1,1,3,1,0,0,0,7,-7
Kawhi Leonard,10:40,3,5,.600,0,0,,0,0,,0,4,4,0,1,0,0,0,6,-6
Terance Mann,7:37,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,+1
Ivica Zubac,8:21,3,3,1.000,0,0,,0,0,,0,2,2,0,0,1,0,0,6,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Russell Westbrook,4:23,1,2,.500,0,1,.000,1,2,.500,1,1,2,0,0,0,0,0,3,-8
Norman Powell,4:23,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-8
Daniel Theis,3:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-9
Kobe Brown,1:20,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-1
Bones Hyland, 
Moussa Diabaté, 
Amir Coffey, 
Xavier Moon,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,60,10,23,.435,2,9,.222,2,3,.667,1,9,10,6,2,1,1,2,24,
,Basic Box Score Stats
