,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ochai Agbaji,36:10,5,10,.500,3,6,.500,0,0,,3,3,6,3,4,0,1,1,13,-3
Simone Fontecchio,33:40,6,12,.500,2,7,.286,2,2,1.000,3,2,5,5,1,0,2,3,16,-11
Keyonte George,32:46,4,19,.211,1,6,.167,3,3,1.000,1,3,4,4,0,0,2,2,12,-11
John Collins,28:21,3,12,.250,1,4,.250,2,2,1.000,3,9,12,0,0,0,4,4,9,-17
Omer Yurtseven,14:29,1,4,.250,0,1,.000,0,0,,1,6,7,0,0,1,2,3,2,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Walker Kessler,26:32,3,6,.500,0,2,.000,1,2,.500,0,5,5,2,1,3,1,1,7,-7
Collin Sexton,23:16,4,8,.500,1,2,.500,5,5,1.000,0,3,3,4,0,0,3,1,14,-3
Talen Horton-Tucker,18:53,3,7,.429,1,3,.333,0,0,,0,1,1,1,0,0,0,1,7,+1
Kelly Olynyk,14:10,3,5,.600,2,2,1.000,0,0,,1,3,4,3,0,0,2,3,8,+2
Luka Šamanić,11:43,1,4,.250,0,1,.000,0,0,,1,3,4,0,0,0,2,0,2,-2
Johnny Juzang,Did Not Play
Micah Potter,Did Not Play
Team Totals,240,33,87,.379,11,34,.324,13,14,.929,13,38,51,22,6,4,19,19,90,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ochai Agbaji,8:26,2,2,1.000,1,1,1.000,0,0,,0,2,2,1,1,0,0,0,5,+7
Simone Fontecchio,9:24,3,5,.600,1,3,.333,0,0,,1,0,1,2,0,0,2,1,7,+5
Keyonte George,8:26,2,4,.500,0,0,,1,1,1.000,0,3,3,2,0,0,1,0,5,+7
John Collins,9:24,0,3,.000,0,1,.000,0,0,,1,3,4,0,0,0,1,1,0,+5
Omer Yurtseven,5:26,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,0,1,1,2,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Walker Kessler,6:34,0,0,,0,0,,0,0,,0,2,2,1,0,1,0,0,0,+1
Collin Sexton,3:34,0,0,,0,0,,4,4,1.000,0,0,0,0,0,0,0,0,4,-4
Talen Horton-Tucker,3:34,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-4
Kelly Olynyk,2:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Luka Šamanić,2:36,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-2
Johnny Juzang,Did Not Play
Micah Potter,Did Not Play
Team Totals,60,8,19,.421,2,7,.286,5,5,1.000,3,12,15,6,1,1,6,3,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ochai Agbaji,6:34,1,3,.333,0,2,.000,0,0,,1,0,1,0,0,0,0,0,2,-8
Simone Fontecchio,6:45,1,2,.500,1,2,.500,2,2,1.000,0,1,1,0,0,0,0,1,5,-8
Keyonte George,7:30,1,6,.167,1,3,.333,0,0,,0,0,0,0,0,0,0,0,3,-11
John Collins,7:18,1,3,.333,0,1,.000,0,0,,1,3,4,0,0,0,0,1,2,-8
Omer Yurtseven, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Walker Kessler,8:25,2,4,.500,0,2,.000,0,0,,0,1,1,1,0,2,1,1,4,-5
Collin Sexton,5:26,1,2,.500,0,0,,1,1,1.000,0,1,1,3,0,0,0,0,3,+3
Talen Horton-Tucker,4:30,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+6
Kelly Olynyk,7:47,1,2,.500,1,1,1.000,0,0,,1,2,3,3,0,0,1,2,3,+6
Luka Šamanić,5:43,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,1,0,2,0
Johnny Juzang,Did Not Play
Micah Potter,Did Not Play
Team Totals,60,9,25,.360,3,11,.273,3,3,1.000,3,11,14,7,0,2,3,6,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ochai Agbaji,15:00,3,5,.600,1,3,.333,0,0,,1,2,3,1,1,0,0,0,7,-1
Simone Fontecchio,16:09,4,7,.571,2,5,.400,2,2,1.000,1,1,2,2,0,0,2,2,12,-3
Keyonte George,15:56,3,10,.300,1,3,.333,1,1,1.000,0,3,3,2,0,0,1,0,8,-4
John Collins,16:42,1,6,.167,0,2,.000,0,0,,2,6,8,0,0,0,1,2,2,-3
Omer Yurtseven,5:26,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,0,1,1,2,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Walker Kessler,14:59,2,4,.500,0,2,.000,0,0,,0,3,3,2,0,3,1,1,4,-4
Collin Sexton,9:00,1,2,.500,0,0,,5,5,1.000,0,1,1,3,0,0,0,0,7,-1
Talen Horton-Tucker,8:04,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,+2
Kelly Olynyk,10:23,1,2,.500,1,1,1.000,0,0,,1,2,3,3,0,0,1,2,3,+4
Luka Šamanić,8:19,1,3,.333,0,0,,0,0,,1,2,3,0,0,0,2,0,2,-2
Johnny Juzang,Did Not Play
Micah Potter,Did Not Play
Team Totals,120,17,44,.386,5,18,.278,8,8,1.000,6,23,29,13,1,3,9,9,47,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ochai Agbaji,9:10,1,1,1.000,1,1,1.000,0,0,,1,0,1,1,1,0,1,1,3,-9
Simone Fontecchio,8:55,1,3,.333,0,1,.000,0,0,,2,0,2,2,0,0,0,0,2,-15
Keyonte George,8:14,1,4,.250,0,0,,0,0,,0,0,0,0,0,0,0,2,2,-14
John Collins,8:14,1,5,.200,0,1,.000,2,2,1.000,1,0,1,0,0,0,3,2,4,-14
Omer Yurtseven,5:24,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Walker Kessler,6:36,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,0,0,1,-9
Collin Sexton,5:55,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,0,1,2,-8
Talen Horton-Tucker,3:46,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-2
Kelly Olynyk,3:46,2,3,.667,1,1,1.000,0,0,,0,1,1,0,0,0,1,1,5,-2
Luka Šamanić, 
Johnny Juzang,Did Not Play
Micah Potter,Did Not Play
Team Totals,60,7,20,.350,2,6,.333,3,4,.750,4,4,8,4,1,1,5,7,19,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ochai Agbaji,12:00,1,4,.250,1,2,.500,0,0,,1,1,2,1,2,0,0,0,3,+7
Simone Fontecchio,8:36,1,2,.500,0,1,.000,0,0,,0,1,1,1,1,0,0,1,2,+7
Keyonte George,8:36,0,5,.000,0,3,.000,2,2,1.000,1,0,1,2,0,0,1,0,2,+7
John Collins,3:24,1,1,1.000,1,1,1.000,0,0,,0,3,3,0,0,0,0,0,3,0
Omer Yurtseven,3:39,0,2,.000,0,0,,0,0,,1,3,4,0,0,0,1,2,0,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Walker Kessler,4:57,1,2,.500,0,0,,0,0,,0,1,1,0,1,0,0,0,2,+6
Collin Sexton,8:21,2,3,.667,1,1,1.000,0,0,,0,1,1,1,0,0,3,0,5,+6
Talen Horton-Tucker,7:03,3,3,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,7,+1
Kelly Olynyk, 
Luka Šamanić,3:24,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,0
Johnny Juzang,Did Not Play
Micah Potter,Did Not Play
Team Totals,60,9,23,.391,4,10,.400,2,2,1.000,3,11,14,5,4,0,5,3,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ochai Agbaji,21:10,2,5,.400,2,3,.667,0,0,,2,1,3,2,3,0,1,1,6,-2
Simone Fontecchio,17:31,2,5,.400,0,2,.000,0,0,,2,1,3,3,1,0,0,1,4,-8
Keyonte George,16:50,1,9,.111,0,3,.000,2,2,1.000,1,0,1,2,0,0,1,2,4,-7
