,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paolo Banchero,33:56,6,15,.400,0,2,.000,7,9,.778,1,9,10,8,1,0,1,3,19,-16
Franz Wagner,33:41,6,16,.375,2,3,.667,6,6,1.000,1,6,7,5,0,1,1,5,20,-17
Jalen Suggs,22:27,3,7,.429,1,3,.333,0,0,,0,0,0,2,1,1,4,5,7,-14
Anthony Black,19:26,1,1,1.000,0,0,,0,0,,0,3,3,1,0,0,0,3,2,-5
Goga Bitadze,15:26,1,6,.167,0,0,,1,2,.500,3,2,5,0,0,1,0,2,3,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cole Anthony,31:25,8,16,.500,2,6,.333,2,2,1.000,0,5,5,1,0,1,1,3,20,-32
Moritz Wagner,21:34,6,9,.667,2,2,1.000,4,5,.800,1,1,2,2,0,1,2,2,18,-12
Gary Harris,20:45,2,8,.250,0,5,.000,0,0,,0,1,1,2,0,0,0,1,4,-7
Joe Ingles,16:29,1,2,.500,1,1,1.000,2,3,.667,1,1,2,2,1,0,1,2,5,-10
Caleb Houstan,16:07,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,1,3,-13
Chuma Okeke,4:22,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,0,0,-5
Admiral Schofield,4:22,0,2,.000,0,2,.000,0,0,,0,1,1,1,0,0,0,0,0,-5
Jonathan Isaac,Did Not Play
Team Totals,240,35,87,.402,9,29,.310,22,27,.815,7,29,36,24,3,5,11,27,101,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
