,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Strus,37:42,9,16,.563,4,10,.400,0,0,,0,5,5,5,1,0,1,4,22,+10
Evan Mobley,36:09,2,5,.400,0,0,,2,3,.667,1,10,11,1,0,0,2,3,6,+1
Darius Garland,34:16,9,23,.391,2,7,.286,2,3,.667,0,2,2,5,3,1,2,1,22,+13
Jarrett Allen,34:14,8,9,.889,0,0,,3,5,.600,5,6,11,3,1,0,2,2,19,+4
Donovan Mitchell,32:54,7,19,.368,2,5,.400,4,5,.800,1,2,3,4,2,0,4,2,20,-13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Isaac Okoro,33:01,4,7,.571,1,3,.333,0,0,,0,6,6,4,4,0,0,3,9,+15
Georges Niang,22:29,5,8,.625,1,4,.250,1,2,.500,0,3,3,2,0,0,0,1,12,+15
Craig Porter Jr.,4:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,0
Sam Merrill,2:31,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,0
Tristan Thompson,2:31,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,0
Damian Jones,Did Not Play
Caris LeVert,Did Not Play
Isaiah Mobley,Did Not Play
Team Totals,240,44,89,.494,10,30,.333,12,18,.667,8,35,43,25,11,1,11,18,110,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Strus,9:42,0,2,.000,0,2,.000,0,0,,0,1,1,3,1,0,0,0,0,-6
Evan Mobley,8:30,1,2,.500,0,0,,2,3,.667,0,2,2,0,0,0,2,0,4,-2
Darius Garland,7:39,0,3,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,-2
Jarrett Allen,10:02,5,6,.833,0,0,,0,0,,1,3,4,0,0,0,0,0,10,-6
Donovan Mitchell,9:42,2,7,.286,1,2,.500,2,2,1.000,1,0,1,1,2,0,0,0,7,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Isaac Okoro,6:39,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,2,0,-2
Georges Niang,5:28,2,4,.500,0,2,.000,0,0,,0,0,0,1,0,0,0,0,4,-2
Craig Porter Jr.,2:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+1
Sam Merrill, 
Tristan Thompson, 
Damian Jones,Did Not Play
Caris LeVert,Did Not Play
Isaiah Mobley,Did Not Play
Team Totals,60,10,24,.417,1,8,.125,4,5,.800,2,6,8,6,4,0,2,3,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Max Strus,10:05,3,6,.500,2,4,.500,0,0,,0,0,0,1,0,0,0,0,8,+12
Evan Mobley,11:23,1,2,.500,0,0,,0,0,,0,4,4,1,0,0,0,1,2,+13
Darius Garland,8:11,4,8,.500,2,3,.667,0,0,,0,1,1,0,0,0,0,0,10,+5
Jarrett Allen,5:33,1,1,1.000,0,0,,2,2,1.000,0,1,1,1,0,0,1,1,4,+5
Donovan Mitchell,6:58,1,2,.500,0,0,,0,0,,0,1,1,2,0,0,0,0,2,+3
