,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Stephen Curry,36:36,7,18,.389,4,9,.444,4,4,1.000,1,3,4,11,0,0,2,0,22,+2
Klay Thompson,33:26,5,13,.385,4,11,.364,3,4,.750,1,5,6,2,1,0,2,3,17,0
Draymond Green,32:19,8,15,.533,4,8,.500,1,2,.500,1,8,9,4,0,1,3,2,21,-6
Moses Moody,31:57,5,13,.385,2,5,.400,9,10,.900,3,2,5,2,2,0,0,3,21,-1
Dario Šarić,19:48,3,7,.429,0,2,.000,0,0,,0,2,2,3,1,0,3,2,6,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brandin Podziemski,36:31,5,9,.556,2,3,.667,0,0,,0,6,6,3,1,2,1,2,12,+1
Kevon Looney,18:09,3,3,1.000,0,0,,1,2,.500,0,8,8,3,0,1,1,1,7,+3
Jonathan Kuminga,15:41,2,6,.333,1,3,.333,1,2,.500,0,2,2,0,0,0,1,0,6,+5
Cory Joseph,15:33,0,2,.000,0,2,.000,0,0,,0,0,0,3,0,0,0,2,0,+1
Trayce Jackson-Davis,Did Not Play
Jerome Robinson,Did Not Play
Team Totals,240,38,86,.442,17,43,.395,19,24,.792,6,36,42,31,5,4,13,15,112,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Stephen Curry,9:51,2,3,.667,2,3,.667,0,0,,0,2,2,5,0,0,0,0,6,+13
Klay Thompson,7:35,1,2,.500,1,2,.500,2,2,1.000,0,1,1,0,0,0,1,2,5,+5
Draymond Green,7:48,4,6,.667,4,5,.800,0,0,,0,3,3,2,0,1,1,0,12,+9
Moses Moody,7:48,1,3,.333,0,0,,0,0,,2,1,3,1,1,0,0,0,2,+9
Dario Šarić,6:44,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,1,0,2,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brandin Podziemski,6:34,1,2,.500,0,0,,0,0,,0,1,1,1,0,1,0,0,2,+4
Kevon Looney,5:16,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,0,0,4,+6
Jonathan Kuminga,4:12,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,1,0,0,+2
Cory Joseph,4:12,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+2
Trayce Jackson-Davis,Did Not Play
Jerome Robinson,Did Not Play
Team Totals,60,12,22,.545,7,12,.583,2,2,1.000,2,13,15,9,1,2,4,2,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Stephen Curry,8:07,4,5,.800,2,3,.667,2,2,1.000,0,0,0,2,0,0,1,0,12,+8
Klay Thompson,8:19,1,4,.250,1,3,.333,0,0,,0,1,1,1,0,0,0,0,3,+6
Draymond Green,6:46,0,1,.000,0,0,,0,0,,0,3,3,1,0,0,1,0,0,+6
Moses Moody,8:07,1,3,.333,0,1,.000,4,4,1.000,0,0,0,1,0,0,0,0,6,+8
Dario Šarić,3:41,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,0,2,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Brandin Podziemski,10:25,2,2,1.000,1,1,1.000,0,0,,0,3,3,2,0,0,0,0,5,+12
Kevon Looney,5:28,1,1,1.000,0,0,,0,0,,0,1,1,2,0,1,0,0,2,-4
Jonathan Kuminga,5:14,1,3,.333,1,2,.500,1,2,.500,0,0,0,0,0,0,0,0,4,+2
