,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bruce Brown,36:45,11,16,.688,4,6,.667,4,5,.800,0,4,4,2,0,0,1,0,30,+20
Obi Toppin,34:47,7,8,.875,4,5,.800,4,4,1.000,0,2,2,2,1,4,0,5,22,+18
Myles Turner,30:19,8,12,.667,1,4,.250,0,0,,2,8,10,1,0,2,2,4,17,+10
Buddy Hield,24:20,3,7,.429,1,4,.250,0,0,,0,1,1,2,2,0,1,3,7,+20
Andrew Nembhard,23:21,1,9,.111,0,4,.000,2,2,1.000,0,1,1,11,1,0,0,1,4,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Nesmith,28:44,7,9,.778,4,6,.667,2,4,.500,0,4,4,1,0,1,0,4,20,+9
Bennedict Mathurin,25:10,6,10,.600,2,3,.667,2,3,.667,1,4,5,4,0,0,4,4,16,-4
T.J. McConnell,25:06,10,11,.909,0,0,,0,0,,0,2,2,11,0,0,1,0,20,+5
Isaiah Jackson,8:05,3,3,1.000,0,0,,2,2,1.000,0,3,3,1,0,1,0,1,8,-6
Ben Sheppard,3:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-7
Jordan Nwora,Did Not Play
Oscar Tshiebwe,Did Not Play
Jarace Walker,Did Not Play
Team Totals,240,56,85,.659,16,32,.500,16,20,.800,3,29,32,35,4,8,9,24,144,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bruce Brown,6:28,1,3,.333,0,1,.000,1,2,.500,0,0,0,0,0,0,1,0,3,-4
Obi Toppin,8:24,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,1,0,0,0,-6
Myles Turner,5:52,1,4,.250,0,2,.000,0,0,,0,2,2,0,0,0,0,0,2,-4
Buddy Hield,6:44,0,2,.000,0,1,.000,0,0,,0,0,0,1,1,0,0,0,0,+1
Andrew Nembhard,8:14,0,5,.000,0,4,.000,2,2,1.000,0,1,1,2,1,0,0,0,2,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Nesmith,5:32,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-2
Bennedict Mathurin,6:36,3,4,.750,1,1,1.000,1,2,.500,0,2,2,0,0,0,1,1,8,-5
T.J. McConnell,3:46,2,3,.667,0,0,,0,0,,0,0,0,2,0,0,0,0,4,-4
Isaiah Jackson,6:08,2,2,1.000,0,0,,2,2,1.000,0,3,3,1,0,1,0,1,6,-2
Ben Sheppard,2:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Jordan Nwora,Did Not Play
Oscar Tshiebwe,Did Not Play
Jarace Walker,Did Not Play
Team Totals,60,9,24,.375,1,10,.100,6,8,.750,0,10,10,6,2,2,2,4,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bruce Brown,8:26,3,3,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,7,+8
Obi Toppin,6:28,1,1,1.000,0,0,,1,1,1.000,0,1,1,0,0,1,0,1,3,+6
Myles Turner,4:19,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,2,2,+2
Buddy Hield,5:43,1,3,.333,0,2,.000,0,0,,0,0,0,0,1,0,1,1,2,+8
Andrew Nembhard,7:10,0,0,,0,0,,0,0,,0,0,0,4,0,0,0,0,0,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Nesmith,10:49,5,6,.833,3,4,.750,0,2,.000,0,1,1,1,0,1,0,1,13,+8
Bennedict Mathurin,9:20,2,5,.400,0,1,.000,1,1,1.000,1,2,3,2,0,0,1,2,5,-1
T.J. McConnell,5:17,3,3,1.000,0,0,,0,0,,0,0,0,2,0,0,0,0,6,-1
Isaiah Jackson,1:57,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-4
Ben Sheppard,0:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Jordan Nwora,Did Not Play
Oscar Tshiebwe,Did Not Play
Jarace Walker,Did Not Play
Team Totals,60,17,23,.739,4,8,.500,2,4,.500,2,5,7,10,1,2,2,7,40,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bruce Brown,14:54,4,6,.667,1,2,.500,1,2,.500,0,1,1,1,0,0,1,0,10,+4
Obi Toppin,14:52,1,2,.500,0,1,.000,1,1,1.000,0,2,2,0,0,2,0,1,3,0
Myles Turner,10:11,2,5,.400,0,2,.000,0,0,,1,2,3,0,0,0,0,2,4,-2
Buddy Hield,12:27,1,5,.200,0,3,.000,0,0,,0,0,0,1,2,0,1,1,2,+9
Andrew Nembhard,15:24,0,5,.000,0,4,.000,2,2,1.000,0,1,1,6,1,0,0,0,2,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Nesmith,16:21,5,6,.833,3,4,.750,0,2,.000,0,2,2,1,0,1,0,2,13,+6
Bennedict Mathurin,15:56,5,9,.556,1,2,.500,2,3,.667,1,4,5,2,0,0,2,3,13,-6
T.J. McConnell,9:03,5,6,.833,0,0,,0,0,,0,0,0,4,0,0,0,0,10,-5
Isaiah Jackson,8:05,3,3,1.000,0,0,,2,2,1.000,0,3,3,1,0,1,0,1,8,-6
Ben Sheppard,2:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-5
Jordan Nwora,Did Not Play
Oscar Tshiebwe,Did Not Play
Jarace Walker,Did Not Play
Team Totals,120,26,47,.553,5,18,.278,8,12,.667,2,15,17,16,3,4,4,11,65,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bruce Brown,11:02,3,5,.600,1,2,.500,1,1,1.000,0,3,3,0,0,0,0,0,8,+8
Obi Toppin,11:28,3,3,1.000,2,2,1.000,2,2,1.000,0,0,0,1,0,2,0,1,10,+10
Myles Turner,8:08,3,3,1.000,0,0,,0,0,,1,3,4,0,0,2,1,1,6,+5
Buddy Hield,6:05,2,2,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,1,5,+7
Andrew Nembhard,7:57,1,4,.250,0,0,,0,0,,0,0,0,5,0,0,0,1,2,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Nesmith,5:00,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,5,+1
Bennedict Mathurin,6:17,1,1,1.000,1,1,1.000,0,0,,0,0,0,2,0,0,0,0,3,+1
T.J. McConnell,4:03,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,0,2,+3
Isaiah Jackson, 
Ben Sheppard, 
Jordan Nwora,Did Not Play
Oscar Tshiebwe,Did Not Play
Jarace Walker,Did Not Play
Team Totals,60,16,21,.762,6,7,.857,3,3,1.000,1,7,8,10,0,4,2,5,41,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bruce Brown,10:49,4,5,.800,2,2,1.000,2,2,1.000,0,0,0,1,0,0,0,0,12,+8
Obi Toppin,8:27,3,3,1.000,2,2,1.000,1,1,1.000,0,0,0,1,1,0,0,3,9,+8
Myles Turner,12:00,3,4,.750,1,2,.500,0,0,,0,3,3,1,0,0,1,1,7,+7
Buddy Hield,5:48,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+4
Andrew Nembhard, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Nesmith,7:23,0,1,.000,0,1,.000,2,2,1.000,0,2,2,0,0,0,0,1,2,+2
Bennedict Mathurin,2:57,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,1,0,+1
T.J. McConnell,12:00,4,4,1.000,0,0,,0,0,,0,1,1,6,0,0,0,0,8,+7
Isaiah Jackson, 
Ben Sheppard,0:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Jordan Nwora,Did Not Play
Oscar Tshiebwe,Did Not Play
Jarace Walker,Did Not Play
Team Totals,60,14,17,.824,5,7,.714,5,5,1.000,0,7,7,9,1,0,3,8,38,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bruce Brown,21:51,7,10,.700,3,4,.750,3,3,1.000,0,3,3,1,0,0,0,0,20,+16
Obi Toppin,19:55,6,6,1.000,4,4,1.000,3,3,1.000,0,0,0,2,1,2,0,4,19,+18
Myles Turner,20:08,6,7,.857,1,2,.500,0,0,,1,6,7,1,0,2,2,2,13,+12
Buddy Hield,11:53,2,2,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,2,5,+11
Andrew Nembhard,7:57,1,4,.250,0,0,,0,0,,0,0,0,5,0,0,0,1,2,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Nesmith,12:23,2,3,.667,1,2,.500,2,2,1.000,0,2,2,0,0,0,0,2,7,+3
Bennedict Mathurin,9:14,1,1,1.000,1,1,1.000,0,0,,0,0,0,2,0,0,2,1,3,+2
T.J. McConnell,16:03,5,5,1.000,0,0,,0,0,,0,2,2,7,0,0,1,0,10,+10
Isaiah Jackson, 
Ben Sheppard,0:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Jordan Nwora,Did Not Play
Oscar Tshiebwe,Did Not Play
Jarace Walker,Did Not Play
Team Totals,120,30,38,.789,11,14,.786,8,8,1.000,1,14,15,19,1,4,5,13,79,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Bruce Brown,36:45,.824,.813,.375,.313,0.0,14.9,8.7,6.3,0.0,0.0,5.2,24.4,151,134,1.7
Obi Toppin,34:47,1.127,1.125,.625,.500,0.0,7.9,4.6,6.0,1.4,8.6,0.0,13.1,222,123,11.7
Myles Turner,30:19,.708,.708,.333,.000,12.7,36.2,26.4,3.7,0.0,4.9,14.3,21.6,123,126,-4.9
Buddy Hield,24:20,.500,.500,.571,.000,0.0,5.6,3.3,7.9,4.0,0.0,12.5,15.4,97,126,-7.5
Andrew Nembhard,23:21,.202,.111,.444,.222,0.0,5.9,3.4,41.9,2.1,0.0,0.0,19.8,107,130,-9.1
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Aaron Nesmith,28:44,.929,1.000,.667,.444,0.0,19.1,11.1,3.8,0.0,2.6,0.0,17.5,174,131,4.2
Bennedict Mathurin,25:10,.707,.700,.300,.300,7.6,21.8,15.9,17.1,0.0,0.0,26.1,28.4,113,133,-7.1
T.J. McConnell,25:06,.909,.909,.000,.000,0.0,10.9,6.4,57.0,0.0,0.0,8.3,22.3,182,134,12.3
Isaiah Jackson,8:05,1.031,1.000,.000,.667,0.0,50.9,29.7,15.6,0.0,9.3,0.0,22.4,217,120,17.7
Ben Sheppard,3:23,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,135,-18.2
Jordan Nwora,Did Not Play
Oscar Tshiebwe,Did Not Play
