,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jrue Holiday,38:02,3,9,.333,1,5,.200,2,2,1.000,1,5,6,3,1,1,1,1,9,-15
Jayson Tatum,37:22,13,26,.500,2,8,.250,4,7,.571,1,11,12,6,1,0,2,2,32,-14
Derrick White,35:58,7,16,.438,2,9,.222,2,2,1.000,0,4,4,8,1,1,5,4,18,-4
Jaylen Brown,31:29,14,23,.609,2,7,.286,0,1,.000,2,7,9,0,1,2,3,6,30,-10
Al Horford,31:21,1,3,.333,0,1,.000,0,0,,2,5,7,4,0,1,2,1,2,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sam Hauser,22:39,5,9,.556,5,7,.714,0,0,,2,4,6,1,0,0,0,2,15,+9
Luke Kornet,16:39,3,5,.600,0,0,,0,0,,4,0,4,2,1,4,1,2,6,-8
Payton Pritchard,15:19,0,5,.000,0,4,.000,0,0,,0,4,4,2,0,0,0,0,0,-4
Dalano Banton,11:11,0,1,.000,0,0,,0,0,,1,3,4,1,0,0,3,1,0,-2
Oshae Brissett,Did Not Play
Svi Mykhailiuk,Did Not Play
Neemias Queta,Did Not Play
Lamar Stevens,Did Not Play
Team Totals,240,46,97,.474,12,41,.293,8,12,.667,13,43,56,27,5,9,17,19,112,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jrue Holiday,7:45,1,4,.250,1,3,.333,0,0,,1,1,2,0,0,1,1,0,3,-6
Jayson Tatum,7:45,1,4,.250,0,0,,1,2,.500,1,5,6,1,0,0,0,0,3,-6
Derrick White,9:26,1,3,.333,0,2,.000,0,0,,0,1,1,2,1,0,0,0,2,+2
Jaylen Brown,9:26,5,7,.714,0,1,.000,0,0,,0,3,3,0,0,0,1,2,10,+2
Al Horford,9:26,0,0,,0,0,,0,0,,0,4,4,1,0,0,1,1,0,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sam Hauser,6:49,2,3,.667,2,3,.667,0,0,,1,0,1,0,0,0,0,1,6,+8
Luke Kornet,2:34,0,2,.000,0,0,,0,0,,1,0,1,1,0,0,0,0,0,0
Payton Pritchard,2:34,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0
Dalano Banton,4:15,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,1,0,0,+8
Oshae Brissett,Did Not Play
Svi Mykhailiuk,Did Not Play
Neemias Queta,Did Not Play
Lamar Stevens,Did Not Play
Team Totals,60,10,25,.400,3,10,.300,1,2,.500,4,16,20,5,1,1,4,4,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jrue Holiday,8:37,2,4,.500,0,1,.000,0,0,,0,1,1,2,1,0,0,0,4,+4
Jayson Tatum,10:21,4,9,.444,1,5,.200,0,0,,0,4,4,3,0,0,0,1,9,+4
Derrick White,6:11,4,6,.667,1,3,.333,0,0,,0,0,0,0,0,0,0,0,9,+8
Jaylen Brown,1:45,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,1,2,0
Al Horford,6:11,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,1,0,0,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sam Hauser,7:06,1,2,.500,1,1,1.000,0,0,,0,2,2,1,0,0,0,1,3,+8
Luke Kornet,5:49,2,2,1.000,0,0,,0,0,,2,0,2,1,1,2,0,0,4,-3
Payton Pritchard,9:06,0,3,.000,0,2,.000,0,0,,0,3,3,1,0,0,0,0,0,-1
Dalano Banton,4:54,0,0,,0,0,,0,0,,1,1,2,1,0,0,2,1,0,-3
Oshae Brissett,Did Not Play
Svi Mykhailiuk,Did Not Play
Neemias Queta,Did Not Play
Lamar Stevens,Did Not Play
Team Totals,60,14,28,.500,3,13,.231,0,0,,3,11,14,9,2,4,3,4,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jrue Holiday,16:22,3,8,.375,1,4,.250,0,0,,1,2,3,2,1,1,1,0,7,-2
Jayson Tatum,18:06,5,13,.385,1,5,.200,1,2,.500,1,9,10,4,0,0,0,1,12,-2
Derrick White,15:37,5,9,.556,1,5,.200,0,0,,0,1,1,2,1,0,0,0,11,+10
Jaylen Brown,11:11,6,8,.750,0,1,.000,0,0,,0,3,3,0,0,1,1,3,12,+2
Al Horford,15:37,0,1,.000,0,1,.000,0,0,,0,4,4,1,0,1,2,1,0,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sam Hauser,13:55,3,5,.600,3,4,.750,0,0,,1,2,3,1,0,0,0,2,9,+16
Luke Kornet,8:23,2,4,.500,0,0,,0,0,,3,0,3,2,1,2,0,0,4,-3
Payton Pritchard,11:40,0,4,.000,0,3,.000,0,0,,0,3,3,1,0,0,0,0,0,-1
Dalano Banton,9:09,0,1,.000,0,0,,0,0,,1,3,4,1,0,0,3,1,0,+5
Oshae Brissett,Did Not Play
Svi Mykhailiuk,Did Not Play
Neemias Queta,Did Not Play
Lamar Stevens,Did Not Play
Team Totals,120,24,53,.453,6,23,.261,1,2,.500,7,27,34,14,3,5,7,8,55,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jrue Holiday,9:58,0,1,.000,0,1,.000,2,2,1.000,0,0,0,1,0,0,0,0,2,-7
Jayson Tatum,7:16,3,4,.750,1,2,.500,0,1,.000,0,1,1,1,0,0,0,0,7,-9
Derrick White,8:21,1,4,.250,1,3,.333,0,0,,0,1,1,0,0,1,3,2,3,-11
Jaylen Brown,12:00,4,9,.444,0,2,.000,0,1,.000,2,4,6,0,0,0,2,0,8,-14
Al Horford,7:16,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,0,0,-9
