,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Franz Wagner,40:42,3,16,.188,0,5,.000,8,10,.800,2,4,6,9,3,0,2,1,14,-2
Paolo Banchero,37:44,16,26,.615,1,5,.200,9,12,.750,1,5,6,1,0,2,3,3,42,+2
Goga Bitadze,24:33,3,4,.750,0,1,.000,0,1,.000,0,3,3,3,0,1,0,3,6,-1
Anthony Black,14:54,5,5,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,0,1,11,-7
Jalen Suggs,9:28,0,2,.000,0,1,.000,0,0,,0,0,0,1,2,1,1,0,0,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cole Anthony,31:52,8,14,.571,1,4,.250,2,3,.667,1,6,7,2,1,2,2,3,19,-5
Gary Harris,31:19,1,7,.143,0,4,.000,6,6,1.000,1,2,3,3,1,0,0,4,8,0
Moritz Wagner,21:07,5,7,.714,0,1,.000,1,4,.250,1,3,4,0,2,0,3,2,11,-11
Joe Ingles,17:22,0,1,.000,0,1,.000,0,0,,0,4,4,3,1,0,0,3,0,-7
Caleb Houstan,10:59,0,2,.000,0,1,.000,0,0,,1,2,3,0,0,0,0,1,0,-13
Chuma Okeke,Did Not Play
Admiral Schofield,Did Not Play
Team Totals,240,41,84,.488,2,23,.087,27,37,.730,7,29,36,22,10,6,11,21,111,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Franz Wagner,9:16,0,4,.000,0,3,.000,1,2,.500,0,1,1,1,1,0,1,0,1,-18
Paolo Banchero,10:11,4,6,.667,0,0,,2,2,1.000,1,1,2,0,0,0,1,0,10,-10
Goga Bitadze,7:27,1,1,1.000,0,0,,0,0,,0,1,1,2,0,1,0,0,2,-11
Anthony Black,7:49,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,4,-12
Jalen Suggs,6:01,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,0,1,0,0,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cole Anthony,4:11,1,1,1.000,0,0,,0,0,,0,1,1,0,0,2,1,2,2,-5
Gary Harris,5:59,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-12
Moritz Wagner,4:33,0,1,.000,0,1,.000,1,2,.500,0,2,2,0,0,0,0,0,1,-6
Joe Ingles,4:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
Caleb Houstan, 
Chuma Okeke,Did Not Play
Admiral Schofield,Did Not Play
Team Totals,60,8,19,.421,0,6,.000,4,6,.667,1,6,7,4,2,3,4,2,20,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Franz Wagner,10:49,0,3,.000,0,0,,3,4,.750,0,1,1,4,1,0,0,1,3,+7
Paolo Banchero,8:22,3,3,1.000,0,0,,4,6,.667,0,1,1,1,0,2,1,2,10,+7
Goga Bitadze,8:20,2,2,1.000,0,0,,0,1,.000,0,1,1,0,0,0,0,1,4,+5
Anthony Black,0:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Jalen Suggs,3:27,0,0,,0,0,,0,0,,0,0,0,1,1,1,0,0,0,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cole Anthony,9:44,3,6,.500,0,2,.000,1,2,.500,0,2,2,0,0,0,0,1,7,+2
Gary Harris,10:49,1,4,.250,0,2,.000,4,4,1.000,0,2,2,0,1,0,0,2,6,+7
Moritz Wagner,2:49,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,1,2,-1
Joe Ingles,2:30,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,+1
Caleb Houstan,2:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-7
Chuma Okeke,Did Not Play
Admiral Schofield,Did Not Play
Team Totals,60,10,19,.526,0,4,.000,12,17,.706,0,8,8,6,4,3,2,9,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Franz Wagner,20:05,0,7,.000,0,3,.000,4,6,.667,0,2,2,5,2,0,1,1,4,-11
Paolo Banchero,18:33,7,9,.778,0,0,,6,8,.750,1,2,3,1,0,2,2,2,20,-3
Goga Bitadze,15:47,3,3,1.000,0,0,,0,1,.000,0,2,2,2,0,1,0,1,6,-6
Anthony Black,8:39,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,4,-12
Jalen Suggs,9:28,0,2,.000,0,1,.000,0,0,,0,0,0,1,2,1,1,0,0,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cole Anthony,13:55,4,7,.571,0,2,.000,1,2,.500,0,3,3,0,0,2,1,3,9,-3
Gary Harris,16:48,1,6,.167,0,3,.000,4,4,1.000,0,2,2,1,1,0,0,2,6,-5
Moritz Wagner,7:22,1,2,.500,0,1,.000,1,2,.500,0,3,3,0,0,0,1,1,3,-7
Joe Ingles,7:03,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,-5
Caleb Houstan,2:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-7
Chuma Okeke,Did Not Play
Admiral Schofield,Did Not Play
Team Totals,120,18,38,.474,0,10,.000,16,23,.696,1,14,15,10,6,6,6,11,52,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Franz Wagner,8:37,2,6,.333,0,2,.000,4,4,1.000,1,2,3,2,1,0,1,0,8,+6
Paolo Banchero,9:26,5,10,.500,1,3,.333,1,2,.500,0,2,2,0,0,0,0,1,12,-1
Goga Bitadze,8:45,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,2,0,+5
Anthony Black,6:15,3,3,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,0,1,7,+5
Jalen Suggs, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cole Anthony,5:57,1,2,.500,0,0,,1,1,1.000,1,1,2,1,0,0,1,0,3,-5
Gary Harris,7:05,0,0,,0,0,,2,2,1.000,0,0,0,1,0,0,0,2,2,+5
Moritz Wagner,3:15,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,1,0,2,-5
Joe Ingles,5:44,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-5
