,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Victor Wembanyama,32:25,4,13,.308,0,2,.000,4,6,.667,3,7,10,1,1,1,2,1,12,+4
Cedi Osman,32:09,3,8,.375,0,3,.000,0,2,.000,2,6,8,6,2,0,1,2,6,-10
Keldon Johnson,31:51,8,15,.533,1,2,.500,4,5,.800,1,9,10,3,2,1,4,4,21,-3
Devin Vassell,31:16,9,16,.563,4,8,.500,0,0,,0,3,3,2,1,1,0,1,22,+4
Zach Collins,28:00,6,20,.300,0,6,.000,0,0,,4,4,8,4,0,0,3,3,12,-13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tre Jones,26:13,2,8,.250,0,3,.000,0,0,,0,2,2,5,1,0,0,2,4,-11
Doug McDermott,22:01,3,8,.375,3,8,.375,2,2,1.000,0,3,3,2,0,0,0,1,11,+2
Jeremy Sochan,21:57,3,10,.300,0,2,.000,0,0,,1,1,2,0,0,1,1,1,6,-5
Malaki Branham,10:21,0,2,.000,0,1,.000,0,0,,2,0,2,0,0,0,0,2,0,-7
Julian Champagnie,3:47,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1
Charles Bassey,Did Not Play
Devonte' Graham,Did Not Play
Sandro Mamukelashvili,Did Not Play
Team Totals,240,38,101,.376,8,36,.222,10,15,.667,13,36,49,23,7,4,11,17,94,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Victor Wembanyama,7:37,1,4,.250,0,1,.000,0,0,,2,1,3,0,0,0,0,0,2,-1
Cedi Osman,7:53,0,0,,0,0,,0,2,.000,2,1,3,1,0,0,0,0,0,-2
Keldon Johnson,7:53,1,3,.333,0,0,,2,2,1.000,0,1,1,2,1,0,2,1,4,-2
Devin Vassell,5:41,1,4,.250,0,2,.000,0,0,,0,1,1,0,0,0,0,0,2,+3
Zach Collins,12:00,4,7,.571,0,1,.000,0,0,,1,2,3,1,0,0,0,0,8,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tre Jones,4:23,2,4,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,4,-2
Doug McDermott, 
Jeremy Sochan,6:39,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,1,1,0,2,-6
Malaki Branham,4:07,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-1
Julian Champagnie,3:46,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1
Charles Bassey,Did Not Play
Devonte' Graham,Did Not Play
Sandro Mamukelashvili,Did Not Play
Team Totals,60,10,27,.370,0,6,.000,2,4,.500,6,7,13,4,1,1,3,2,22,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Victor Wembanyama,7:40,1,3,.333,0,1,.000,2,4,.500,0,2,2,0,0,0,0,1,4,+1
Cedi Osman,7:11,0,0,,0,0,,0,0,,0,2,2,2,0,0,0,1,0,+12
Keldon Johnson,6:09,3,4,.750,0,1,.000,0,0,,0,2,2,0,1,0,0,0,6,+10
Devin Vassell,9:11,4,4,1.000,2,2,1.000,0,0,,0,0,0,2,0,0,0,0,10,+6
Zach Collins,6:09,1,3,.333,0,1,.000,0,0,,0,1,1,2,0,0,0,1,2,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tre Jones,5:51,0,3,.000,0,2,.000,0,0,,0,1,1,1,1,0,0,2,0,0
Doug McDermott,10:48,3,5,.600,3,5,.600,0,0,,0,2,2,1,0,0,0,1,9,+11
Jeremy Sochan,5:49,0,4,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,+1
Malaki Branham,1:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Julian Champagnie, 
Charles Bassey,Did Not Play
Devonte' Graham,Did Not Play
Sandro Mamukelashvili,Did Not Play
Team Totals,60,12,26,.462,5,12,.417,2,4,.500,1,10,11,8,2,0,0,7,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Victor Wembanyama,15:17,2,7,.286,0,2,.000,2,4,.500,2,3,5,0,0,0,0,1,6,0
Cedi Osman,15:04,0,0,,0,0,,0,2,.000,2,3,5,3,0,0,0,1,0,+10
Keldon Johnson,14:02,4,7,.571,0,1,.000,2,2,1.000,0,3,3,2,2,0,2,1,10,+8
Devin Vassell,14:52,5,8,.625,2,4,.500,0,0,,0,1,1,2,0,0,0,0,12,+9
Zach Collins,18:09,5,10,.500,0,2,.000,0,0,,1,3,4,3,0,0,0,1,10,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tre Jones,10:14,2,7,.286,0,2,.000,0,0,,0,1,1,1,1,0,0,2,4,-2
Doug McDermott,10:48,3,5,.600,3,5,.600,0,0,,0,2,2,1,0,0,0,1,9,+11
Jeremy Sochan,12:28,1,7,.143,0,1,.000,0,0,,1,0,1,0,0,1,1,1,2,-5
Malaki Branham,5:19,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-2
Julian Champagnie,3:46,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1
Charles Bassey,Did Not Play
Devonte' Graham,Did Not Play
Sandro Mamukelashvili,Did Not Play
Team Totals,120,22,53,.415,5,18,.278,4,8,.500,7,17,24,12,3,1,3,9,53,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Victor Wembanyama,9:26,0,1,.000,0,0,,0,0,,0,3,3,1,1,1,0,0,0,-2
Cedi Osman,7:49,1,4,.250,0,2,.000,0,0,,0,2,2,1,2,0,1,1,2,-10
Keldon Johnson,7:49,2,3,.667,0,0,,1,1,1.000,0,2,2,1,0,0,0,0,5,-10
Devin Vassell,9:26,3,5,.600,1,2,.500,0,0,,0,1,1,0,0,0,0,1,7,-2
Zach Collins,7:49,1,7,.143,0,2,.000,0,0,,3,0,3,1,0,0,3,2,2,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tre Jones,6:45,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,-2
Doug McDermott,4:11,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,+3
Jeremy Sochan,6:45,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,-2
Malaki Branham, 
Julian Champagnie, 
Charles Bassey,Did Not Play
Devonte' Graham,Did Not Play
Sandro Mamukelashvili,Did Not Play
Team Totals,60,8,24,.333,1,9,.111,1,1,1.000,3,10,13,6,3,1,4,4,18,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Victor Wembanyama,7:42,2,5,.400,0,0,,2,2,1.000,1,1,2,0,0,0,2,0,6,+6
Cedi Osman,9:16,2,4,.500,0,1,.000,0,0,,0,1,1,2,0,0,0,0,4,-10
Keldon Johnson,10:00,2,5,.400,1,1,1.000,1,2,.500,1,4,5,0,0,1,2,3,6,-1
Devin Vassell,6:58,1,3,.333,1,2,.500,0,0,,0,1,1,0,1,1,0,0,3,-3
Zach Collins,4:18,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tre Jones,6:58,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,0,0,-3
Doug McDermott,7:02,0,1,.000,0,1,.000,2,2,1.000,0,0,0,1,0,0,0,0,2,-12
Jeremy Sochan,2:44,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+2
Malaki Branham,5:02,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,1,0,-5
Julian Champagnie, 
Charles Bassey,Did Not Play
Devonte' Graham,Did Not Play
Sandro Mamukelashvili,Did Not Play
Team Totals,60,8,24,.333,2,9,.222,5,6,.833,3,9,12,5,1,2,4,4,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Victor Wembanyama,17:08,2,6,.333,0,0,,2,2,1.000,1,4,5,1,1,1,2,0,6,+4
Cedi Osman,17:05,3,8,.375,0,3,.000,0,0,,0,3,3,3,2,0,1,1,6,-20
Keldon Johnson,17:49,4,8,.500,1,1,1.000,2,3,.667,1,6,7,1,0,1,2,3,11,-11
Devin Vassell,16:24,4,8,.500,2,4,.500,0,0,,0,2,2,0,1,1,0,1,10,-5
Zach Collins,12:07,1,10,.100,0,4,.000,0,0,,3,1,4,1,0,0,3,2,2,-24
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tre Jones,13:43,0,1,.000,0,1,.000,0,0,,0,1,1,4,0,0,0,0,0,-5
Doug McDermott,11:13,0,3,.000,0,3,.000,2,2,1.000,0,1,1,1,0,0,0,0,2,-9
Jeremy Sochan,9:29,2,3,.667,0,1,.000,0,0,,0,1,1,0,0,0,0,0,4,0
Malaki Branham,5:02,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,1,0,-5
Julian Champagnie, 
Charles Bassey,Did Not Play
Devonte' Graham,Did Not Play
Sandro Mamukelashvili,Did Not Play
Team Totals,120,16,48,.333,3,18,.167,6,7,.857,6,19,25,11,4,3,8,8,41,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Victor Wembanyama,32:25,.384,.308,.154,.462,7.8,22.1,14.2,4.6,1.5,3.2,11.3,22.0,81,100,-4.3
Cedi Osman,32:09,.338,.375,.375,.250,5.2,19.1,11.5,26.7,3.0,0.0,10.1,12.4,89,99,0.9
Keldon Johnson,31:51,.610,.567,.133,.333,2.6,28.9,14.5,17.4,3.0,3.2,18.9,26.9,102,94,6.6
Devin Vassell,31:16,.688,.688,.500,.000,0.0,9.8,4.4,12.7,1.5,3.3,0.0,20.7,136,104,13.3
Zach Collins,28:00,.300,.300,.300,.000,12.0,14.6,13.2,24.7,0.0,0.0,13.0,33.2,69,108,-8.9
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tre Jones,26:13,.250,.250,.375,.000,0.0,7.8,3.5,26.7,1.8,0.0,0.0,12.4,78,106,-5.4
Doug McDermott,22:01,.619,.563,1.000,.250,0.0,13.9,6.3,13.9,0.0,0.0,0.0,16.3,133,108,5.1
Jeremy Sochan,21:57,.300,.300,.200,.000,3.8,4.7,4.2,0.0,0.0,4.7,9.1,20.3,61,109,-10.4
Malaki Branham,10:21,.000,.000,.500,.000,16.3,0.0,8.9,0.0,0.0,0.0,0.0,7.8,53,113,-14.0
Julian Champagnie,3:47,.000,.000,1.000,.000,0.0,27.0,12.2,0.0,0.0,0.0,0.0,10.7,0,104,-14.4
Charles Bassey,Did Not Play
Devonte' Graham,Did Not Play
Sandro Mamukelashvili,Did Not Play
Team Totals,240,.437,.416,.356,.149,22.8,76.6,47.1,60.5,7.0,8.5,9.3,100.0,94.4,102.4,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Edwards,36:53,4,17,.235,2,5,.400,7,8,.875,1,6,7,6,1,1,3,2,17,+14
Mike Conley,32:55,5,13,.385,4,10,.400,4,4,1.000,0,4,4,4,3,0,1,3,18,+9
Karl-Anthony Towns,32:04,5,6,.833,2,3,.667,2,3,.667,1,9,10,2,0,1,6,2,14,-14
Rudy Gobert,30:12,7,8,.875,0,0,,2,2,1.000,5,15,20,2,0,2,1,3,16,+31
Nickeil Alexander-Walker,19:39,3,8,.375,1,6,.167,0,0,,0,2,2,0,0,0,1,1,7,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Naz Reid,28:59,7,18,.389,1,7,.143,0,0,,4,5,9,2,0,1,1,2,15,+10
Troy Brown Jr.,25:17,3,9,.333,2,8,.250,0,0,,0,1,1,2,0,1,1,1,8,+7
Kyle Anderson,21:59,2,6,.333,0,0,,3,4,.750,0,1,1,2,0,4,0,2,7,-7
Shake Milton,12:02,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-12
Josh Minott,Did Not Play
Wendell Moore Jr.,Did Not Play
Daishen Nix,Did Not Play
Team Totals,240,36,87,.414,12,40,.300,18,21,.857,11,44,55,20,4,10,14,16,102,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Edwards,9:28,0,2,.000,0,0,,1,2,.500,0,1,1,3,1,0,2,0,1,-2
Mike Conley,6:50,2,3,.667,2,3,.667,0,0,,0,1,1,0,2,0,0,1,6,+2
Karl-Anthony Towns,9:44,1,1,1.000,0,0,,0,0,,0,3,3,0,0,0,1,1,2,-1
Rudy Gobert,9:06,2,3,.667,0,0,,0,0,,0,3,3,0,0,0,1,1,4,+6
Nickeil Alexander-Walker,7:53,2,4,.500,1,3,.333,0,0,,0,0,0,0,0,0,0,1,5,+2
