,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Kuzma,30:07,8,17,.471,1,4,.250,0,1,.000,1,2,3,2,0,0,3,2,17,-23
Tyus Jones,27:55,6,10,.600,0,1,.000,2,2,1.000,0,2,2,3,1,1,1,0,14,-20
Deni Avdija,27:17,6,9,.667,1,4,.250,2,3,.667,0,7,7,4,1,2,0,1,15,-6
Jordan Poole,23:36,3,7,.429,0,2,.000,2,2,1.000,0,2,2,2,0,0,3,3,8,-16
Daniel Gafford,21:37,1,5,.200,0,0,,1,2,.500,2,0,2,2,0,2,1,1,3,-23
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bilal Coulibaly,25:27,4,6,.667,1,2,.500,2,4,.500,4,6,10,2,0,0,2,3,11,-22
Corey Kispert,20:44,3,11,.273,1,7,.143,0,0,,0,2,2,2,0,1,0,2,7,-11
Danilo Gallinari,18:41,2,9,.222,0,5,.000,0,0,,0,2,2,1,0,0,0,3,4,+1
Mike Muscala,15:14,2,3,.667,2,3,.667,2,2,1.000,0,0,0,0,1,0,1,1,8,-4
Jared Butler,13:38,1,4,.250,0,2,.000,3,4,.750,0,3,3,0,0,0,3,1,5,-3
Eugene Omoruyi,3:56,1,2,.500,0,1,.000,1,1,1.000,0,1,1,0,1,0,2,1,3,-2
Anthony Gill,3:56,1,4,.250,0,1,.000,0,0,,3,0,3,0,0,0,0,1,2,-2
Patrick Baldwin Jr.,3:56,0,3,.000,0,0,,0,0,,2,2,4,0,0,1,0,0,0,-2
Jules Bernard,3:56,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-2
Team Totals,240,38,91,.418,6,33,.182,15,21,.714,12,29,41,19,4,7,16,19,97,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Kuzma,9:31,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,0,1,0,2,-7
Tyus Jones,8:23,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,-5
Deni Avdija,7:40,2,4,.500,0,2,.000,0,1,.000,0,3,3,2,0,0,0,0,4,-6
Jordan Poole,9:31,1,3,.333,0,2,.000,2,2,1.000,0,2,2,0,0,0,2,1,4,-7
Daniel Gafford,7:44,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,0,0,2,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bilal Coulibaly,6:49,1,1,1.000,0,0,,0,0,,1,2,3,1,0,0,1,1,2,-3
Corey Kispert,3:37,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,1,0,0,0,-3
Danilo Gallinari,4:16,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-1
Mike Muscala, 
Jared Butler,2:29,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,0,2,-1
Eugene Omoruyi, 
Anthony Gill, 
Patrick Baldwin Jr., 
Jules Bernard, 
Team Totals,60,8,22,.364,0,9,.000,2,3,.667,1,11,12,4,0,1,5,3,18,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Kuzma,7:25,3,6,.500,0,0,,0,1,.000,1,0,1,1,0,0,1,0,6,-2
Tyus Jones,7:25,2,3,.667,0,0,,0,0,,0,0,0,2,0,1,0,0,4,-2
Deni Avdija,7:50,2,2,1.000,1,1,1.000,2,2,1.000,0,1,1,0,1,1,0,0,7,+11
Jordan Poole,4:43,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0
Daniel Gafford,4:43,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bilal Coulibaly,4:10,0,1,.000,0,1,.000,1,2,.500,1,2,3,0,0,0,0,0,1,-6
Corey Kispert,7:17,1,4,.250,0,3,.000,0,0,,0,1,1,2,0,0,0,0,2,+5
Danilo Gallinari,4:35,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,2,2,+7
Mike Muscala,7:17,1,1,1.000,1,1,1.000,2,2,1.000,0,0,0,0,0,0,0,0,5,+5
